NCT Number,Title,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Primary Completion Date,Completion Date,allocation,intervention_model,observational_model,time_perspective,masking,primary_purpose,country,Start_Month,Start Year,Is_Country_Unknown,Study_Duration_Days
NCT04590222,Impact of a Monoamine Oxidase Inhibitor on the Phenotype of Blood Mononucleated Cells in Patients With COVID-19,Not yet recruiting,No Results Available,SARS-CoV2 Infection,Other: blood sample,levels of lymphocytes T DR + CD38 + and of monocytes CD14 dim + CD16 +.|level of immune checkpoints|cytokine production and proliferation|levels of neutrophils|level of immune responses in obese patients|level of immune responses for men and women,Assistance Publique - Hôpitaux de Paris,All,"18 Years and older   (Adult, Older Adult)",N/A,80,Other,Observational,2020-11-01,2021-11-01,2021-11-01,N/A,N/A,Case-Control,Prospective,N/A,N/A,France,2020-11,2020,False,365
NCT04460105,Lanadelumab in Participants Hospitalized With COVID-19 Pneumonia,Withdrawn,No Results Available,COVID-19 Pneumonia,Drug: Lanadelumab|Other: Placebo,Number of Participants with Treatment emergent adverse events (TEAEs)|Pharmacokinetic (PK) Plasma Concentrations of Lanadelumab|Percentage Change from Baseline in Plasma Kallikrein Activity (pKal)|Percentage Change from Baseline in Cleaved High Molecular Weight Kininogen (cHMWK)|Percentage Change from Baseline in Functional C1-Inhibitor (C1-INH),"Shire|Takeda Development Center Americas, Inc.|Takeda",All,"18 Years and older   (Adult, Older Adult)",Phase 1,0,Industry,Interventional,2020-10-31,2021-01-27,2021-01-27,Randomized,Parallel Assignment,N/A,N/A,"Triple (Participant, Investigator, Outcomes Assessor)",Treatment,Unknown,2020-10,2020,True,88
NCT04696601,Rapid Screening for Olfactory Disorders in Covid-19 Infection,Not yet recruiting,No Results Available,Olfaction Disorders|COVID-19 Testing,Diagnostic Test: Olfactory test,Olfactory test,Centre Hospitalier Universitaire de Nice,All,"18 Years and older   (Adult, Older Adult)",N/A,2000,Other,Interventional,2021-01-10,2021-02-10,2022-02-10,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Screening,France,2021-01,2021,False,396
NCT04703478,RespiraConNosotros:a Mobile Application for COVID-19 Respiratory Rehabilitation.,Not yet recruiting,No Results Available,Covid19,Other: Breathing exercise,"Rating of perceived exertion (Borg Scale)|Level of satisfaction and acceptability.|St. George's Respiratory Questionnaire, SGRQ|Age|Sex|Diagnosis of respiratory pathology",University of Salamanca,All,"18 Years and older   (Adult, Older Adult)",N/A,20,Other,Interventional,2021-01-20,2021-04-20,2021-04-20,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Supportive Care,Spain,2021-01,2021,False,90
NCT04355052,"Open Label Study to Compare Efficacy, Safety and Tolerability of Hydroxychloroquine Combined With Azithromycin Compared to Hydroxychloroquine Combined With Camostat Mesylate and to ""no Treatment"" in SARS CoV 2 Virus",Recruiting,No Results Available,COVID - 19,Drug: hydroxychloroquine in combination with camostat mesylate|Drug: Hydroxychloroquine in combination of Azithromycin,clinical state as reflected by NEWS scoring|positive PCR|prevention of ICU|prevention of assisted ventilation|prevention of ECMO|death,Sheba Medical Center,All,"18 Years to 120 Years   (Adult, Older Adult)",Phase 3,250,Other,Interventional,2020-04-11,2020-10-11,2020-12-11,Randomized,Single Group Assignment,N/A,N/A,None (Open Label),Treatment,Israel,2020-04,2020,False,244
NCT04477902,Long-Term Experience and Health Effects of COVID-19,Suspended,No Results Available,Covid19|Corona Virus Infection|Quality of Life|Risk Reduction,Other: none - observational,Longitudinal survey,Altura,All,"18 Years to 100 Years   (Adult, Older Adult)",N/A,50000,Industry,Observational,2020-07-01,2022-07-01,2022-07-01,N/A,N/A,Ecologic or Community,Prospective,N/A,N/A,United States,2020-07,2020,False,730
NCT04802044,"COVID-19, Aging, and Cardiometabolic Risk Factors Study",Recruiting,No Results Available,Covid19|Obesity|Diabetes Mellitus|Aging|Cardiometabolic Syndrome|Immune System Disorder,N/A,Correlation of Body Mass Index with Clinical Disease Severity|Correlation of Visceral Fat with Clinical Disease Severity|Correlation of Blood Glucose Levels with Clinical Disease Severity|Correlation of HbA1c with Clinical Disease Severity|Changes of Insulin Resistance Levels in COVID-19 Patients Overtime|Changes of Leptin/Adiponectin Ratio in COVID-19 Patients Overtime|Systemic Immune Profiles in Diabetic COVID-19 Patients|Nasal Mucosal Immune Profiles in Diabetic COVID-19 Patients|Aging Parameter (ACE-2 gene expression) in COVID-19 Patients|Aging Parameter (Telomere Length) in COVID-19 Patients|Immune Cells Exhaustion in COVID-19 Patients|Changes of Pro-Inflammatory Cytokine (IL-6) in COVID-19 Patients|Changes of Anti-Inflammatory Cytokine (IL-10) in COVID-19 Patients|Antibody Kinetics in COVID-19 Patients|Proportion of Long COVID Syndrome,Indonesia University|Leiden University Medical Center,All,"18 Years and older   (Adult, Older Adult)",N/A,500,Other,Observational,2020-12-08,2022-02-28,2022-12-31,N/A,N/A,Cohort,Prospective,N/A,N/A,Indonesia,2020-12,2020,False,753
NCT04731870,Exploring Vaccine Confidence and Uptake of Potential COVID-19 Vaccines,Not yet recruiting,No Results Available,Coronavirus,Other: Survey research,Covid-19 vaccine confidence (survey to be developed by study team)|Covid-19 vaccine messaging (messages to be developed by study team & focus group participants)|Covid-19 vaccine uptake (survey to be developed by study team)|Covid-19 vaccine trust (survey to be developed by study team)|Covid-19 vaccine recommendation practices (survey to be developed by study team),East Carolina University,All,"18 Years to 100 Years   (Adult, Older Adult)",N/A,632,Other,Observational,2021-02-01,2023-01-01,2023-01-01,N/A,N/A,Cohort,Cross-Sectional,N/A,N/A,Unknown,2021-02,2021,True,699
NCT04488575,Safety and Efficacy of EDP1815 in the Treatment of Patients Hospitalized With COVID-19 Infection,Recruiting,No Results Available,Covid19,Drug: EDP1815|Drug: Placebo,Change from baseline to the lowest S/F oxygen ratio|Change in S/F Ratio|Percentage change in S/F Ratio|Percentage of participants at each level on the WHO OSCI score|Percentage of participants with shifts from each level of the WHO OSCI score at baseline|Percentage of participants remaining at their baseline score on the WHO OSCI (or lower)|Percentage of participants reporting each level of the WHO OSCI score at their worst post-baseline day|The time in days spent at each participant's worst reported WHO OSCI score (excluding death).|Intubation and mechanical-ventilation free survival|Overall survival|Number of days requiring oxygen therapy|Number of days with pyrexia|Maximum daily temperature|SpO2 level|Time to discharge|Time to oxygen saturation (SpO2) ≥94%|Time to recovery|Number of participants experiencing AEs by seriousness and relationship to treatment|Incidence of clinically significant abnormal lab parameters,"Evelo Biosciences, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 2,60,Industry,Interventional,2020-08-26,2021-07-06,2021-07-06,Randomized,Parallel Assignment,N/A,N/A,"Triple (Participant, Investigator, Outcomes Assessor)",Treatment,United States,2020-08,2020,False,314
NCT04703140,COVIDISC: Rapid Diagnostic Tests on Nasopharyngeal Swabs for the Detection of COVID-19,Recruiting,No Results Available,COVID-19|SARS-CoV-2,Diagnostic Test: Rapid Diagnostic Test vs PCR,"Comparaison of the performance of the diagnostic performance (sensitivity, sensibility) of RT-LAMP test using the RT-PCR test as a reference.|Compare the diagnostic performances of RT-LAMP to clinical diagnosis.",CMC Ambroise Paré,All,"18 Years and older   (Adult, Older Adult)",N/A,350,Other,Interventional,2021-02-11,2022-08-11,2022-09-11,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Diagnostic,France,2021-02,2021,False,577
