NCT Number,Title,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Primary Completion Date,Completion Date,allocation,intervention_model,observational_model,time_perspective,masking,primary_purpose,country,Start_Month,Start Year,Is_Country_Unknown,Study_Duration_Days
NCT04785898,Diagnostic Performance of the ID Now™ COVID-19 Screening Test Versus Simplexa™ COVID-19 Direct Assay,"Active, not recruiting",No Results Available,Covid19,Diagnostic Test: ID Now™ COVID-19 Screening Test,Evaluate the diagnostic performance of the ID Now ™ COVID-19 test carried out by nurses in an emergency department in comparison with the reference PCR test: Simplexa ™ COVID-19 Direct,Groupe Hospitalier Paris Saint Joseph,All,"18 Years and older   (Adult, Older Adult)",N/A,1000,Other,Interventional,2020-11-09,2020-12-22,2021-04-30,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Diagnostic,France,2020-11,2020,False,172
NCT04595136,Study to Evaluate the Efficacy of COVID19-0001-USR in Patients With Mild/or Moderate COVID-19 Infection in Outpatient,Not yet recruiting,No Results Available,SARS-CoV-2 Infection,Drug: Drug COVID19-0001-USR|Drug: normal saline,Change on viral load results from baseline after using COVID19-0001-USR via nebulization,United Medical Specialties,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,60,Other,Interventional,2020-11-02,2020-12-15,2021-01-29,Randomized,Parallel Assignment,N/A,N/A,"Triple (Participant, Care Provider, Investigator)",Treatment,Colombia,2020-11,2020,False,88
NCT04395482,Lung CT Scan Analysis of SARS-CoV2 Induced Lung Injury,Recruiting,No Results Available,covid19,Other: Lung CT scan analysis in COVID-19 patients,A qualitative analysis of parenchymal lung damage induced by COVID-19|A quantitative analysis of parenchymal lung damage induced by COVID-19|The potential impact of parenchymal morphological CT scans in patients with severe moderate respiratory failure.|Automated segmentation of lung scans of patients with COVID-19 and ARDS.|Knowledge of chest CT features in COVID-19 patients and their detail through the use of machine learning and other quantitative techniques.|The ability within which the analysis of artificial intelligence that uses deep learning models can be used to predict clinical outcomes,University of Milano Bicocca,All,"18 Years and older   (Adult, Older Adult)",N/A,500,Other,Observational,2020-05-07,2021-06-15,2021-06-15,N/A,N/A,Cohort,Retrospective,N/A,N/A,Italy,2020-05,2020,False,404
NCT04416061,The Role of a Private Hospital in Hong Kong Amid COVID-19 Pandemic,"Active, not recruiting",No Results Available,COVID,Diagnostic Test: COVID 19 Diagnostic Test,Proportion of asymptomatic subjects|Proportion of subjects with recent contact history|Proportion of subjects with recent travel history,Hong Kong Sanatorium & Hospital,All,"Child, Adult, Older Adult",N/A,2500,Industry,Observational,2020-05-25,2020-07-31,2020-08-31,N/A,N/A,Cohort,Retrospective,N/A,N/A,Hong Kong,2020-05,2020,False,98
NCT04395924,Maternal-foetal Transmission of SARS-Cov-2,Recruiting,No Results Available,Maternal Fetal Infection Transmission|COVID-19|SARS-CoV 2,"Diagnostic Test: Diagnosis of SARS-Cov2 by RT-PCR and : IgG, Ig M serologies in the amniotoc fluid, the blood cord and the placenta",COVID-19 by positive PCR in cord blood and / or positive serologies|COVID-19 by positive PCR in amniotic fluid and placenta|New born infected by COVID-19,Centre Hospitalier Régional d'Orléans|Centre de Biophysique Moléculaire - Pr Chantal Pichon|Professeur TOUMI Hechmi,Female,18 Years to 48 Years   (Adult),N/A,50,Other,Observational,2020-05-05,2021-05-01,2021-05-01,N/A,N/A,Cohort,Prospective,N/A,N/A,France,2020-05,2020,False,361
NCT04516954,Convalescent Plasma for COVID-19 Patients,Enrolling by invitation,No Results Available,COVID 19,Biological: Convalescent COVID 19 Plasma,Evaluate the safety|Change in requirement for mechanical ventilatory support,"Vinmec Research Institute of Stem Cell and Gene Technology|National Institute of Hygiene and Epidemiology, Vietnam|National Hospital for Tropical Diseases, Hanoi, Vietnam|National Institute of Hematology and Blood Transfusion, Vietnam",All,"18 Years to 75 Years   (Adult, Older Adult)",Early Phase 1,10,Other,Interventional,2020-08-01,2020-11-30,2020-12-30,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Treatment,Vietnam,2020-08,2020,False,151
NCT04476940,COVID-19 Breastfeeding Guideline for African-Americans,Not yet recruiting,No Results Available,Covid19|Exclusive Breastfeeding,Behavioral: COVID-19 Breastfeeding Support,COVID-19 breastfeeding guidance adherence at birth.|COVID-19 breastfeeding guidance adherence at 1-month postpartum.|COVID-19 breastfeeding guidance adherence at 3-months postpartum.|Exclusive breastfeeding at birth.|Exclusive breastfeeding at 1-month.|Exclusive breastfeeding at 3-months.|COVID_Status|COVID-19 Immunoglobulin G|COVID-19 Immunoglobulin M,Meharry Medical College,Female,18 Years to 45 Years   (Adult),N/A,200,Other,Interventional,2020-09-01,2021-10-01,2022-06-01,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Prevention,United States,2020-09,2020,False,638
NCT04634214,The Severity of COVID 19 in Diabetes and Non-diabetes Patients,Not yet recruiting,No Results Available,Covid19|Type2 Diabetes,N/A,"Severity of COVID 19 among people with and without diabetes|Number of patients who were in ICU|Number of patients who had tracheal intubation|Number of patients who had respiratory complication|Number of death|Correlation of BMI with complications, tracheal intubation and mortality|Length of hospital stay",India Diabetes Research Foundation & Dr. A. Ramachandran's Diabetes Hospitals,All,"18 Years to 99 Years   (Adult, Older Adult)",N/A,1050,Other,Observational,2020-11-16,2021-02-16,2021-05-16,N/A,N/A,Case-Control,Retrospective,N/A,N/A,India,2020-11,2020,False,181
NCT04602884,Early Detection of COVID-19 Using Breath Analysis,Suspended,No Results Available,Covid19,Diagnostic Test: Breath biopsy sampling using the ReCIVA Breath Sampler,Correlation between Volatile Organic Compounds pattern and COVID-19 detection status.|Correlation between Volatile Organic Compounds pattern and time from COVID-19 detection.|Correlation between the set of Volatile Organic Compounds found in breath biopsy and disease intensity.,Scentech Medical Technologies Ltd,All,18 Years to 55 Years   (Adult),N/A,50,Industry,Interventional,2020-09-22,2021-12-30,2021-12-30,Non-Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Diagnostic,Israel,2020-09,2020,False,464
NCT04384588,COVID19-Convalescent Plasma for Treating Patients With Active Symptomatic COVID 19 Infection (FALP-COVID),Recruiting,No Results Available,COVID-19 Infection|Cancer Patients|General Population,Biological: Convalescent Plasma from COVID-19 donors,"in-hospital mortality secondary to COVID-19 among patients treated with convalescent plasma|safety of the use of convalescent plasma drom COVID 19 donors|Mortality at 30 days, 90 days, 6 months and 1 year|in-hospital Mortality COVID-19 related compared with non-treated population according to Chilean official reports|Number of days of hospitalization in high complexity facilities after convalescent plasma use|Number of days of hospitalization in intensive care unit after convalescent plasma use|Number of days of mechanical ventilatory support in patients after convalescent plasma use|Total number of days of mechanical ventilatory support|Total number of hospitalization days in patients treated with convalescent plasma|Number of hospitalization days in patients after treatment with convalescent plasma|Viral load measuring|Immunological response in treated patients (COVID19-Immunoglobulin M and Immunoglobulin G, neutralizing antibodies)|Negativization of COVID 19 load since convalescent plasma use|Negativization of COVID 19 load since hospitalization|Negativization of COVID 19 load since first reported symptoms COVID-19 related|Donor Interferon Gamma profile characterization|Donor Granulocyte Macrophage Colony Stimulating Factor characterization|Donor Tumor Necrosis Factor Alfa characterization|Donor Interleukin -1 beta characterization|Donor Interleukin-2 characterization|Donor Interleukin-4 characterization|Donor Interleukin-6 characterization|Donor Interleukin-8 characterization|Donor Interleukin-10 characterization|Receptor Interferon Gamma profile characterization|Receptor Granulocyte Macrophage Colony Stimulating Factor characterization|receptor Tumor Necrosis Factor Alfa characterization|receptor Interleukin -1 beta characterization|Receptor Interleukin-2 characterization|Receptor Interleukin-4 characterization|Receptor Interleukin-6 characterization|Receptor Interleukin-8 characterization|Receptor Interleukin-10 characterization",Fundacion Arturo Lopez Perez|Confederación de la Producción y del Comercio (CPC)|Bolsa de Santiago,All,"15 Years and older   (Child, Adult, Older Adult)",Phase 2|Phase 3,100,Other,Interventional,2020-04-07,2021-04-06,2021-04-06,Non-Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Treatment,Chile,2020-04,2020,False,364
NCT04355897,CoVID-19 Plasma in Treatment of COVID-19 Patients,Recruiting,No Results Available,COVID 19,Biological: Convalescent COVID 19 Plasma,Reduce mortality|Reduce requirement for mechanical ventilation.|Reduce the duration of mechanical ventilation.|Review of treatment related adverse events.,The Christ Hospital,All,"18 Years to 80 Years   (Adult, Older Adult)",Early Phase 1,100,Other,Interventional,2020-04-28,2020-07-01,2020-08-01,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Treatment,United States,2020-04,2020,False,95
NCT04412265,Frailty in Elderly Patients With COVID-19,Recruiting,No Results Available,Covid19,Other: Relation between frailty and clinical outcomes in elderly patients with COVID-19.,"Development of a tool to measure frailty|A ""proxy"" variable of the fragility index can be built on the basis of regional administrative databases only.|Give elements to focus the screening policies for COVID19.|Give the prevention of contagion at the elderly population level.",University of Milano Bicocca,All,"18 Years and older   (Adult, Older Adult)",N/A,300,Other,Observational,2020-04-16,2021-03-01,2021-03-01,N/A,N/A,Case-Only,Retrospective,N/A,N/A,Italy,2020-04,2020,False,319
NCT04659759,"COVID-19 Pregnancy Related Immunological, Clinical and Epidemiological Factors and Perinatal Outcomes",Recruiting,No Results Available,Covid19,Other: COVID-19 exposure|Biological: COVID-19 vaccine,Maternal COVID-19 serology (IgG and IgM)|Maternal/neonatal IgG and IgM concordance|Maternal COVID serology time/profile following vaccination|Breastmilk Serology|Cytokine|Neonatal cytokine|COVID disease vs vaccination immune response|COVID vaccine in pregnant vs nonpregnant,Thomas Jefferson University|Nemours,Female,"Child, Adult, Older Adult",N/A,300,Other,Observational,2020-11-17,2021-12-31,2022-06-30,N/A,N/A,Cohort,Prospective,N/A,N/A,United States,2020-11,2020,False,590
NCT04427332,Smell and Taste Disorders in COVID-19 Patients,Completed,No Results Available,covid19,Other: Investigation of smell and taste disorders,Identification of demographic and clinical factors in covid19 patients.|Description of the disturbances of smell and taste|Description of factors that influence smell and taste,University of Milano Bicocca,All,"18 Years and older   (Adult, Older Adult)",N/A,376,Other,Observational,2020-06-11,2020-10-16,2020-10-16,N/A,N/A,Cohort,Prospective,N/A,N/A,Italy,2020-06,2020,False,127
NCT04842708,Evaluation of Anti-COVID 19 Pfizer Vaccination Effect on COVID 19 Detection Using Breath Analysis,Recruiting,No Results Available,Covid19,Diagnostic Test: vaccination against COVID19,Association between breath VOCs and IgG in blood following second vaccination dose.|Association between VOCs profile and participants' clinical or demographic characteristics,Scentech Medical Technologies Ltd,All,"18 Years to 75 Years   (Adult, Older Adult)",N/A,50,Industry,Interventional,2020-12-24,2021-10-24,2021-10-24,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Diagnostic,Israel,2020-12,2020,False,304
NCT04367805,COVID-19 Infection in Patients With Hepatocellular Carcinoma,Recruiting,No Results Available,Hepatocellular Carcinoma|COVID-19,Diagnostic Test: nasopharyngeal Covid 19 RT-PCR,Incidence of COVID-19 infection in patients with hepatocellular carcinoma in France,"Centre Hospitalier Universitaire, Amiens|Centre Hospitalier-Universitaire Bondy|University Hospital, Bordeaux|Centre Hospitalier-Universitaire CLICHY|Centre Hospitalier Général CORBEIL-ESSONNE|CHU CRETEIL|University Hospital, Grenoble|University Hospital, Lille|CHU LYON|Poitiers University Hospital|Rennes University Hospital|University Hospital, Rouen|University Hospital, Toulouse|CHU VILLEJUIF|Central Hospital, Nancy, France|Centre Hospitalier Universitaire de Nice|University Hospital, Montpellier",All,"18 Years and older   (Adult, Older Adult)",N/A,50,Other,Observational,2020-04-27,2020-10-01,2020-10-01,N/A,N/A,Case-Only,Prospective,N/A,N/A,France,2020-04,2020,False,157
NCT04609969,Diagnostic Performance Evaluation of a Novel SARS-CoV-2 (COVID-19) Antigen Detection Test,Completed,No Results Available,Covid19|SARS-CoV-2 Infection,Diagnostic Test: RT-qPCR test|Diagnostic Test: COVID-VIRO® test,Evaluation of COVID VIRO® diagnostic specificity|Evaluation of COVID VIRO® diagnostic sensitivity|Evaluation of COVID VIRO® diagnostic sensitivity for RT-qPCR Cycle threshold value < or > 28,Centre Hospitalier Régional d'Orléans,All,"18 Years and older   (Adult, Older Adult)",N/A,200,Other,Interventional,2020-10-13,2020-10-17,2020-10-17,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Diagnostic,France,2020-10,2020,False,4
NCT04817553,Impact of COVID-19 on the Clinical Outcomes and Management of IgG4 Related Disease Patients,Recruiting,No Results Available,IgG4 Related Disease|Covid19,Other: exposure to COVID19,Incidence of COVID-19 in IgG4 patients with pancreatobiliary involvement|Incidence of severe COVID-19 in IgG4 patients with pancreatobiliary involvement|Medications for the underlying IgG4 disease used when patient was diagnosed to have COVID-19|Risk factors associated with COVID-19 infection in IgG4 patients with pancreatobiliary involvement|Incidence of postponement or discontinuation of indicated medical treatment for the underlying IgG4 disease during COVID-19 outbreak,Chinese University of Hong Kong,All,"18 Years and older   (Adult, Older Adult)",N/A,150,Other,Observational,2021-03-24,2021-07-01,2021-10-01,N/A,N/A,Cohort,Retrospective,N/A,N/A,Hong Kong,2021-03,2021,False,191
NCT04632355,Musculoskeletal Pain in Patients With Covid-19 Who Have Hospital Care,Not yet recruiting,No Results Available,Covid19,Other: Interview,Self-reported Version of the Leeds Assessment of Neuropathic Symptoms and Signs|PainDETEC|EuroQol-5D|The Hospital Anxiety and Depression Scale,Fondazione Don Carlo Gnocchi Onlus,All,"18 Years and older   (Adult, Older Adult)",N/A,100,Other,Observational,2020-12-01,2021-07-31,2021-07-31,N/A,N/A,Cohort,Prospective,N/A,N/A,Italy,2020-12,2020,False,242
NCT04407585,Testing the Accuracy of a Digital Test to Diagnose Covid-19,Recruiting,No Results Available,Covid-19,Diagnostic Test: Covid-19 swab PCR test,SARS-CoV-2 infection,"King's College London|Zoe Global Limited|Department of Health, United Kingdom",All,"18 Years and older   (Adult, Older Adult)",N/A,1000000,Other,Observational,2020-06-01,2021-05-10,2021-05-10,N/A,N/A,Cohort,Prospective,N/A,N/A,United Kingdom,2020-06,2020,False,343
NCT04657510,Femoral frACturEs and COVID-19.,Recruiting,No Results Available,Covid19|Femur Fracture|Fragility Fracture,Other: COVID-19,Survival at discharge day (comparison between the two groups)|Length of stay (comparison between the two groups)|Readmission rate (comparison between the two groups)|Complications rate (comparison between the two groups)|Survival at 30 days after discharge (comparison between the two groups)|Routine lab exams values (comparison between the two groups),Istituto Ortopedico Galeazzi,All,"45 Years and older   (Adult, Older Adult)",N/A,140,Other,Observational,2020-11-14,2020-12-01,2020-12-31,N/A,N/A,Cohort,Retrospective,N/A,N/A,Italy,2020-11,2020,False,47
NCT04473170,Study Evaluating the Safety and Efficacy of Autologous Non-Hematopoietic Peripheral Blood Stem Cells in COVID-19,Completed,No Results Available,Coronavirus Disease 2019 (COVID-19),Biological: Autologous Non-Hematopoietic Peripheral Blood Stem Cells (NHPBSC)|Drug: COVID-19 standard care,Adverse reactions incidence.|Rate of mortality within 28-days.|Time to clinical improvement on a seven-category ordinal scale.|Assessment of the immune response profile.|Assessment of acute-phase serum markers.,Abu Dhabi Stem Cells Center,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,146,Other,Interventional,2020-04-04,2020-05-20,2020-07-14,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Treatment,United Arab Emirates,2020-04,2020,False,101
NCT04497298,Clinical Trial to Evaluate the Safety and Immunogenicity of the COVID-19 Vaccine,"Active, not recruiting",No Results Available,COVID-19,Biological: Two COVID-19 vaccine candidate (TMV-083) administrations - Low dose|Biological: Two COVID-19 vaccine candidate (TMV-083) administrations - High dose|Biological: One COVID-19 vaccine candidate (TMV-083) administration - High dose|Other: Placebo,"To assess the safety and tolerability of the COVID-19 vaccine following one or two consecutive intramuscular injections in healthy volunteers|To assess induction of SARS-CoV-2 spike protein-binding antibodies upon one or two administrations of the COVID-19 vaccine by means of ELISA up to study day 56|To assess induction of SARS-CoV-2 neutralizing antibodies upon one or two administrations of the COVID-19 vaccine by means of serum neutralization assay up to study day 91|To assess SARS-CoV-2 spike protein-specific, cell-mediated immune responses up to study day 91, induced by one or two doses of vaccine, by means of intracellular staining and flow cytometry.|To assess potential measles virus shedding by means of RT-qPCR of saliva, nasal swab, urine, or blood samples in sentinel groups on day 0 and up to day 42",Institut Pasteur|Themis Bioscience GmbH|Coalition for Epidemic Preparedness Innovations,All,18 Years to 55 Years   (Adult),Phase 1,90,Industry|Other,Interventional,2020-08-10,2021-06-01,2021-07-01,Randomized,Parallel Assignment,N/A,N/A,"Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)",Prevention,Belgium,2020-08,2020,False,325
NCT04549831,Genetic Bases of COVID-19 Clinical Variability,Recruiting,No Results Available,COVID-19,Genetic: Massive parallel sequencing of host genome,To identify the genetic determinants of COVID-19 severity|To identify the genetic determinants of COVID-19 clinical trajectories.,"University of Siena|Policlinico San Matteo Pavia Fondazione IRCCS|Ospedale San Donato, Arezzo|Ospedale della Misericordia|Azienda Ospedaliera Ospedale Maggiore di Crema|University of Modena and Reggio Emilia|ASST Fatebenefratelli Sacco|Azienda Ospedaliera di Perugia|Ospedale dell'Angelo, Venezia-Mestre|Azienda Ulss 2 Marca Trevigiana|Cardarelli Hospital|Azienda Ospedaliera dei Colli|IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy|Istituto Giannina Gaslini|Istituti Ospitalieri di Cremona|IRCSS Lazzaro Spallanzani, Roma|ASST Santi Paolo e Carlo|ASST Valtellina e Alto Lario|Azienda USL Toscana Sud Est|ULSS1 Dolomiti, Belluno|ASST Spedali Civili, Brescia|IRCCS Casa Sollievo della Sofferenza, San Giovanni Rotondo|Fondazione Policlinico Universitario Agostino Gemelli IRCCS|Ospedale Luigi Curto, Polla|Istituto Auxologico Italiano|CEINGE Biotecnologie Avanzate, Napoli",All,"18 Years and older   (Adult, Older Adult)",N/A,2000,Other,Observational,2020-04-08,2021-04-08,2026-04-08,N/A,N/A,Case-Control,Prospective,N/A,N/A,Italy,2020-04,2020,False,2191
NCT04706390,Comparison of the Immune Response to Natural COVID-19 Infection and Vaccination,Recruiting,No Results Available,Covid19,Biological: covid-19 vaccine,immune responses|Duration and breadth of B- and T cell responses|Immune responses in healthy people and patient groups at risk,University of Bergen|Haukeland University Hospital,All,"20 Years to 100 Years   (Adult, Older Adult)",N/A,2500,Other,Observational,2021-01-12,2022-01-12,2024-01-12,N/A,N/A,Cohort,Prospective,N/A,N/A,Norway,2021-01,2021,False,1095
NCT04632719,The MentalPlus® for Assessment and Rehabilitation of Cognitive Function After Remission of the Symptoms of COVID-19,Recruiting,No Results Available,"Cognitive Impairment|Covid19|Cognitive Dysfunction|Depression, Anxiety|Quality of Life",Device: The use of the MentalPlus® digital game for assessment and rehabilitation of cognitive function after remission of the symptoms of COVID-19,Assessment of cognitive functions after COVID-19|Rehabilitation of cognitive functions after COVID-19,University of Sao Paulo,All,"8 Years to 88 Years   (Child, Adult, Older Adult)",N/A,200,Other,Interventional,2020-11-08,2020-12-29,2023-12-29,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Treatment,Brazil,2020-11,2020,False,1146
NCT04427345,Predictive Factors COVID-19 Patients,Recruiting,No Results Available,covid19,Other: Predictive factors for clinical response in patients with COVID-19.,"Identify risk factors for intra-hospital mortality.|Identify risk factors to build a prognostic score.|Predictive factors for the hospitalization duration.|Predictive factors for clinical status patients based on ""Ordinal Scale for Clinical Improvement""|Describe the anti-viral therapies used commonly in this emergency in terms of efficacy|Describe the anti-viral therapies used commonly used in this emergency in terms of safety|Monitor the clinical course of the disease in discharged patients.",University of Milano Bicocca,All,"18 Years and older   (Adult, Older Adult)",N/A,1000,Other,Observational,2020-04-30,2021-04-30,2021-04-30,N/A,N/A,Cohort,Retrospective,N/A,N/A,Italy,2020-04,2020,False,365
NCT04424004,MURDOCK Cabarrus County COVID-19 Prevalence and Immunity (C3PI) Study,"Active, not recruiting",No Results Available,COVID 19,Other: COVID-19 PCR and serology testing,"Estimate the prevalence of COVID-19 infection based on responses to questionnaire items on symptoms and practices using a biweekly electronic survey.|Assess perceptions, concerns, and practices related to the COVID-19 pandemic and mitigation strategies|Estimate of the prevalence of active infection in Cabarrus County.|Estimate of the prevalence of exposure and potential immunity to COVID-19.",Duke University|North Carolina Department of Health and Human Services,All,"18 Years and older   (Adult, Older Adult)",N/A,500,Other,Observational,2020-06-09,2021-06-30,2021-06-30,N/A,N/A,Ecologic or Community,Cross-Sectional,N/A,N/A,United States,2020-06,2020,False,386
NCT04407494,Diagnostic Value of Patient - Reported and Clinically Verified Olfactory Disorders (COVID-19),Completed,No Results Available,COVID-19,"Biological: Reporting of anosmia, ageusia and other clinical symptoms",Diagnostic values of anosmia and ageusia for COVID-19|Diagnostic values of CODA,"University Hospital, Montpellier",All,"18 Years and older   (Adult, Older Adult)",N/A,809,Other,Observational,2020-03-01,2020-04-01,2020-04-30,N/A,N/A,Cohort,Prospective,N/A,N/A,France,2020-03,2020,False,60
NCT04360811,"Assessment of Obstetric, Fetal and Neonatal Risks and Vertical SARS-CoV-2 Transmission During COVID-19 Pandemic",Recruiting,No Results Available,Pregnancy,Diagnostic Test: COVID 19 diagnostic test by PCR,number of positive COVID-19 women,"University Hospital, Toulouse",Female,"18 Years and older   (Adult, Older Adult)",N/A,3600,Other,Interventional,2020-04-17,2021-04-01,2022-04-01,Non-Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Other,France,2020-04,2020,False,714
NCT04403672,Performance Evaluation of RealDetect™ COVID-19 RT-PCR Kit for the Detection of SARS-CoV-2 Virus,Recruiting,No Results Available,High Sensitivity and Specificity (With 95% Confidence Interval) of RealDetect™ COVID-19 RT-PCR Kit,Device: performance evaluation study of RealDetect RT-PCR Kit for COVID-19 detection,Performance evaluation of RealDetect™ COVID-19 RT-PCR kit|Reduce the price of RT-PCR based COVID-19 diagnostic test kits.,Bangladesh Medical Research Council (BMRC),All,"5 Years to 65 Years   (Child, Adult, Older Adult)",N/A,120,Other,Observational,2020-05-18,2020-07-24,2020-07-24,N/A,N/A,Case-Control,Prospective,N/A,N/A,Bangladesh,2020-05,2020,False,67
NCT04363099,Multicentre Observational Study on Management COVID 19 Positive Outpatients in a French Cluster.,Recruiting,No Results Available,Covid-19,Other: observational,clinical description of covid 19 ambulatory cases.|Biological and radiological description of ambulatory cases|Prevalence of positive cases (PCR and/or serological positive),Maison de Sante Pluridisciplinaire de Creil,All,"up to 99 Years   (Child, Adult, Older Adult)",N/A,1000,Other,Observational,2020-03-01,2020-06-30,2020-12-31,N/A,N/A,Cohort,Other,N/A,N/A,France,2020-03,2020,False,305
NCT04377425,COVID-19 Prevalence and Cognitive Deficits in Neurological Patients,Withdrawn,No Results Available,"Neurological Diseases or Conditions|Stroke, Acute|Seizure Disorder",Diagnostic Test: COVID-19 swap test PCR,Prevalence of COVID-19 infection in consecutive patients with neurological symptoms|Three months cognitive function of COVID-19 positive patients|Clinical presentation of neurological symptoms in COVID-19 positive patients|Prevalence of pre- and asymptomatic COVID-19 positive patients in acutely admitted neurological patients|Anosmia in COVID-19 positive patients|Exploratory analysis on neuro-specific and inflammatory blood and cerebrospinal fluid markers of COVID-19 infection|Exploratory analysis of the coagulation profile of COVID-19 positive patients compared to COVID-19neg patients,Aarhus University Hospital,All,"18 Years and older   (Adult, Older Adult)",N/A,0,Other,Observational,2020-05-07,2020-11-29,2022-06-30,N/A,N/A,Cohort,Prospective,N/A,N/A,Denmark,2020-05,2020,False,784
NCT04602871,Early Detection of COVID-19 Using Breath Analysis - Feasibility Study,Completed,No Results Available,Covid19,Diagnostic Test: Breath Biopsy,Correlation between Volatile Organic Compounds pattern in-breath biopsy and COVID-19 detection.|Correlation between Volatile Organic Compounds pattern and the course of the disease,Scentech Medical Technologies Ltd,All,"18 Years to 75 Years   (Adult, Older Adult)",N/A,108,Industry,Interventional,2020-07-03,2021-01-30,2021-01-30,Non-Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Diagnostic,Israel,2020-07,2020,False,211
NCT04691895,Gastrointestinal Symptoms in COVID-19,"Active, not recruiting",No Results Available,COVID19 Disease,Other: SARS-CoV2 infection,Prevalence of gastrointestinal symptoms in patients admitted to hospital for COVID19 disease as assessed by GSRS questionnaire|Prognosis of gastrointestinal symptoms in patients admitted to hospital for COVID19 disease|Long term consequences of COVID-19 on gastrointestinal symptoms on the development of post-infection (PI) irritable bowel syndrome (IBS).|long term consequences of COVID-19 on gastrointestinal symptoms on the development of post-infection (PI) dyspepsia.|Identification of risk factors for post-infection gastrointestinal symptom development.,University of Bologna,All,"18 Years to 85 Years   (Adult, Older Adult)",N/A,2000,Other,Observational,2020-05-01,2020-09-30,2021-12-31,N/A,N/A,Case-Control,Prospective,N/A,N/A,Italy,2020-05,2020,False,609
NCT04645498,COVID-19 and Hereditary Metabolic Diseases,Not yet recruiting,No Results Available,"Covid19|Metabolism, Inborn Errors",N/A,Frequency of MHM imbalance triggered by COVID-19|Number of COVID-19 patients in Gaucher's disease|Number of COVID-19 patients in Urea Cycle Disorder|Severity of COVID-19 infection,"University Hospital, Lille",All,"Child, Adult, Older Adult",N/A,77,Other,Observational,2021-01-01,2023-01-01,2023-01-01,N/A,N/A,Cohort,Prospective,N/A,N/A,Unknown,2021-01,2021,True,730
NCT04747821,An Effectiveness Study of the Sinovac's Adsorbed COVID-19 (Inactivated) Vaccine,"Active, not recruiting",No Results Available,Covid19,Biological: Adsorbed COVID-19 (Inactivated) Vaccine,Incidence of COVID-19 cases after two-doses immunization schedule in clusters in the first quarter of study|Incidence of COVID-19 cases after two-doses immunization schedule in clusters up to one year of study|Incidence of COVID-19 cases after two-doses immunization schedule in clusters according to immunization status|Incidence of COVID-19 cases after two-doses immunization schedule in clusters according to pre-existing SARS-CoV-2 antibodies|Incidence of COVID-19 cases after two-doses immunization schedule in clusters according to immunization coverage|Incidence of hospitalization and death due to COVID-19 after two-doses immunization schedule in clusters|Change in average number of reported COVID-19 cases in the study area in comparison to other neighboring cities|Medically-attended adverse reactions to the study vaccine|Frequency of severe COVID-19 cases|Frequency of adverse events of special interest after immunization|Acceptability of the study vaccine|Adherence to vaccination schedule,Butantan Institute,All,"18 Years and older   (Adult, Older Adult)",Phase 4,27711,Other,Interventional,2021-02-07,2021-05-01,2022-02-01,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Prevention,Brazil,2021-02,2021,False,359
NCT04372004,Comparison of the Efficacy of Rapid Tests to Identify COVID-19 Infection (CATCh COVID-19),Recruiting,No Results Available,COVID-19,Diagnostic Test: diagnostic tests for COVID-19 infection,detection of viral infection using serology and viral-RNA detection kits|Temporal trend of antibodies in blood,Texas Cardiac Arrhythmia Research Foundation,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 1,100,Other,Interventional,2020-05-08,2021-05-01,2021-06-01,Non-Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Diagnostic,United States,2020-05,2020,False,389
NCT04377685,Prediction of Clinical Course in COVID19 Patients,Recruiting,No Results Available,COVID 19,Other: CT-Scan,diagnostic of COVID disease composite,"Centre Hospitalier Universitaire de Saint Etienne|Institut National des Sciences Appliquées (INSA)|Institut National de la Santé Et de la Recherche Médicale, France|Centre National pour le Recherche Scientifique (CNRS)|Université de Lyon|Université Jean Monnet",All,"18 Years and older   (Adult, Older Adult)",N/A,800,Other,Observational,2020-03-01,2021-06-30,2021-06-30,N/A,N/A,Cohort,Retrospective,N/A,N/A,France,2020-03,2020,False,486
