study_id,nct_id,title,status,phase,study_type,start_date,completion_date,primary_completion_date,enrollment,gender
5384,NCT04431323,Intervention for Young Adults With Multiple Sclerosis,Recruiting,,Interventional,2020-05-13,2022-08-01,2022-08-01,60,All
5385,NCT04386798,Stress and Anxiety Levels of Mothers Lying in the Baby Newborn Intensive Care Unit,Recruiting,,Interventional,2020-07-25,2021-02-25,2020-12-22,60,Female
5386,NCT04362163,Study for Testing and Reviewing Improvised PPE Effectiveness 3 (STRIPE-3),Completed,,Observational,2020-05-01,2020-06-05,2020-06-05,10,All
5387,NCT04800861,Glycemic Control in Diabetic Hospitalized Patients,Recruiting,,Observational,2021-01-01,2021-07-01,2021-07-01,500,All
5388,NCT04114110,RTLS Technology Study,"Active, not recruiting",,Observational,2020-01-06,2020-12-01,2020-12-01,2000,All
5389,NCT04752683,Validation of an Employee Remote Workplace Stress Measure Embedded Within a Novel Employee Wellbeing App,Not yet recruiting,,Observational,2021-03-01,2021-06-01,2021-04-01,220,All
5390,NCT04719039,The Effect of Yoga Self-Practice on Sleep Disturbance,Not yet recruiting,,Interventional,2021-02-01,2021-05-01,2021-04-01,30,All
5391,NCT04672486,"PRIDE - Pilot Trial of an Online Digital Problem-solving Intervention for School-going Adolescents in Goa, India",Recruiting,,Interventional,2021-01-28,2021-05-31,2021-05-31,120,All
5392,NCT04539756,Writing Activities and Emotions,Recruiting,,Interventional,2020-09-08,2021-08-01,2021-08-01,250,All
5393,NCT04820257,Home-based Pulmonary Rehabilitation for COPD Patients,Not yet recruiting,,Interventional,2021-03-01,2022-12-01,2022-12-01,80,All
5394,NCT04690517,Comparison of Tracheal Ultrasound With Capnography for Intubation Confirmation During CPR Wearing PPE,Recruiting,,Interventional,2021-01-30,2021-07-01,2021-04-01,34,All
5395,NCT04704570,Remote Exercise Programs and Preventive Training in Asymptomatic Individuals,Not yet recruiting,,Interventional,2021-03-25,2022-09-29,2022-06-29,20,All
5396,NCT04616768,PROStep: A Feasibility Trial Using PROs and Step Data to Monitor Patients With Lung and GI Cancers,Recruiting,Phase 3,Interventional,2020-11-19,2021-11-01,2021-11-01,125,All
5397,NCT04291638,Evaluating an Online Adjunctive Support Following Intensive Services (OASIS) Strategy for Youth With Selective Mutism,Completed,,Interventional,2020-03-06,2020-12-07,2020-12-07,11,All
5398,NCT04406363,Confinement Effect on Low Back Pain Intensity in Chronic Low Back Pain Patients,Not yet recruiting,,Observational,2020-06-02,2020-06-21,2020-06-02,300,All
5399,NCT04832152,Telehealth Intervention for Autism Spectrum Disorder,Not yet recruiting,,Interventional,2021-05-01,2022-06-30,2022-04-30,10,All
5400,NCT04801316,Steady Feet: Proof of Value,Not yet recruiting,,Interventional,2021-04-01,2023-03-31,2022-01-31,290,All
