study_id,nct_id,title,status,phase,study_type,start_date,completion_date,primary_completion_date,enrollment,gender
1,NCT04785898,Diagnostic Performance of the ID Now™ COVID-19 Screening Test Versus Simplexa™ COVID-19 Direct Assay,"Active, not recruiting",,Interventional,2020-11-09,2021-04-30,2020-12-22,1000,All
2,NCT04595136,Study to Evaluate the Efficacy of COVID19-0001-USR in Patients With Mild/or Moderate COVID-19 Infection in Outpatient,Not yet recruiting,Phase 1|Phase 2,Interventional,2020-11-02,2021-01-29,2020-12-15,60,All
3,NCT04395482,Lung CT Scan Analysis of SARS-CoV2 Induced Lung Injury,Recruiting,,Observational,2020-05-07,2021-06-15,2021-06-15,500,All
4,NCT04416061,The Role of a Private Hospital in Hong Kong Amid COVID-19 Pandemic,"Active, not recruiting",,Observational,2020-05-25,2020-08-31,2020-07-31,2500,All
5,NCT04395924,Maternal-foetal Transmission of SARS-Cov-2,Recruiting,,Observational,2020-05-05,2021-05-01,2021-05-01,50,Female
6,NCT04516954,Convalescent Plasma for COVID-19 Patients,Enrolling by invitation,Early Phase 1,Interventional,2020-08-01,2020-12-30,2020-11-30,10,All
7,NCT04476940,COVID-19 Breastfeeding Guideline for African-Americans,Not yet recruiting,,Interventional,2020-09-01,2022-06-01,2021-10-01,200,Female
8,NCT04634214,The Severity of COVID 19 in Diabetes and Non-diabetes Patients,Not yet recruiting,,Observational,2020-11-16,2021-05-16,2021-02-16,1050,All
9,NCT04602884,Early Detection of COVID-19 Using Breath Analysis,Suspended,,Interventional,2020-09-22,2021-12-30,2021-12-30,50,All
10,NCT04384588,COVID19-Convalescent Plasma for Treating Patients With Active Symptomatic COVID 19 Infection (FALP-COVID),Recruiting,Phase 2|Phase 3,Interventional,2020-04-07,2021-04-06,2021-04-06,100,All
11,NCT04355897,CoVID-19 Plasma in Treatment of COVID-19 Patients,Recruiting,Early Phase 1,Interventional,2020-04-28,2020-08-01,2020-07-01,100,All
12,NCT04412265,Frailty in Elderly Patients With COVID-19,Recruiting,,Observational,2020-04-16,2021-03-01,2021-03-01,300,All
13,NCT04659759,"COVID-19 Pregnancy Related Immunological, Clinical and Epidemiological Factors and Perinatal Outcomes",Recruiting,,Observational,2020-11-17,2022-06-30,2021-12-31,300,Female
14,NCT04427332,Smell and Taste Disorders in COVID-19 Patients,Completed,,Observational,2020-06-11,2020-10-16,2020-10-16,376,All
15,NCT04842708,Evaluation of Anti-COVID 19 Pfizer Vaccination Effect on COVID 19 Detection Using Breath Analysis,Recruiting,,Interventional,2020-12-24,2021-10-24,2021-10-24,50,All
16,NCT04367805,COVID-19 Infection in Patients With Hepatocellular Carcinoma,Recruiting,,Observational,2020-04-27,2020-10-01,2020-10-01,50,All
17,NCT04609969,Diagnostic Performance Evaluation of a Novel SARS-CoV-2 (COVID-19) Antigen Detection Test,Completed,,Interventional,2020-10-13,2020-10-17,2020-10-17,200,All
18,NCT04817553,Impact of COVID-19 on the Clinical Outcomes and Management of IgG4 Related Disease Patients,Recruiting,,Observational,2021-03-24,2021-10-01,2021-07-01,150,All
19,NCT04632355,Musculoskeletal Pain in Patients With Covid-19 Who Have Hospital Care,Not yet recruiting,,Observational,2020-12-01,2021-07-31,2021-07-31,100,All
20,NCT04407585,Testing the Accuracy of a Digital Test to Diagnose Covid-19,Recruiting,,Observational,2020-06-01,2021-05-10,2021-05-10,1000000,All
21,NCT04657510,Femoral frACturEs and COVID-19.,Recruiting,,Observational,2020-11-14,2020-12-31,2020-12-01,140,All
22,NCT04473170,Study Evaluating the Safety and Efficacy of Autologous Non-Hematopoietic Peripheral Blood Stem Cells in COVID-19,Completed,Phase 1|Phase 2,Interventional,2020-04-04,2020-07-14,2020-05-20,146,All
23,NCT04497298,Clinical Trial to Evaluate the Safety and Immunogenicity of the COVID-19 Vaccine,"Active, not recruiting",Phase 1,Interventional,2020-08-10,2021-07-01,2021-06-01,90,All
24,NCT04549831,Genetic Bases of COVID-19 Clinical Variability,Recruiting,,Observational,2020-04-08,2026-04-08,2021-04-08,2000,All
25,NCT04706390,Comparison of the Immune Response to Natural COVID-19 Infection and Vaccination,Recruiting,,Observational,2021-01-12,2024-01-12,2022-01-12,2500,All
26,NCT04632719,The MentalPlus® for Assessment and Rehabilitation of Cognitive Function After Remission of the Symptoms of COVID-19,Recruiting,,Interventional,2020-11-08,2023-12-29,2020-12-29,200,All
27,NCT04427345,Predictive Factors COVID-19 Patients,Recruiting,,Observational,2020-04-30,2021-04-30,2021-04-30,1000,All
28,NCT04424004,MURDOCK Cabarrus County COVID-19 Prevalence and Immunity (C3PI) Study,"Active, not recruiting",,Observational,2020-06-09,2021-06-30,2021-06-30,500,All
29,NCT04407494,Diagnostic Value of Patient - Reported and Clinically Verified Olfactory Disorders (COVID-19),Completed,,Observational,2020-03-01,2020-04-30,2020-04-01,809,All
30,NCT04360811,"Assessment of Obstetric, Fetal and Neonatal Risks and Vertical SARS-CoV-2 Transmission During COVID-19 Pandemic",Recruiting,,Interventional,2020-04-17,2022-04-01,2021-04-01,3600,Female
31,NCT04403672,Performance Evaluation of RealDetect™ COVID-19 RT-PCR Kit for the Detection of SARS-CoV-2 Virus,Recruiting,,Observational,2020-05-18,2020-07-24,2020-07-24,120,All
32,NCT04363099,Multicentre Observational Study on Management COVID 19 Positive Outpatients in a French Cluster.,Recruiting,,Observational,2020-03-01,2020-12-31,2020-06-30,1000,All
33,NCT04377425,COVID-19 Prevalence and Cognitive Deficits in Neurological Patients,Withdrawn,,Observational,2020-05-07,2022-06-30,2020-11-29,0,All
34,NCT04602871,Early Detection of COVID-19 Using Breath Analysis - Feasibility Study,Completed,,Interventional,2020-07-03,2021-01-30,2021-01-30,108,All
35,NCT04691895,Gastrointestinal Symptoms in COVID-19,"Active, not recruiting",,Observational,2020-05-01,2021-12-31,2020-09-30,2000,All
36,NCT04645498,COVID-19 and Hereditary Metabolic Diseases,Not yet recruiting,,Observational,2021-01-01,2023-01-01,2023-01-01,77,All
37,NCT04747821,An Effectiveness Study of the Sinovac's Adsorbed COVID-19 (Inactivated) Vaccine,"Active, not recruiting",Phase 4,Interventional,2021-02-07,2022-02-01,2021-05-01,27711,All
38,NCT04372004,Comparison of the Efficacy of Rapid Tests to Identify COVID-19 Infection (CATCh COVID-19),Recruiting,Phase 1,Interventional,2020-05-08,2021-06-01,2021-05-01,100,All
39,NCT04377685,Prediction of Clinical Course in COVID19 Patients,Recruiting,,Observational,2020-03-01,2021-06-30,2021-06-30,800,All
40,NCT04717011,Case Series Study to Detect SARS-CoV-2 in Semen of COVID-19 Patients,Recruiting,,Observational,2021-02-01,2021-07-01,2021-07-01,100,Male
41,NCT04412486,COVID-19 Convalescent Plasma (CCP) Transfusion,Recruiting,Early Phase 1,Interventional,2020-06-01,2022-05-31,2022-05-31,100,All
42,NCT04581135,Study to Investigate Long-term Pulmonary and Extrapulmonary Effects of COVID-19,Recruiting,,Observational,2020-05-01,2023-06-01,2023-04-30,500,All
43,NCT04387968,"Epidemiological Study of the Covid-19 Presto Test - The ""COVIDOR"" Study",Recruiting,,Observational,2020-08-24,2021-03-24,2021-03-24,5000,All
44,NCT04845048,Active Pharmacovigilance Study of Adsorbed COVID-19 (Inactivated) Vaccine,Not yet recruiting,,Observational,2021-04-01,2021-11-01,2021-09-01,900,All
45,NCT04490837,Rapid Diagnostic Test for COVID-19 Based on Antibody Detection (YCOVID),"Active, not recruiting",,Observational,2020-06-22,2020-09-30,2020-07-31,3500,All
46,NCT04834908,Evaluation of Equine Antibody Treatment in Patients With COVID 19 Infection,Not yet recruiting,Phase 1|Phase 2,Interventional,2021-05-01,2022-09-01,2022-03-01,160,All
47,NCT04730401,Convalescent Plasma in the Treatment of Covid-19,Recruiting,Phase 2,Interventional,2021-01-27,2021-12-31,2021-08-31,390,All
48,NCT04799444,LATE-COVID/LATE-COVID-Kids - Observational Study in Children and Adults,Recruiting,,Observational,2020-10-01,2022-06-30,2022-06-30,500,All
49,NCT04425707,Ivermectin In Treatment of COVID 19 Patients,Recruiting,,Interventional,2020-06-09,2020-09-01,2020-07-01,100,All
50,NCT04356560,COVID-19 Surveillance of Patients and Healthcare Workers in a Hospital Department,Enrolling by invitation,,Observational,2020-03-23,2020-12-31,2020-09-30,300,All
51,NCT04598620,Non-invasive Prognostication of COVID-19 Patients by Use of Biomarkers in Exhaled Breath Condensate,Recruiting,,Observational,2020-09-19,2021-10-01,2021-10-01,50,All
52,NCT04386109,Neonatal Complications of Coronavirus Disease (COVID-19),Recruiting,,Observational,2020-04-01,2021-09-30,2021-03-31,500,All
53,NCT04575168,Clinical Study Spartan COVID-19 V2 System,Recruiting,,Observational,2020-10-30,2020-11-01,2020-11-01,100,All
54,NCT04437940,Evaluation of Vaginal Fluid for Covid-19 Positivity in Women With Positive Nasofarengeal Covid-19 Test,Completed,,Observational,2020-06-15,2020-11-30,2020-07-10,38,Female
55,NCT04508075,"Efficacy, Safety and Immunogenicity Study of SARS-CoV-2 Inactivated Vaccine","Active, not recruiting",Phase 3,Interventional,2020-08-10,2021-09-01,2021-01-09,1620,All
56,NCT04628208,Clinical Study Spartan COVID-19 V2 System (Canada Alternate),Recruiting,,Observational,2020-11-17,2021-01-01,2021-01-01,60,All
57,NCT04750330,Mitochondrial DNA and Nuclear SNPs to Predict Severity of COVID-19 Infection,Not yet recruiting,,Observational,2021-04-01,2022-03-31,2022-03-31,600,All
58,NCT04602949,Detection of COVID-19 Using Breath Analysis - Validation Study,Recruiting,,Interventional,2020-11-12,2021-07-28,2021-07-28,4000,All
59,NCT04376398,Survey: COVID-19 Patients Managed in the Operating Theatre of Belgian Hospitals,Completed,,Observational,2020-04-06,2020-08-30,2020-06-30,200,All
60,NCT04563247,Seroprevalence of SARS-CoV-2 in Asymptomatic Frontline COVID-19 HCWs,Completed,,Observational,2020-07-01,2021-02-08,2021-02-08,970,All
61,NCT04379310,Evaluation of Clinical Parameters on Admission and Medications in Covid-19 Pneumonia (Corona Virus Disease 2019),Completed,,Observational,2020-05-01,2020-05-08,2020-05-05,54,All
62,NCT04682132,Polk COVID-19 and Flu Response,"Active, not recruiting",,Observational,2020-05-26,2021-01-01,2020-12-31,686,All
63,NCT04390074,COVID-19 in the Swedish ICU-cohort: Risk Factors of Critical Care Admission and Intensive Care Mortality,Completed,,Observational,2020-05-27,2020-06-04,2020-06-04,9905,All
64,NCT04353206,Convalescent Plasma in ICU Patients With COVID-19-induced Respiratory Failure,Recruiting,Early Phase 1,Interventional,2020-06-27,2021-05-01,2021-05-01,60,All
65,NCT04460274,Forecast Number of Covid-19 Cases Worldwide,Completed,,Observational,2019-12-31,2020-06-20,2020-06-15,7882471,All
66,NCT04366271,Clinical Trial of Allogeneic Mesenchymal Cells From Umbilical Cord Tissue in Patients With COVID-19,Recruiting,Phase 2,Interventional,2020-05-07,2021-05-31,2020-07-31,106,All
67,NCT04345679,Anti COVID-19 Convalescent Plasma Therapy,Recruiting,Early Phase 1,Interventional,2020-04-14,2021-09-01,2021-06-01,20,All
68,NCT04668404,Study of Coagulation Profile and Role of Heparin Like Effect in Patients With COVID-19,Recruiting,,Observational,2020-08-24,2021-02-01,2021-01-01,50,All
69,NCT04339322,Characteristics and Outcome of Coronavirus Disease 2019 (COVID-19) in Egypt,Not yet recruiting,,Observational,2020-05-01,2020-07-30,2020-07-30,200,All
70,NCT04674644,Analysing the Psychosocial Effects of COVID-19 Pandemic on Dental Professionals Using the Turkish Version of the Fear of COVID-19 and Coronavirus Anxiety Scales,Completed,,Interventional,2020-10-16,2020-10-23,2020-10-23,850,All
71,NCT04453748,"The Assessment of the Prevalence, Clinical Course and Treatment of COVID-19 Complications",Enrolling by invitation,,Observational,2020-06-08,2021-11-30,2021-10-31,200,All
72,NCT04811391,COVID-19 Vaccine Effectiveness in Albanian Health Workers,Recruiting,,Observational,2021-02-19,2022-05-20,2022-05-20,1500,All
73,NCT04381871,Potential Role of Gum Arabic as Immunomodulatory Agent Among COVID 19 Patients,Not yet recruiting,Phase 2|Phase 3,Interventional,2020-06-01,2020-09-01,2020-08-01,110,All
74,NCT04323787,Viral Infection and Respiratory Illness Universal Study[VIRUS]: COVID-19 Registry,Recruiting,,Observational,2020-03-30,2021-04-30,2021-04-30,50000,All
75,NCT04510207,"A Study to Evaluate The Efficacy, Safety and Immunogenicity of Inactivated SARS-CoV-2 Vaccines (Vero Cell) in Healthy Population Aged 18 Years Old and Above",Recruiting,Phase 3,Interventional,2020-07-16,2021-09-16,2021-06-16,45000,All
76,NCT04760990,A Study to Assess the Potential Impact of Disease Modifying Therapies on COVID-19 Outcomes and the Antibody Response Following an Infection With SARS-CoV-2 in Patients With Multiple Sclerosis Within the Swiss Multiple Sclerosis Cohort.,Recruiting,,Observational,2021-02-01,2023-12-01,2023-12-01,1400,All
77,NCT04387929,Detection of Anti-COVID-19 Antibody Levels in an Hospital Population,Recruiting,,Observational,2020-05-04,2021-05-30,2021-05-30,6000,All
78,NCT04330261,Clinical Characteristics and Outcomes of Pediatric COVID-19,Recruiting,,Observational,2020-03-18,2022-03-17,2021-03-17,12500,All
79,NCT04529460,Healthy Volunteer COVID-19 Antibody Testing Study,Not yet recruiting,,Observational,2020-09-01,2021-04-30,2021-01-29,200,All
80,NCT04392323,Incidence of COVID-19 Test Conversion in Post-surgical Patients,Recruiting,,Interventional,2020-05-13,2020-07-31,2020-07-01,500,All
81,NCT04565522,Transmission of COVID-19 Virus Among Patients and Staff in Dialysis Centers,Not yet recruiting,,Observational,2020-09-21,2021-10-31,2021-09-30,5000,All
82,NCT04799392,NOWDx Test for the Detection of Antibodies to COVID-19 in Lay Persons,Recruiting,,Interventional,2021-04-01,2021-04-30,2021-04-30,339,All
83,NCT04816318,Policy Responses Against the COVID-19 Pandemic in Latin America,Not yet recruiting,,Observational,2021-03-22,2021-05-31,2021-05-31,10000,All
84,NCT04690413,NOWDx Test for the Detection of Antibodies to COVID-19,Completed,,Interventional,2020-09-01,2020-12-31,2020-12-31,129,All
85,NCT04349202,Beaumont Health Large-scale Automated Serologic Testing for COVID-19,Recruiting,,Observational,2020-04-10,2021-06-01,2021-06-01,56000,All
86,NCT04474496,Impact of COVID-19 on Marshallese Communities in the U.S.,Completed,,Observational,2020-07-27,2020-11-30,2020-11-30,120,All
87,NCT04466657,Antioxidant Therapy for COVID-19 Study,Not yet recruiting,,Interventional,2020-11-01,2021-04-30,2021-02-28,90,All
88,NCT04427358,RT-PCR SARS-CoV-2 at 1 Month of COVID-19 Infection in the Geriatric Population,Completed,,Observational,2020-05-07,2020-09-07,2020-08-07,100,All
89,NCT04811664,A Study of SARS CoV-2 Infection and Potential Transmission in University Students Immunized With Moderna COVID-19 Vaccine,Recruiting,Phase 3,Interventional,2021-03-22,2021-12-22,2021-12-22,37500,All
90,NCT04664023,"Description of Immunologic, Enzymatic and Metabolic Biomarkers Associated to the Severity of COVID-19 (SARS-CoV-2) and Its Resolution",Recruiting,,Observational,2020-12-09,2022-07-30,2022-07-30,120,All
91,NCT04404062,Validation of COVID-19 Tests,"Active, not recruiting",,Observational,2020-03-16,2020-08-01,2020-08-01,500,All
92,NCT04376996,Slovenian National COVID-19 Prevalence Study,Recruiting,,Observational,2020-04-20,2020-12-01,2020-10-01,3000,All
93,NCT04370288,Clinical Application of Methylene Blue for Treatment of Covid-19 Patients,Recruiting,Phase 1,Interventional,2020-04-19,2020-09-21,2020-09-20,20,All
94,NCT04706403,Views on COVID-19 and Vaccination,"Active, not recruiting",,Interventional,2021-01-04,2021-12-26,2021-06-01,3000,All
95,NCT04393402,Lung Ultrasound Score in Covid 19 Infectious Disease in Critical Care (LUS-COVID19),Recruiting,,Observational,2020-03-20,2020-12-31,2020-12-31,14,All
96,NCT04548908,Prevalence Of COVID-19 Among Health-workers in a French General Hospital,Recruiting,,Observational,2020-08-03,2021-06-30,2021-04-30,1300,All
97,NCT04582331,Improving Real-time COVID-19 Monitoring Through Smartphone Voice Analysis,Recruiting,,Observational,2020-09-10,2021-04-30,2021-04-30,300,All
98,NCT04379284,Risks of COVID19 in the Pregnant Population,Recruiting,,Observational,2020-05-08,2021-07-31,2021-04-30,100,Female
99,NCT04352764,ANTIBODY BASED TESTS FOR SARSCoV-2 COVID-19) - Evaluation of Patients and Healthcare Providers in the Confines of Healthcare Settings,Recruiting,,Observational,2020-03-27,2021-01-31,2020-12-31,5000,All
100,NCT04780698,DCI COVID-19 Surveillance Project,Recruiting,,Interventional,2021-03-01,2022-03-01,2021-10-01,160,All
101,NCT04598334,Cytokine Storm Among Bangladeshi Patients With COVID-19,Not yet recruiting,,Observational,2021-06-15,2021-10-01,2021-10-01,75,All
102,NCT04418245,CT Biomarkers Identification by Artificial Intelligence for COVID-19 Prognosis,"Active, not recruiting",,Observational,2020-03-01,2020-07-01,2020-06-01,1000,All
103,NCT04416373,COVID-19 and Pregnancy Outcomes,Recruiting,,Observational,2020-03-22,2023-12-01,2023-12-01,300,Female
104,NCT04342637,COVID-19 Endoscopy Survey,Completed,,Observational,2020-04-10,2020-05-01,2020-04-25,163,All
105,NCT04382235,Non-invasive Ventilatory Support of Patients Affected by COVID-19,"Active, not recruiting",,Observational,2020-03-26,2020-12-30,2020-12-30,900,All
106,NCT04694703,"Changing of Trace Element, Homocysteine, Oxidative Stress Parameters and Physical Activity Levels in Covid-19",Recruiting,,Observational,2021-01-06,2021-03-01,2021-02-01,20,All
107,NCT04361422,Isotretinoin in Treatment of COVID-19,Not yet recruiting,Phase 3,Interventional,2020-12-01,2021-12-01,2021-08-01,300,All
108,NCT04332380,Convalescent Plasma for Patients With COVID-19: A Pilot Study,Completed,Phase 2,Interventional,2020-05-01,2020-07-28,2020-07-28,10,All
109,NCT04410471,Humoral Immunity Against SARS-CoV-2 in Liver Transplanted Patients After COVID-19 in Comparison With Immunocompetent Patients,Recruiting,,Observational,2020-05-29,2021-06-30,2020-05-29,300,All
110,NCT04595110,Hemostatic Profile in Patients Affected by COVID-19,Recruiting,,Observational,2020-03-25,2021-05-10,2021-04-25,400,All
111,NCT04713163,COVID-19 Vaccine Induced Immunity,Not yet recruiting,,Observational,2021-01-01,2021-12-01,2021-04-01,200,All
112,NCT04481633,Efficacy of Pre-exposure Treatment With Hydroxy-Chloroquine on the Risk and Severity of COVID-19 Infection,Recruiting,,Interventional,2020-09-09,2021-09-01,2021-09-01,800,All
113,NCT04780126,Sarco-COVID Study: Measuring the Loss of Skeletal Muscle Mass in the Hospitalized Patient With the Diagnosis of COVID-19,Recruiting,,Observational,2021-02-26,2021-05-31,2021-04-30,64,All
114,NCT04706039,Rapid Diagnosis of COVID-19 by Chemical Analysis of Exhaled Air,Not yet recruiting,,Interventional,2021-01-01,2021-03-01,2021-03-01,3000,All
115,NCT04365959,The Prone Position in Covid-19 Affected Patients,"Active, not recruiting",,Observational,2020-03-20,2020-12-31,2020-04-09,56,All
116,NCT04332835,"Convalescent Plasma for Patients With COVID-19: A Randomized, Single Blinded, Parallel, Controlled Clinical Study",Completed,Phase 2|Phase 3,Interventional,2020-08-08,2020-11-15,2020-10-31,92,All
117,NCT04834752,Effect of H2 Receptor Antagonist and Proton Pump Inhibitor on the Positivity Rates and Clinical Outcomes of COVID-19,Not yet recruiting,,Observational,2021-05-01,2021-12-31,2021-12-31,400000,All
118,NCT04384887,"""Investigation of the Relationship Between New Coronary Virus Disease (COVID-19) and Anxiety and Depressive Symptoms in Pregnant Women""",Completed,,Observational,2020-04-25,2020-08-26,2020-08-25,100,Female
119,NCT04363489,The CEDiD Study (COVID-19 Early Diagnosis in Doctors and Healthcare Workers),Recruiting,,Observational,2020-08-20,2021-06-30,2021-05-30,60,All
120,NCT04420468,Descriptive and Retrospective Analysis of Acute Myocarditis Associated With Pandemic COVID-19 in Children,Completed,,Observational,2020-06-10,2020-06-30,2020-06-30,20,All
121,NCT03305341,Proof-of-Concept Clinical Pharmacology Trial for COVID-19 Antigen Presentation Therapeutic Biologics,"Active, not recruiting",Early Phase 1,Interventional,2020-07-18,2021-06-28,2021-06-28,20,All
122,NCT04441502,Identification of Predictors for the Evolution of COVID-19 Related Pneumonia by Transcriptomic and Seroproteomic,Recruiting,,Observational,2020-03-30,2021-12-31,2021-09-30,240,All
123,NCT04822012,Anti COVID-19 Antibodies in Follicular Fluid and Spermatic Fluid,Recruiting,,Observational,2021-03-01,2021-06-01,2021-04-30,50,All
124,NCT04364828,NGS Diagnostic in COVID-19 Hosts - Genetic Cause Relating to the Course of Disease Progression,Recruiting,,Interventional,2020-10-21,2022-08-01,2022-04-01,1000,All
125,NCT04410549,Pulmonary Optical Coherence Tomography in COVID-19 Patients,Recruiting,,Interventional,2020-06-01,2021-12-31,2021-12-31,10,All
126,NCT04303299,Fight COVID-19 Trial,Recruiting,Phase 3,Interventional,2020-08-19,2021-12-31,2021-12-31,320,All
127,NCT04337996,Dynamic Evaluation of COVID-19 Diagnostic Tests,Completed,,Interventional,2020-07-13,2021-01-13,2021-01-13,8,All
128,NCT04716543,Epidemiological Investigation of COVID-19 in Laos Using a One-Health Approach in Human and Animals,Not yet recruiting,,Observational,2021-03-01,2022-03-01,2022-03-01,5400,All
129,NCT04463472,Study of COVID-19 DNA Vaccine (AG0301-COVID19),"Active, not recruiting",Phase 1|Phase 2,Interventional,2020-06-29,2021-07-31,2020-09-28,30,All
130,NCT04794361,Management of Patients Suspected of COVID 19 With Ultra Low Dose Thoracic Scanner,Completed,,Observational,2020-03-05,2020-05-05,2020-05-05,400,All
131,NCT04542421,Lung Ultrasound Implementation in the Management of Patients Hospitalized With COVID-19,Recruiting,,Interventional,2020-07-01,2021-12-01,2021-07-01,90,All
132,NCT04771559,Evaluation of the Effect and Side Effect Profile of Covid-19 Vaccine in Cancer Patients,Not yet recruiting,,Interventional,2021-03-01,2021-07-01,2021-06-01,1000,All
133,NCT04695756,Liver Transplantation and Coronavirus Disease 2019 (COVID-19),Recruiting,,Observational,2020-12-15,2021-07-15,2021-06-15,1000,All
134,NCT04473248,Spartan COVID-19 System: Evaluation of Clinical Sample Collection,Completed,,Interventional,2020-06-28,2020-08-30,2020-08-30,27,All
135,NCT04431310,Seroconversion Among Staff at a Large Acute Care Hospital in Denmark During the COVID-19 Pandemic,Recruiting,,Observational,2020-03-27,2025-08-01,2025-08-01,300,All
136,NCT04334291,"International COVID19 Clinical Evaluation Registry,",Completed,,Observational,2020-03-23,2020-05-31,2020-05-01,8168,All
137,NCT04413045,"Novel COVID-19, A National Analysis",Completed,,Observational,2020-05-20,2020-07-28,2020-07-28,61,All
138,NCT04817319,Risk of Contamination by COVID-19 During Oral Care With Aerosolization,Not yet recruiting,,Interventional,2021-03-30,2022-03-30,2021-03-30,40,All
139,NCT04333862,Assessment of Covid-19 Infection Rates in Healthcare Workers Using a Desynchronization Strategy,Recruiting,,Observational,2020-03-19,2022-01-31,2022-01-31,500,All
140,NCT04521036,Convalescent Plasma for COVID-19 Patients (CPCP),Not yet recruiting,Phase 1|Phase 2,Interventional,2020-12-01,2021-10-30,2021-06-30,44,All
141,NCT04343781,National Survey of Symptoms of People Aged 70 and Overs Diagnosed With COVID-19,Completed,,Observational,2020-03-22,2020-04-05,2020-04-05,353,All
142,NCT04720235,A Follow On Community Testing Study To Evaluate The Performance of the Lucira COVID-19 All-In-One Test Kit,Completed,,Interventional,2020-12-09,2021-03-30,2021-03-09,304,All
143,NCT04460690,"Rapid, Onsite COVID-19 Detection",Enrolling by invitation,,Interventional,2020-07-13,2021-07-01,2021-07-01,10000,All
144,NCT04424849,Thorax Computed Tomography Severity Score and Outcome in COVID-19 Patients,Recruiting,,Observational,2020-03-15,2020-07-15,2020-06-15,40,All
145,NCT04578158,Trial to Study the Adjuvant Benefits of Quercetin Phytosome in Patients With COVID-19,Recruiting,Phase 3,Interventional,2020-09-29,2021-06-28,2021-04-28,200,All
146,NCT04344912,Impact of COVID19 Outbreak in Cardiac Acute Care,Recruiting,,Observational,2020-03-20,2020-08-01,2020-06-01,500,All
147,NCT04707833,Evaluation of Serological Techniques for Screening for COVID-19 Infection at the University Hospital of Rouen,Recruiting,,Interventional,2020-11-26,2023-12-01,2023-12-01,385,All
148,NCT04768244,Impact of Maternal COVID-19 Disease on Breast Milk and Infant Health,Recruiting,,Observational,2020-04-01,2021-12-01,2021-12-01,100,Female
149,NCT04347278,Observational Study of Follow-up of Hospitalized Patients Diagnosed With COVID-19 to Evaluate the Effectiveness of the Drug Treatment Used to Treat This Disease. COVID-19 Registry,Recruiting,,Observational,2020-04-22,2021-01-01,2020-10-15,1000,All
150,NCT04391738,Association Between BMI and COVID-19,Completed,,Observational,2020-02-01,2020-09-01,2020-05-15,1200,All
151,NCT04331834,Pre-Exposure Prophylaxis With Hydroxychloroquine for High-Risk Healthcare Workers During the COVID-19 Pandemic,Completed,Phase 3,Interventional,2020-04-03,2020-12-31,2020-06-25,275,All
152,NCT04333732,CROWN CORONATION: COVID-19 Research Outcomes Worldwide Network for CORONAvirus prevenTION,Recruiting,Phase 3,Interventional,2020-09-04,2021-08-01,2021-08-01,30000,All
153,NCT04416256,COVID-19 Pandemic and Worldwide Organ Procurement,Recruiting,,Observational,2020-02-01,2022-02-01,2022-02-01,230000,All
154,NCT04767958,The RAPID COVID Study - Application of Point-of-Care COVID-19 Testing,Recruiting,,Interventional,2021-03-19,2022-07-31,2022-02-28,2500,All
155,NCT04424992,The Natural History of Hospitalized COVID-19 Patients,Recruiting,,Observational,2020-02-28,2021-12-01,2021-12-01,1433,All
156,NCT04452682,The Impact of COVID-19 Pandemic on Critical Limb Threatening Ischemia and Emergency Vascular Practice,Completed,,Observational,2020-05-25,2020-06-21,2020-06-21,998,All
157,NCT04808986,Seroprevalence of IgG Antibodies to SARS-CoV-2 (COVID-19) in Primary Health Care Workers and Their Household Contacts,Not yet recruiting,,Interventional,2021-04-02,2021-11-15,2021-08-31,2000,All
158,NCT04756869,Monitoring Health Care Workers at Risk for COVID-19 Using Wearable Sensors and Smartphone Technology,"Active, not recruiting",,Observational,2020-04-28,2023-01-01,2021-01-16,226,All
159,NCT04614883,Analysis of Volatile Organic Compounds in Exhaled Air and in Sweat in the Context of Suspicion of COVID-19 Infection,Recruiting,,Interventional,2020-10-21,2021-10-01,2021-10-01,100,All
160,NCT04378452,Assessment of the Psycho-social Impact of COVID-19 Outbreak,Completed,,Observational,2020-03-31,2021-04-07,2021-03-22,56656,All
161,NCT04413864,Immunomodulatory Profile of Dexmedetomidine Sedation in Patients Recovering After ARDS Covid-19,Recruiting,,Interventional,2020-04-24,2021-02-28,2021-02-28,50,All
162,NCT04649879,Convalescent Plasma for Treatment of COVID-19: An Open Randomised Controlled Trial,Not yet recruiting,Phase 2|Phase 3,Interventional,2020-12-03,2022-02-01,2022-02-01,920,All
163,NCT04583982,ImmuneSense™ COVID-19 Study,Completed,,Observational,2020-10-09,2020-12-04,2020-12-04,180,All
164,NCT04496141,Evaluation of Commercial SARS-CoV-2 Antibody Immunoassays for COVID-19,"Active, not recruiting",,Observational,2020-07-27,2020-11-30,2020-11-30,70,All
165,NCT04375098,Efficacy and Safety of Early COVID-19 Convalescent Plasma in Patients Admitted for COVID-19 Infection,Completed,Phase 2,Interventional,2020-05-04,2020-08-17,2020-08-17,58,All
166,NCT04805892,"Open Label, Single-Center Study Utilizing BIOZEK COVID-19 Antigen Rapid Test as Compared to Standard Testing Technique. Test Performed by a Professional Versus Self-collection and Standard of Care",Recruiting,,Interventional,2021-03-17,2021-05-17,2021-04-27,250,All
167,NCT04615208,Screening for COVID-19,Recruiting,,Observational,2020-12-19,2021-12-30,2021-10-30,200,All
168,NCT04728828,COVADIAL - Immunogenicity of COVID-19 Vaccine in Hemodialysis Patients,Recruiting,,Observational,2021-01-25,2023-08-15,2023-02-15,500,All
