study_id,intervention_type,name,description
1160,Drug,Inhaled nitric oxide gas,Not Specified
1161,Drug,COVID-globulin,Not Specified
1161,Drug,Placebo,Not Specified
1163,Other,blood sample,Not Specified
1164,Drug,Hydroxychloroquine,Not Specified
1164,Drug,Azithromycin,Not Specified
1166,Drug,HCQ01,Not Specified
1166,Drug,standard of care (SOC) for COVID-19,Not Specified
1169,Diagnostic Test,Clungene rapid test cassette,Not Specified
1171,Other,Questionaire,Not Specified
1173,Biological,UCMSCs,Not Specified
1173,Other,Placebo,Not Specified
1174,Drug,Iodine Complex,Not Specified
1174,Drug,Placebo,Not Specified
1174,Drug,Idoine Complex,Not Specified
1175,Drug,Emtricitabine/tenofovir disoproxil,Not Specified
1175,Drug,Hydroxychloroquine,Not Specified
1175,Drug,Placebo: Emtricitabine/tenofovir disoproxil Placebo,Not Specified
1175,Drug,Placebo: Hydroxychloroquine,Not Specified
1177,Drug,Hydroxychloroquine (HCQ),Not Specified
1177,Drug,Placebo oral tablet,Not Specified
1178,Drug,Hydroxychloroquine 200 Mg Oral Tablet,Not Specified
1178,Drug,Azithromycin 500Mg Oral Tablet,Not Specified
1178,Dietary Supplement,Glucose tablets,Not Specified
1179,Diagnostic Test,Immunfluorescence,Not Specified
1180,Biological,Low-dose Recombinant COVID-19 vaccine (Sf9 cells) (18-59 years) & Two dose regimen,Not Specified
1180,Biological,Low-dose Recombinant COVID-19 vaccine (Sf9 cells) (18-59 years) & Three dose regimen,Not Specified
1180,Biological,High-dose Recombinant COVID-19 vaccine (Sf9 cells) (18-59 years) & Two dose regimen,Not Specified
1180,Biological,High-dose Recombinant COVID-19 vaccine (Sf9 cells) (18-59 years) & Three dose regimen,Not Specified
1180,Biological,Low-dose Recombinant COVID-19 vaccine (Sf9 cells) (60-85 years) & Two dose regimen,Not Specified
1180,Biological,Low-dose Recombinant COVID-19 vaccine (Sf9 cells) (60-85 years) & Three dose regimen,Not Specified
1180,Biological,High-dose Recombinant COVID-19 vaccine (Sf9 cells) (60-85 years) & Two dose regimen,Not Specified
1180,Biological,High-dose Recombinant COVID-19 vaccine (Sf9 cells) (60-85 years) & Three dose regimen,Not Specified
1180,Biological,Low-dose placebo (18-59 years) & Two dose regimen,Not Specified
1180,Biological,Low-dose placebo (18-59 years) & Three dose regimen,Not Specified
1180,Biological,High-dose placebo (18-59 years) & Two dose regimen,Not Specified
1180,Biological,High-dose placebo (18-59 years) & Three dose regimen,Not Specified
1180,Biological,Low-dose placebo (60-85 years) & Two dose regimen,Not Specified
1180,Biological,Low-dose placebo (60-85 years) & Three dose regimen,Not Specified
1180,Biological,High-dose placebo (60-85 years) & Two dose regimen,Not Specified
1180,Biological,High-dose placebo (60-85 years) & Three dose regimen,Not Specified
1181,Behavioral,Contain COVID Anxiety SSI,Not Specified
1181,Behavioral,Remain COVID Free SSI,Not Specified
1182,Other,Hypertension,Not Specified
1182,Other,Diabetes type 2,Not Specified
1182,Other,Obesity,Not Specified
1182,Drug,Antihypertensive Agents,Not Specified
1182,Drug,Statins (Cardiovascular Agents),Not Specified
1183,Other,No intervention,Not Specified
1185,Biological,Hyperimmune plasma,Not Specified
1185,Drug,Standard of care for SARS-CoV-2 infection,Not Specified
1187,Diagnostic Test,Rapid Antigen Test,Not Specified
1188,Other,no intervention,Not Specified
1189,Drug,BRII-196 and BRII-198,Not Specified
1189,Drug,Placebo,Not Specified
1192,Drug,Prednisone,Not Specified
1192,Other,Control group,Not Specified
1193,Diagnostic Test,PCL COV05 - COVID 19 Ag Rapid FIA test (Rapid Antigen Test),Not Specified
1194,Drug,Tocilizumab,Not Specified
1195,Genetic,GENETIC,Not Specified
1196,Other,no intervention as it is an observational study,Not Specified
1197,Diagnostic Test,TEM-tPA,Not Specified
1198,Diagnostic Test,Spartan Cube Point-of Care Covid-19 test,Not Specified
1199,Diagnostic Test,PCR,Not Specified
1200,Diagnostic Test,Ultrasound lung imaging as part of FAST+ evaluation,Not Specified
1202,Biological,Anti-SARS-CoV-2 Human Convalescent Plasma,Not Specified
1203,Dietary Supplement,Lactobaciltus rhamnosus GG,Not Specified
1203,Dietary Supplement,Lactobaciltus rhamnosus GG Placebo,Not Specified
1205,Drug,Hydroxychloroquine,Not Specified
1205,Dietary Supplement,Vitamins and Minerals,Not Specified
1205,Drug,Azithromycin,Not Specified
1206,Diagnostic Test,LYMPHOCYTE MONOCYTE RATIO,Not Specified
1208,Other,oropharyngeal and intestinal microbiota,Not Specified
1208,Other,host genotype,Not Specified
1208,Other,host immune factors,Not Specified
1208,Other,viral sequence,Not Specified
1209,Biological,Recombinant Human Anti-SARS-CoV-2 Monoclonal Antibody(25mg/kg;50mg/kg;100mg/kg),Not Specified
1209,Drug,Placebo,Not Specified
1210,Drug,"Mixture 3,6% H2 in N2 (96.4%)",Not Specified
1211,Diagnostic Test,pulmonary anomalies 4 months after documented COVID-19 pneumonia,Not Specified
1212,Drug,DAS181,Not Specified
1212,Drug,Placebo,Not Specified
1213,Drug,Ivermectin,Not Specified
1214,Other,acute kidney injury,Not Specified
1215,Drug,BCG Vaccine,Not Specified
1215,Other,Placebo,Not Specified
1216,Drug,Hydroxychloroquine and azithromycin treatment,Not Specified
1216,Other,conventional management of patients,Not Specified
1217,Other,SePaRIC-Covid19 cohort,Not Specified
1218,Other,COVID-19 Pneumonia,Not Specified
1219,Device,uEXPLORER/mCT,Not Specified
1220,Drug,Maraviroc experimental group,Not Specified
1220,Other,Standard treatment,Not Specified
1221,Diagnostic Test,NG test,Not Specified
1221,Diagnostic Test,Blood test,Not Specified
1221,Behavioral,Self-questionnary,Not Specified
1222,Dietary Supplement,5-ALA-Phosphate + SFC (5-ALA + SFC),Not Specified
1223,Drug,Hydroxychloroquine,Not Specified
1223,Other,Placebo,Not Specified
1223,Radiation,Radiation therapy,Not Specified
1225,Diagnostic Test,Positive for SARS-CoV-2 infection,Not Specified
1226,Biological,Convalescent plasma,Not Specified
1226,Drug,Camostat Mesilate,Not Specified
1226,Drug,Placebo for Camostat Mesilate,Not Specified
1226,Other,Standard of Care (SoC),Not Specified
1227,Drug,Previfenon®,Not Specified
1227,Drug,Placebo,Not Specified
1228,Diagnostic Test,Respiratory monitoring,Not Specified
1228,Diagnostic Test,Respiratory muscles ultrasound,Not Specified
1228,Diagnostic Test,Electro impedance tomography,Not Specified
1228,Diagnostic Test,Capnography,Not Specified
1228,Diagnostic Test,Arterial blood gas,Not Specified
1228,Diagnostic Test,Quasistatic pressure-volume curve,Not Specified
1229,Dietary Supplement,Placebo,Not Specified
1229,Dietary Supplement,Vitamin D,Not Specified
1230,Diagnostic Test,Online Questionnaire,Not Specified
1231,Biological,COVID-19 convalescent plasma (CCP) plus standard of care (SOC),Not Specified
1231,Biological,Standard of care (SOC) plus placebo,Not Specified
1233,Drug,Nitazoxanide,Not Specified
1233,Drug,Sofosbuvir/Daclatasvir,Not Specified
1234,Drug,Nitazoxanide,Not Specified
1234,Drug,Placebo,Not Specified
1235,Device,Carragelose,Not Specified
1235,Device,NaCl,Not Specified
1236,Other,Observation,Not Specified
1237,Behavioral,Unified Protocol for COVID-19 Parenting Stress (UP-COVID),Not Specified
1237,Behavioral,SHG,Not Specified
1238,Diagnostic Test,Differential Leucocyte Count (CLDC) device and algorithm,Not Specified
1240,Biological,COVI-AMG,Not Specified
1240,Drug,Placebo,Not Specified
1241,Drug,NORS (Nitric Oxide Releasing Solution),Not Specified
1242,Diagnostic Test,Sequence of testing.,Not Specified
1243,Drug,Chloroquine phosphate,Not Specified
1243,Other,Telemedicine,Not Specified
1244,Radiation,chest radiography,Not Specified
1244,Radiation,thoracic computed tomography scan,Not Specified
1244,Diagnostic Test,spirometry,Not Specified
1244,Diagnostic Test,Diffusing capacity of carbon monoxide,Not Specified
1244,Diagnostic Test,6 minute walk test,Not Specified
1244,Diagnostic Test,saint george respiratory questionnaire,Not Specified
1245,Biological,Convalescent anti-SARS-CoV-2 MBT Plasma,Not Specified
1245,Drug,Standard Medical Treatment,Not Specified
1246,Drug,Remdesivir,Not Specified
1247,Other,Patient with SAR-CoV-2 infection,Not Specified
1248,Drug,DAS181,Not Specified
1249,Biological,ERUCOV-VAC,Not Specified
1249,Other,Placebo Vaccine,Not Specified
1250,Other,6 minute walk test,Not Specified
1250,Other,1 minute Sit to Stand Test,Not Specified
1250,Other,Fatigue Severity Scale,Not Specified
1250,Other,Medical Research Council (MRC) dyspnea scale,Not Specified
1250,Other,SF-12,Not Specified
1250,Other,Beck Depression Inventory,Not Specified
1250,Other,Beck Anxiety Inventory,Not Specified
1250,Other,5 times sit to stand test,Not Specified
1250,Other,6 point Likert Scale,Not Specified
1251,Drug,Nafamostat Mesilate,Not Specified
1251,Drug,TD139,Not Specified
1251,Other,Standard care,Not Specified
1252,Diagnostic Test,Diagnostic test Covid-19,Not Specified
1253,Diagnostic Test,"Electrocardiogram, transthoracic echocardiography and clinico-biological parameters in routine care",Not Specified
1254,Diagnostic Test,Testing of SARS-CoV-2 antibodies,Not Specified
1255,Other,Questionnaire,Not Specified
1257,Drug,Angiotensin converting enzyme inhibitor,Not Specified
1258,Drug,Dexamethasone,Not Specified
1259,Biological,"a middle-dose recombinant COVID-19 vaccine (CHO Cell) (18-59 years) at the schedule of day 0, 28, 56",Not Specified
1259,Biological,"a high-dose recombinant COVID-19 vaccine (CHO Cell) (18-59 years) at the schedule of day 0, 28, 56",Not Specified
1259,Biological,"a middle-dose recombinant COVID-19 vaccine (CHO Cell) (60-85 years) at the schedule of day 0, 28, 56",Not Specified
1259,Biological,"a high-dose recombinant COVID-19 vaccine (CHO Cell) (60-85 years) at the schedule of day 0, 28, 56",Not Specified
1259,Biological,"a middle-dose placebo (18-59 years) at the schedule of day 0, 28, 56",Not Specified
1259,Biological,"a high-dose placebo (18-59 years) at the schedule of day 0, 28, 56",Not Specified
1259,Biological,"a middle-dose placebo (60-85 years) at the schedule of day 0, 28, 56",Not Specified
1259,Biological,"a high-dose placebo (60-85 years) at the schedule of day 0, 28, 56",Not Specified
1260,Drug,Convalesscent Plasma,Not Specified
1261,Drug,Convalescent Plasma,Not Specified
1262,Other,self-administered questionnaire,Not Specified
1262,Diagnostic Test,SARS-Cov2 testing,Not Specified
1263,Biological,Gam-COVID-Vac,Not Specified
1264,Behavioral,Doctorgram Patient Kit,Not Specified
1265,Other,questionnaire,Not Specified
1266,Biological,Bacille Calmette-Guérin (BCG),Not Specified
1266,Other,Placebo Comparator,Not Specified
1267,Dietary Supplement,MOLECULAR HYDROGEN,Not Specified
1267,Dietary Supplement,PLACEBO MAGNESIUM,Not Specified
1268,Drug,Linagliptin tablet,Not Specified
1268,Drug,Insulin,Not Specified
1269,Diagnostic Test,"Standard Q COVID-19 Ag - test, produced by SD Biosensor INC.",Not Specified
1270,Procedure,"The study evaluates all surgical patients operated, both elective scheduled and emergent cases",Not Specified
1272,Biological,SAB-185,Not Specified
1272,Other,Normal Saline,Not Specified
1273,Behavioral,Survey,Not Specified
1274,Drug,Disulfiram,Not Specified
1274,Drug,Placebo,Not Specified
1275,Other,Telehealth,Not Specified
1276,Device,Life2000® Ventilator,Not Specified
1277,Biological,Convalescent plasma,Not Specified
1278,Combination Product,autologous activated platelet-rich plasma,Not Specified
1278,Drug,Avigan,Not Specified
1279,Drug,Camostat Mesylate,Not Specified
1279,Drug,Placebo,Not Specified
1280,Device,Face mask,Not Specified
1280,Behavioral,Face mask awareness,Not Specified
1281,Biological,Lenzilumab,Not Specified
1281,Other,Placebo,Not Specified
1281,Drug,Remdesivir,Not Specified
1282,Biological,Convalescent Plasma (CP),Not Specified
1282,Other,Drugs and supportive care,Not Specified
1283,Biological,lanadelumab,Not Specified
1283,Other,regular care,Not Specified
1284,Other,Comparative Observational Cohort Study,Not Specified
1285,Drug,Hydroxychloroquine,Not Specified
1285,Drug,Placebo of Hydroxychloroquine,Not Specified
1285,Drug,Lopinavir and ritonavir,Not Specified
1285,Drug,Placebo of LPV/r Tablets,Not Specified
1286,Dietary Supplement,vitamin D,Not Specified
1286,Dietary Supplement,Placebo,Not Specified
1287,Device,Extracorporeal blood purification using the oXiris® (AN69ST) hemofilter,Not Specified
1288,Diagnostic Test,Sampling of SARS-CoV-2 RNA from nasopharyngeal swab specimen or saliva collected via Salivette Cortisol,Not Specified
1289,Diagnostic Test,Nasopharyngeal swab,Not Specified
1289,Diagnostic Test,Saliva sample,Not Specified
1289,Diagnostic Test,axillary sweat sample,Not Specified
1289,Other,Data collection,Not Specified
1291,Diagnostic Test,"Sampling (EDTA blood, pharyngeal and nose swabs, bronchoalveolar lavage ,urine)",Not Specified
1293,Device,ADAM Sensor,Not Specified
1294,Other,Plasma Donation,Not Specified
1298,Drug,DWJ1248,Not Specified
1298,Drug,Placebo,Not Specified
1300,Drug,Double-Blind NT-I7,Not Specified
1300,Drug,Double-Blind Placebo,Not Specified
1301,Other,Questionnaires,Not Specified
1301,Other,Phone interviews,Not Specified
1302,Drug,Hydroxychloroquine,Not Specified
1302,Drug,Placebo oral tablet,Not Specified
1303,Device,"Masimo, LidCO",Not Specified
1304,Drug,Cholecalciferol,Not Specified
1305,Procedure,Steam inhalations,Not Specified
1306,Drug,Hydroxychloroquine,Not Specified
1306,Drug,Placebo,Not Specified
1307,Drug,Hydroxychloroquine Sulfate 200 MG [Plaquenil],Not Specified
1310,Drug,Famotidine,Not Specified
1311,Drug,Hyperpolarized Xe129,Not Specified
1312,Biological,Blood samples collection,Not Specified
1312,Other,Saliva collection,Not Specified
1313,Other,Aerobic Exercise Training,Not Specified
1313,Other,Education,Not Specified
1314,Other,Brain MRI scan,Not Specified
1316,Diagnostic Test,not required,Not Specified
1318,Device,CT of the chest,Not Specified
1319,Drug,Almitrine,Not Specified
1319,Drug,Placebo,Not Specified
1320,Drug,AZVUDINE,Not Specified
1320,Drug,AZVUDINE placebo,Not Specified
1321,Diagnostic Test,RT-PCR,Not Specified
1321,Diagnostic Test,LAMP,Not Specified
1321,Diagnostic Test,POOL RT-PCR,Not Specified
1321,Diagnostic Test,POOL LAMP,Not Specified
1324,Other,Control message,Not Specified
1324,Other,Baseline message,Not Specified
1324,Other,Personal freedom message,Not Specified
1324,Other,Economic freedom message,Not Specified
1324,Other,Self-interest message,Not Specified
1324,Other,Community interest message,Not Specified
1324,Other,Economic benefit message,Not Specified
1324,Other,Guilt message,Not Specified
1324,Other,Embarrassment message,Not Specified
1324,Other,Anger message,Not Specified
1324,Other,Trust in science message,Not Specified
1324,Other,Not bravery message,Not Specified
1325,Drug,AZD1222,Not Specified
1325,Drug,0.9% (w/v) saline,Not Specified
1326,Drug,HCQ & AZ,Not Specified
1327,Drug,Ciclesonide,Not Specified
1327,Drug,Placebo,Not Specified
1328,Drug,Fisetin,Not Specified
1328,Drug,Placebo,Not Specified
1329,Other,Survey to assess Post traumatic stress and anxiety at inclusion and 6 months later,Not Specified
1330,Behavioral,Internet-delivered cognitive behavior therapy (ICBT) for dysfunctional worry related to the Covid-19 pandemic,Not Specified
1332,Drug,Bromhexine and Spironolactone,Not Specified
1332,Drug,Base therapy,Not Specified
1333,Other,Hospitalisation for SARS-COV2 infection,Not Specified
1334,Drug,Chloroquine or Hydroxychloroquine,Not Specified
1334,Drug,Placebo,Not Specified
1336,Behavioral,EMDR,Not Specified
1337,Diagnostic Test,IgG test,Not Specified
1338,Other,No intervention,Not Specified
1339,Drug,Hydroxychloroquine,Not Specified
1339,Drug,Placebo,Not Specified
1340,Drug,Fluvoxamine Maleate 100 MG [Luvox],Not Specified
1340,Drug,Metformin Extended Release Oral Tablet,Not Specified
1340,Drug,Ivermectin oral tablets or sublingual waffles,Not Specified
1340,Drug,Placebo,Not Specified
1341,Drug,Famotidine 20 MG,Not Specified
1342,Other,Blood D-dimer assay,Not Specified
1343,Drug,Sirolimus 1 MG/ML,Not Specified
1343,Drug,Placebo,Not Specified
1344,Procedure,Prone position ventilation,Not Specified
1345,Device,C3+ Holter Monitor,Not Specified
1346,Other,Optimized Management of Covid-19 Positive Kidney Transplant Recipients: Single Center Experience from the Middle East,Not Specified
1347,Biological,SARS-CoV-2 recombinant protein vaccine Formulation 1,Not Specified
1347,Biological,SARS-CoV-2 recombinant protein vaccine Formulation 2,Not Specified
1347,Biological,SARS-CoV-2 recombinant protein vaccine Formulation 3,Not Specified
1348,Other,Ayurveda,Not Specified
1350,Other,Placebo,Not Specified
1350,Drug,Remdesivir,Not Specified
1350,Biological,Risankizumab,Not Specified
1351,Other,Exposure: Covid-19 infection,Not Specified
1352,Behavioral,Online Intervention Grief COVID-19,Not Specified
1354,Other,survey,Not Specified
1355,Drug,Nafamostat Mesilate,Not Specified
1356,Drug,Ruxolitinib,Not Specified
1357,Biological,autologous adipose-derived stem cells,Not Specified
1358,Behavioral,Observation of behavior and COVID-19 infection will be conducted.,Not Specified
1360,Drug,Enoxaparin,Not Specified
1361,Other,COVID-19 pandemic,Not Specified
1363,Drug,PUL-042 Inhalation Solution,Not Specified
1363,Drug,Placebo,Not Specified
1365,Biological,Anti-coronavirus antibodies (immunoglobulins)obtained with DFPP from convalescent patients,Not Specified
1366,Drug,LY3819253,Not Specified
1366,Drug,Placebo,Not Specified
1366,Drug,LY3832479,Not Specified
1367,Drug,ATI-450,Not Specified
1367,Drug,Placebo,Not Specified
1368,Drug,Hydroxychloroquine,Not Specified
1368,Drug,Azithromycin,Not Specified
1370,Drug,Ivermectin 3 MG,Not Specified
1370,Drug,Placebo,Not Specified
1371,Biological,Biological data,Not Specified
1371,Other,Clinical data,Not Specified
1372,Biological,VIR-7831,Not Specified
1372,Drug,Placebo,Not Specified
1373,Diagnostic Test,Rapid antigen test for SARS CoV2,Not Specified
1374,Other,consultation,Not Specified
1374,Drug,Azithromycin,Not Specified
1375,Device,geko T3,Not Specified
1376,Drug,Convalescent Plasma,Not Specified
1376,Other,Standard Care Therapy,Not Specified
1377,Other,Closed face shield with Surgical face mask use,Not Specified
1377,Other,Surgical face mask use only,Not Specified
1378,Biological,COVID-19 vaccine,Not Specified
1379,Drug,Interferon Beta-1A,Not Specified
1379,Drug,Lopinavir / Ritonavir,Not Specified
1379,Drug,Single Dose of Hydroxychloroquine,Not Specified
1380,Other,Saliva collection,Not Specified
1381,Device,gammaCore® Sapphire (non-invasive vagus nerve stimulator),Not Specified
1381,Other,Standard of care therapies,Not Specified
1382,Drug,MAS825,Not Specified
1382,Drug,Matching placebo,Not Specified
1383,Diagnostic Test,SARS-CoV-2,Not Specified
1384,Diagnostic Test,Simple chest tomography,Not Specified
1385,Biological,convalescent plasma,Not Specified
1387,Other,questionnaire assesment,Not Specified
1388,Biological,QazCovid-in®-vaccine against COVID-19,Not Specified
1388,Other,Placebo,Not Specified
1389,Diagnostic Test,Antibody testing for SARS-CoV-2 IgG,Not Specified
1389,Diagnostic Test,Testing for SARS-CoV-2 RNA,Not Specified
1389,Diagnostic Test,Testing for SARS-CoV-2 IgM/IgG,Not Specified
1391,Drug,Zanubrutinib,Not Specified
1391,Drug,Supportive Care,Not Specified
1391,Drug,Placebo,Not Specified
1392,Biological,Blood plasma,Not Specified
1394,Other,Hospitalization,Not Specified
1395,Other,questionnaire,Not Specified
1396,Other,Temporarily holding the RAAS inhibitor [intervention],Not Specified
1396,Other,RAAS inhibitor [continued standard of care],Not Specified
1397,Other,"Maternal attachment, Edinburgh depression scoring and postpartum anxiety scale scores",Not Specified
1398,Drug,Bicalutamide 150 Mg Oral Tablet,Not Specified
1398,Drug,Placebo,Not Specified
1399,Other,CHX0.12+CPC0.05 oral rinse (PerioAidActive Control),Not Specified
1399,Other,placebo rinse,Not Specified
1400,Biological,BAMLANIVIMAB,Not Specified
1400,Biological,CASIRIVIMAB,Not Specified
1400,Biological,IMDEVIMAB,Not Specified
1401,Device,Web application users,Not Specified
1404,Diagnostic Test,qRT-PCR and serology,Not Specified
1408,Drug,"Methylprednisolone, Placebo",Not Specified
1409,Drug,Favipiravir,Not Specified
1409,Drug,Standard of care (SOC),Not Specified
1409,Drug,standard concomitant therapy,Not Specified
1410,Drug,Decitabine,Not Specified
1410,Other,Placebo Saline,Not Specified
1411,Drug,Hyperpolarized 129Xenon gas,Not Specified
1412,Diagnostic Test,ELISPOT,Not Specified
1412,Diagnostic Test,QUANTIFERON,Not Specified
1413,Other,COVID-19 Pandemic,Not Specified
1415,Drug,Nitazoxanide,Not Specified
1415,Drug,Placebo,Not Specified
1415,Dietary Supplement,Vitamin Super B-Complex,Not Specified
1418,Device,nasal spray,Not Specified
1419,Other,labs,Not Specified
1420,Diagnostic Test,Antibody test (SARS-CoV2),Not Specified
1421,Device,Seraph 100,Not Specified
1422,Procedure,Microcannula Harvest Adipose Derived tissue stromal vascular fraction (tSVF),Not Specified
1422,Device,Centricyte 1000,Not Specified
1422,Procedure,IV Deployment Of cSVF In Sterile Normal Saline IV Solution,Not Specified
1422,Drug,Liberase Enzyme (Roche),Not Specified
1422,Drug,Sterile Normal Saline for Intravenous Use,Not Specified
1423,Drug,Hydroxychloroquine,Not Specified
1423,Drug,Placebo,Not Specified
1424,Biological,SOC plus 15mg/kg EB05 IV,Not Specified
1424,Other,SOC plus Placebo IV,Not Specified
1426,Biological,COVI-AMG,Not Specified
1426,Drug,Placebo,Not Specified
1427,Drug,Ozanimod,Not Specified
1427,Other,Standard of care,Not Specified
1428,Other,No Intervention,Not Specified
1430,Other,Individualized-Chinese herbal medicine,Not Specified
1432,Drug,Lambda 180 mcg S.C,Not Specified
1433,Diagnostic Test,Blood sample,Not Specified
1434,Biological,Ad26.COV2.S,Not Specified
1434,Other,Placebo,Not Specified
1435,Other,Survey,Not Specified
1436,Dietary Supplement,Placebo,Not Specified
1436,Dietary Supplement,Lactobacillus,Not Specified
1437,Drug,Colchicine,Not Specified
1437,Other,Covid-19 Standard of Care,Not Specified
1439,Behavioral,Tailored recommendations,Not Specified
1439,Behavioral,General recommendation,Not Specified
1440,Biological,COVI-AMG,Not Specified
1440,Drug,Placebo,Not Specified
1441,Biological,anti-CD14,Not Specified
1441,Other,Placebo,Not Specified
1441,Drug,remdesivir,Not Specified
1442,Biological,Ad5-nCoV,Not Specified
1443,Drug,Silymarin,Not Specified
1444,Biological,blood samples,Not Specified
1447,Biological,BNT162b2,Not Specified
1447,Biological,Other vaccine against SARS-Cov-2,Not Specified
1448,Biological,VPM1002,Not Specified
1448,Other,Placebo,Not Specified
1449,Device,High Flow Nasal Therapy,Not Specified
1449,Device,Conventional Oxygen Therapy,Not Specified
1450,Biological,BCG vaccine,Not Specified
1450,Biological,Placebo,Not Specified
1451,Drug,RTB101,Not Specified
1451,Drug,Placebo,Not Specified
1452,Device,Current Health,Not Specified
1454,Drug,Placebo,Not Specified
1454,Drug,Fluvoxamine,Not Specified
1455,Procedure,Human biological samples,Not Specified
1456,Other,Serologic testing,Not Specified
1457,Biological,COVID-eVax,Not Specified
1457,Device,Cliniporator® and EPSGun,Not Specified
1458,Other,Data collection from medical files,Not Specified
1459,Drug,Aviptadil by intravenous infusion + standard of care,Not Specified
1459,Drug,Normal Saline Infusion + standard of care,Not Specified
1460,Other,Nil intervention,Not Specified
1462,Biological,COVID-19 vaccine,Not Specified
1464,Drug,Colchicine,Not Specified
1464,Drug,Ruxolitinib 5 MG,Not Specified
1464,Drug,Secukinumab 150 MG/ML Subcutaneous Solution [COSENTYX],Not Specified
1464,Other,standard therapy,Not Specified
1466,Drug,ensovibep,Not Specified
1466,Drug,Placebo,Not Specified
1467,Other,chlorine dioxide,Not Specified
1467,Dietary Supplement,zinc acetate,Not Specified
1467,Drug,Famotidine,Not Specified
1467,Other,placebo,Not Specified
1467,Dietary Supplement,"lactoferrin, green tea extract",Not Specified
1468,Drug,Silymarin,Not Specified
1468,Drug,Placebo,Not Specified
1469,Biological,Low dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule,Not Specified
1469,Biological,Medium dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule,Not Specified
1469,Biological,High dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule,Not Specified
1469,Biological,Placebo on a 0- and 28-day schedule,Not Specified
1470,Drug,10% Povidone-iodine nasal decolonization swab plus 0.12% CHG oral rinse,Not Specified
1471,Biological,WJ-MSCs,Not Specified
1472,Drug,Sargramostim,Not Specified
1472,Drug,Standard of care,Not Specified
1473,Drug,HB-adMSCs,Not Specified
1473,Drug,Placebos,Not Specified
1474,Procedure,Biological sample collection,Not Specified
1474,Procedure,Data Collection: Clinical Care Assessments,Not Specified
1476,Other,COVID visitation restrictions,Not Specified
1477,Other,Endotracheal intubation,Not Specified
1478,Drug,Hydroxychloroquine,Not Specified
1478,Drug,Placebo oral tablet,Not Specified
1480,Other,serological test,Not Specified
1480,Other,Rapid molecular test,Not Specified
1480,Genetic,Next generation Sequencing (NGS) analysis,Not Specified
1480,Other,serum chemistry analysis,Not Specified
1481,Drug,VentaProst (inhaled epoprostenol delivered via a dedicated delivery system),Not Specified
1482,Other,Equipment with smartwatch throughout hospital stay on the general ward,Not Specified
1483,Drug,P2Et (Caesalpinia spinosa extract),Not Specified
1483,Other,Placebo,Not Specified
1484,Other,Quality-of-Life Assessment,Not Specified
1484,Other,Survey Administration,Not Specified
1485,Behavioral,Co-mestring (co-coping),Not Specified
1486,Other,other,Not Specified
1488,Drug,Adjuvanted SARS-CoV-2 Subunit vaccine (aCoV2),Not Specified
1488,Drug,Comparator,Not Specified
1490,Behavioral,Telephonic medical visit,Not Specified
1490,Procedure,Gastrointestinal endoscopy,Not Specified
1490,Procedure,Abdominal ultrasound,Not Specified
1491,Drug,Naltrexone Hydrochloride,Not Specified
1492,Combination Product,cardiovascular and respiratory systems monitoring,Not Specified
1493,Drug,Peginterferon lambda alfa-1a subcutaneous injection,Not Specified
1493,Other,Saline,Not Specified
1494,Drug,Oxygen,Not Specified
1495,Diagnostic Test,Prognostic score,Not Specified
1496,Diagnostic Test,Blood sampling (venesection),Not Specified
1497,Drug,Tice® BCG (for intravesical use) BCG LIVE strain of the BCG (Merck) vaccine,Not Specified
1497,Drug,Preservative-free saline,Not Specified
1498,Biological,convalescent plasma,Not Specified
1500,Biological,Blood collection on admission and longitudinally,Not Specified
1500,Biological,Blood collection on their first consultation and 10 to 14 days later,Not Specified
1501,Behavioral,Assessment of work-related stress,Not Specified
1501,Biological,Saliva sample collection,Not Specified
1501,Device,Cardiac and electrodermal recordings,Not Specified
1501,Behavioral,Assessment of behavioral response to emotional stimulation,Not Specified
1502,Drug,Ivermectin Injectable Solution,Not Specified
1502,Other,Injectable Placebo,Not Specified
1502,Drug,Zinc,Not Specified
1502,Drug,Placebo empty capsule,Not Specified
1502,Drug,Oral Ivermectin,Not Specified
1503,Biological,Convalescent Plasma,Not Specified
1504,Drug,Convalescent Plasma,Not Specified
1505,Other,integrated clinical evaluation,Not Specified
1506,Biological,AZD1222,Not Specified
1506,Biological,rAd26-S,Not Specified
1507,Drug,Remdesivir,Not Specified
1507,Other,Standard of Care,Not Specified
1508,Other,Respiratory functions,Not Specified
1509,Other,Therapeutic plasma exchange,Not Specified
1510,Drug,Sodium Bicarbonate,Not Specified
1511,Drug,Emricasan,Not Specified
1511,Other,Placebo,Not Specified
1512,Diagnostic Test,COVID-19 PCR,Not Specified
1514,Device,Connected devices measurements,Not Specified
1515,Dietary Supplement,Cretan IAMA,Not Specified
1516,Other,Let It Out (LIO)-C,Not Specified
1516,Other,Neutral writing control,Not Specified
1517,Behavioral,questionnaire,Not Specified
1519,Other,Infrared Energy and Dietary Supplement,Not Specified
1520,Other,General Public cohort,Not Specified
1522,Drug,Tocilizumab,Not Specified
1523,Biological,Biological/Vaccine: Angiotensin peptide (1-7) derived plasma,Not Specified
1524,Diagnostic Test,Serological Assay or IgG for SARS-CoV-2,Not Specified
