study_id,intervention_type,name,description
99,Other,Biospecimen collection,Not Specified
100,Diagnostic Test,CoronaCideTM COVID-19 IgM/IgG Rapid Test and Premier Biotech COVID-19 IgM/IgG Rapid Test,Not Specified
101,Diagnostic Test,SARS-CoV-2 RT-PCR Assay for Detection of COVID-19 Infection,Not Specified
103,Diagnostic Test,Imaging by thoracic scanner,Not Specified
104,Diagnostic Test,RT PCR SARS-CoV-2,Not Specified
105,Other,Practice details,Not Specified
106,Device,Non-invasive ventilatory support,Not Specified
107,Drug,Covid-19 group,Not Specified
108,Drug,Isotretinoin Only Product in Oral Dose Form,Not Specified
109,Drug,Plasma,Not Specified
110,Diagnostic Test,CLIA of IgG and IgM against SARS-Cov-2,Not Specified
111,Other,Observational study,Not Specified
112,Drug,covid19 vaccine,Not Specified
113,Diagnostic Test,COVID 19 serology,Not Specified
113,Other,COVID 19 Self-Questionnaire,Not Specified
114,Other,Sarcopenia diagnosis,Not Specified
115,Diagnostic Test,Performance evaluation (sensitivity and specificity) for COVID-19 diagnosis of the Vocus PTR-TOF process,Not Specified
116,Procedure,Prone position,Not Specified
117,Drug,Plasma,Not Specified
117,Drug,Standard Therapy,Not Specified
118,Other,No intervention (Retrospective Cohort Observational),Not Specified
119,Behavioral,covid-19 positive pregnant women,Not Specified
120,Device,Wearable Medical Device (Empatica E4),Not Specified
120,Diagnostic Test,COVID-19 PCR Swab,Not Specified
120,Diagnostic Test,Pulse Oximeter,Not Specified
122,Biological,COVID-19 Therapeutic Biologics - Spike-GM-CSF Protein Lactated Ringer's Injection,Not Specified
124,Diagnostic Test,Anti COVID19 IgG Antibodies,Not Specified
125,Genetic,Whole Genome Analysis,Not Specified
125,Genetic,T-cell receptor (TCR) repertoire,Not Specified
125,Genetic,SARS-CoV-2 viral composition,Not Specified
126,Diagnostic Test,Optical Coherence Tomography (OCT),Not Specified
127,Drug,Oral,Not Specified
128,Diagnostic Test,COVID-19 diagnostic test,Not Specified
129,Diagnostic Test,ILI and COVID-19 detection,Not Specified
130,Biological,AG0301-COVID19,Not Specified
132,Diagnostic Test,Lung ultrasound use in patients hospitalized with COVID,Not Specified
133,Other,COVID-19 antibody test,Not Specified
134,Other,COVID-19 pandemic,Not Specified
135,Device,Spartan COVID-19 System,Not Specified
136,Other,Serial seroconversion measurements in hospital employees during the COVID-19 pandemic,Not Specified
137,Combination Product,Observational (registry),Not Specified
138,Other,Prevalence of COVID-19,Not Specified
139,Procedure,Oral care with/without aerosolization,Not Specified
141,Biological,Convalescent Plasma as Therapy for Covid-19 patients,Not Specified
142,Other,observation,Not Specified
143,Device,Lucira COVID-19 All-In-One test kit,Not Specified
144,Device,Rapid Onsite COVID-19 Detection,Not Specified
145,Diagnostic Test,CT-Scan,Not Specified
146,Drug,Standard COVID-19 care,Not Specified
146,Dietary Supplement,Quercetin Phytosome,Not Specified
147,Other,Data collection,Not Specified
148,Diagnostic Test,Serological testing for COVID-19 infection,Not Specified
149,Other,maternal SARS-CoV-2 infection,Not Specified
150,Drug,Patients with the treatment agains COVID19,Not Specified
151,Other,Patients admitted to Intensive Care Unit with SARS-CoV2,Not Specified
152,Drug,Hydroxychloroquine,Not Specified
152,Drug,Placebos,Not Specified
153,Drug,MR or M-M-R II ® vaccine,Not Specified
153,Drug,Placebo,Not Specified
155,Diagnostic Test,Spartan COVID-19 Platform,Not Specified
156,Other,Observational cohort study on the natural history of hospitalized SARS-COV-2 patients.,Not Specified
157,Other,COVID 19 impact,Not Specified
158,Diagnostic Test,Serological test for the detection of IgG anti-SARS-CoV-2,Not Specified
159,Other,COVID-19 Monitoring Using Wearable Sensors and Smartphone Technology,Not Specified
160,Device,Volatile Organic Compounds analysis,Not Specified
160,Other,Canine odor detection of Volatile Organic Compounds,Not Specified
161,Behavioral,COM-COVID anonimous survey,Not Specified
162,Other,Inflammatory cytokines and chemokines profiles of patients with dexmedetomidine administration,Not Specified
163,Biological,SARS-CoV-2 convalescent plasma,Not Specified
163,Other,Standard of care,Not Specified
164,Other,T-Detect™ SARS-CoV-2 Assay,Not Specified
165,Diagnostic Test,SARS-CoV-2 antibody immunoassays,Not Specified
166,Biological,COVID-19 convalescent plasma,Not Specified
167,Diagnostic Test,BIOZEK COVID-19 Antigen Rapid Test,Not Specified
168,Other,COVID-19,Not Specified
169,Diagnostic Test,suspected of COVID-19 infection,Not Specified
170,Biological,Serological COVID-19 vaccine immunogenicity,Not Specified
171,Other,COVID-19 patients,Not Specified
172,Other,COVID-19 FACILITY,Not Specified
174,Other,BioMedomics COVID-19 IgM-IgG Rapid Test,Not Specified
175,Drug,Suspension of heat killed (autoclaved) Mycobacterium w,Not Specified
175,Drug,Placebo,Not Specified
176,Other,Clinical interview,Not Specified
176,Biological,Blood collection,Not Specified
176,Biological,Saliva collection,Not Specified
177,Device,covid 19 on pregnancy outcomes,Not Specified
178,Other,Treatment for COVID-19,Not Specified
179,Diagnostic Test,"D-dimer,CBC.ESR,CRP,",Not Specified
179,Diagnostic Test,"Liver function tests ,serum ferritin and PCR for COVID-19 .",Not Specified
180,Diagnostic Test,COVID-19 antibodies testing,Not Specified
181,Diagnostic Test,Blood test for IgG antibodies against SARS-CoV-2,Not Specified
182,Other,Convalescent Plasma with antibody against SARS-CoV-2.,Not Specified
182,Other,Standard treatment for COVID-19,Not Specified
183,Other,hospitalized children with Covid19,Not Specified
184,Diagnostic Test,"Covid-19 PCR , IGM",Not Specified
186,Diagnostic Test,COVID-19 test,Not Specified
186,Diagnostic Test,Blood sampling,Not Specified
187,Dietary Supplement,Group A: oropharygeal spray and immunostimulant,Not Specified
187,Dietary Supplement,Group B: Placebo oropharyngeal spray + Active principle immunostimulant,Not Specified
187,Dietary Supplement,Group C:Active principle oropharyngeal spray + Placebo taken PO,Not Specified
187,Dietary Supplement,Group D:Placebo oropharyngeal spray + Placebo taken PO,Not Specified
189,Procedure,CT-scan with minimal invasive autopsy,Not Specified
191,Drug,Hydroxychloroquine,Not Specified
192,Other,Phsyiotherapy,Not Specified
193,Device,Lucira COVID-19 All-In-One test kit,Not Specified
194,Other,"Questionnaire administration,blood sampling and genetic analyses.",Not Specified
195,Biological,"SARS-CoV-2 Vaccine(Vero Cell), Inactivated",Not Specified
196,Other,COVID-19 vaccine hesitancy scale in rheumatic diseases,Not Specified
196,Other,COVID-19 vaccine hesitancy associated factors,Not Specified
197,Other,Medical follow-up,Not Specified
198,Biological,COVID-19 Vaccine,Not Specified
199,Drug,Colchicine Tablets,Not Specified
199,Drug,Standard therapy for COVID-19 according to the stablished hospital protocols.,Not Specified
200,Other,"Clinical, laboratory and imaging characteristics of pneumonia",Not Specified
201,Biological,SARS-CoV-2 Specific T Cells,Not Specified
202,Genetic,1. Characterize the immune response after infection with SARS-CoV-2,Not Specified
203,Diagnostic Test,SARS-CoV-2 serology,Not Specified
204,Drug,Melatonin,Not Specified
204,Other,Placebo (Methylcellulose) capsule,Not Specified
205,Other,No intervention,Not Specified
206,Diagnostic Test,SARS-CoV-2 PCR,Not Specified
207,Biological,Administration of Equine immunoglobulin anti SARS-CoV-2,Not Specified
208,Biological,anti-SARS-CoV-2 convalescent plasma,Not Specified
209,Diagnostic Test,COVID-19 RT-PCR,Not Specified
209,Diagnostic Test,Biosensor,Not Specified
210,Other,Blood sampling,Not Specified
211,Other,COVID-19,Not Specified
212,Diagnostic Test,Repeat SARS-CoV-2 IgG antibodies at 45-65 days,Not Specified
213,Diagnostic Test,Pilot a rapid SARS-CoV-2 testing strategy,Not Specified
213,Other,Community-driven messages to promote COVID-19 testing,Not Specified
214,Biological,Anti SARS-CoV 2 Convalescent Plasma in severe COVID-19 patients,Not Specified
214,Biological,Anti SARS-CoV 2 Convalescent Plasma in critical COVID-19 patients,Not Specified
215,Other,[TIMP-2]*[IGFBP-7],Not Specified
216,Other,questionnaire,Not Specified
217,Other,Serology test follow-up,Not Specified
218,Behavioral,Fear of Covid-19 Scale,Not Specified
219,Biological,Moderna COVID-19 Vaccine,Not Specified
