study_id,agency,agency_class,lead_or_collaborator
720,William Beaumont Hospitals,Other,Lead
721,"Rigshospitalet, Denmark",Other,Lead
722,Salome Kristensen,Other,Lead
722,Aalborg University Hospital,Other,Collaborator
723,Chinese Academy of Medical Sciences,Other,Lead
724,Joakim Dillner,Other,Lead
724,Danderyd Hospital,Other,Collaborator
724,Karolinska Institutet,Other,Collaborator
724,Karolinska University Hospital,Other,Collaborator
725,"University Hospital, Strasbourg, France",Other,Lead
726,University of Chicago,Other,Lead
727,"University Hospital, Grenoble",Other,Lead
728,AstraZeneca,Industry,Lead
728,Iqvia Pty Ltd,Other,Collaborator
729,I.M. Sechenov First Moscow State Medical University,Other,Lead
730,"Western University, Canada",Other,Lead
730,London Health Sciences Centre,Other,Collaborator
731,Appili Therapeutics Inc.,Industry,Lead
731,MOUNT SINAI HOSPITAL,Other,Collaborator
731,Applied Health Research Centre,Other,Collaborator
731,Sunnybrook Health Sciences Centre,Other,Collaborator
731,"University Health Network, Toronto",Other,Collaborator
731,University of Toronto,Other,Collaborator
732,The Hospital for Sick Children,Other,Lead
733,Assistance Publique Hopitaux De Marseille,Other,Lead
734,"Laboratoire De Recherche Sur Le Diabete, Université de Tlemcen",Other,Lead
734,"ATRSS, DGRST, Algeria",Other,Collaborator
735,"University of North Carolina, Chapel Hill",Other,Lead
736,"University Hospital, Basel, Switzerland",Other,Lead
737,"CMN ""20 de Noviembre""",Other,Lead
738,Scripps Whittier Diabetes Institute,Other,Lead
738,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,Collaborator
739,"IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy",Other,Lead
740,Assistance Publique Hopitaux De Marseille,Other,Lead
740,Innate Pharma,Industry,Collaborator
741,Hamad Medical Corporation,Industry,Lead
742,Lille Catholic University,Other,Lead
743,"Central Hospital, Nancy, France",Other,Lead
744,Daegu Catholic University Medical Center,Other,Lead
745,Qassim University,Other,Lead
746,Assistance Publique - Hôpitaux de Paris,Other,Lead
747,Hospital Italiano de Buenos Aires,Other,Lead
748,Fundación para la Investigación Biosanitaria del Principado de Asturias,Other,Lead
748,Hospital Universitario Central de Asturias,Other,Collaborator
748,Instituto de Investigación Sanitaria del Principado de Asturias,Other,Collaborator
749,National Institute of Allergy and Infectious Diseases (NIAID),NIH,Lead
749,National Institutes of Health Clinical Center (CC),Other,Collaborator
750,Sadat City University,Other,Lead
751,Nucleo De Pesquisa E Desenvolvimento De Medicamentos Da Universidade Federal Do Ceara,Other,Lead
751,Universidade Federal do Ceará,Other,Collaborator
752,Hillel Yaffe Medical Center,Other,Lead
753,Hospital Universitario Dr. Jose E. Gonzalez,Other,Lead
754,Manchester University NHS Foundation Trust,Other,Lead
755,University of Palermo,Other,Lead
756,Johns Hopkins University,Other,Lead
757,Tomsk National Research Medical Center of the Russian Academy of Sciences,Other,Lead
758,Ology Bioservices,Industry,Lead
758,"Pharm-Olam, LLC",Other,Collaborator
758,"Chemical, Biological, Radiological, and Nuclear Medical",Other,Collaborator
759,University of Nove de Julho,Other,Lead
759,Santa Casa de Misericórdia de Porto Alegre,Other,Collaborator
760,UNICEF,Other,Lead
760,"Pak Emirates Military Hospital Rawalpindi, Pakistan",Other,Collaborator
761,Duke University,Other,Lead
761,Centers for Disease Control and Prevention,U.S. Fed,Collaborator
761,"Children's Hospital Medical Center, Cincinnati",Other,Collaborator
761,Boston Medical Center,Other,Collaborator
762,Kanuni Sultan Suleyman Training and Research Hospital,Other,Lead
763,University of Minnesota,Other,Lead
764,"University Hospital, Ghent",Other,Lead
764,European Society of Intensive Care Medicine,Other,Collaborator
765,"Hospital for Special Surgery, New York",Other,Lead
766,Hospital Italiano de Buenos Aires,Other,Lead
766,Sociedad Argentina de Infectología (SADI) (Argentine Society of Infectious Diseases),Other,Collaborator
767,Great Ormond Street Hospital for Children NHS Foundation Trust,Other,Lead
768,"Federal Budgetary Research Institution State Research Center of Virology and Biotechnology ""Vector""",Other,Lead
769,Max Healthcare Insititute Limited,Other,Lead
770,Jill M Kolesar,Other,Lead
770,University of Kentucky,Other,Collaborator
771,Kafkas University,Other,Lead
771,Pamukkale University Faculty of Medicine,Other,Collaborator
771,Acibadem Mehmet Ali Aydinlar University Faculty of Medicine,Other,Collaborator
772,Francesco De Cobelli,Other,Lead
772,IRCCS San Raffaele,Other,Collaborator
773,Stanford University,Other,Lead
774,Karolinska Institutet,Other,Lead
774,Karolinska Trial Alliance,Other,Collaborator
774,"University of California, San Diego",Other,Collaborator
774,Blekinge County Council Hospital,Other,Collaborator
774,JK Biostatistics AB,Other,Collaborator
774,The Swedish Research Council,Other,Collaborator
774,University of Regensburg,Other,Collaborator
774,University Hospital Bergmannsheil Bochum,Other,Collaborator
775,"University College, London",Other,Lead
775,Public Health England,Other,Collaborator
776,Mahidol University,Other,Lead
777,Spanish Oncology Genito-Urinary Group,Other,Lead
778,Dow University of Health Sciences,Other,Lead
778,Higher Education Commission (Pakistan),Other,Collaborator
779,Montreal Heart Institute,Other,Lead
779,"National Heart, Lung, and Blood Institute (NHLBI)",NIH,Collaborator
779,Bill and Melinda Gates Foundation,Other,Collaborator
779,The Government of Quebec,Other,Collaborator
779,DACIMA Software,Other,Collaborator
780,Bandim Health Project,Other,Lead
780,University of Southern Denmark,Other,Collaborator
780,"Engineers without Borders, Denmark (https://iug.dk/en)",Other,Collaborator
781,"University Hospital, Strasbourg, France",Other,Lead
782,Complejo Hospitalario Universitario de Albacete,Other,Lead
783,University of Alberta,Other,Lead
784,Jaseng Hospital of Korean Medicine,Other,Lead
784,Jaseng Medical Academy,Other,Collaborator
785,Assiut University,Other,Lead
786,Calmy Alexandra,Other,Lead
786,"University Hospital, Geneva",Other,Collaborator
787,Direction Centrale du Service de Santé des Armées,Other,Lead
788,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Other,Lead
789,University of Thessaly,Other,Lead
790,Igenomix,Industry,Lead
791,Max Healthcare Insititute Limited,Other,Lead
792,Nepal Health Research Council,Other,Lead
793,Massachusetts General Hospital,Other,Lead
794,University of Lisbon,Other,Lead
794,Cardiovascular Centre of Universidade de Lisboa (CCUL),Industry,Collaborator
794,Faculty of Medicine of Universidade de Lisboa (FMUL),Other,Collaborator
794,Centro Hospitalar Universitário Lisboa Norte (CHULN),Other,Collaborator
794,Centro Hospitalar Universitário São João (CHUSJ),Other,Collaborator
794,CINTESIS - Center for Health Technology and Services Research,Other,Collaborator
794,NOVA Medical School of Universidade NOVA de Lisboa,Other,Collaborator
794,"HeartGenetics, Genetics and Biotechnology SA",Other,Collaborator
794,Instituto Gulbenkian de Ciência (IGC),Other,Collaborator
795,Butantan Institute,Other,Lead
796,IRCCS Azienda Ospedaliero-Universitaria di Bologna,Other,Lead
797,Azienda Unità Sanitaria Locale Reggio Emilia,Other,Lead
798,Universidad Nacional de Colombia,Other,Lead
798,Pontificia Universidad Javeriana,Other,Collaborator
798,Clínica Universitaria Colombia,Other,Collaborator
798,Hospital Universitario San Ignacio,Other,Collaborator
798,Hospital Universitario Nacional de Colombia,Other,Collaborator
798,Clínica Reina Sofía,Other,Collaborator
798,Fundación Cardio Infantil,Other,Collaborator
798,Clinica Santa maria del Lago,Other,Collaborator
799,Hospital Central Militar,Other,Lead
800,Sohaib Ashraf,Other,Lead
800,Sheikh Zayed Federal Postgraduate Medical Institute,Other,Collaborator
801,Cadila Pharnmaceuticals,Industry,Lead
801,"Council of Scientific and Industrial Research, India",Other,Collaborator
802,Centre Hospitalier Intercommunal Creteil,Other,Lead
802,Centre Hospitalier Intercommunal Villeneuve St Georges,Other,Collaborator
803,Ain Shams University,Other,Lead
804,Hacettepe University,Other,Lead
805,Guy's and St Thomas' NHS Foundation Trust,Other,Lead
806,Institut Pasteur,Industry,Lead
807,"University Hospital, Basel, Switzerland",Other,Lead
808,The Scientific and Technological Research Council of Turkey,Other,Lead
808,Ankara City Hospital Bilkent,Other,Collaborator
808,Istanbul Umraniye Training and Research Hospital,Other,Collaborator
808,Koç University,Other,Collaborator
808,Monitor CRO,Other,Collaborator
809,University of British Columbia,Other,Lead
809,Genome British Columbia,Industry,Collaborator
809,Canadian Institutes of Health Research (CIHR),Other,Collaborator
809,Canadian Critical Care Trials Group,Other,Collaborator
810,French Innovative Leukemia Organisation,Other,Lead
810,Institut de cancérologie Strasbourg Europe,Other,Collaborator
811,Policlinico Hospital,Other,Lead
812,Medical University of Warsaw,Other,Lead
812,"Human Biome Institute, Poland",Other,Collaborator
813,A.O. Ospedale Papa Giovanni XXIII,Other,Lead
813,"CVPath Institute Inc. Renu Virmani, Aloke Finn",Other,Collaborator
813,"A.O. Ospedale Papa Giovanni XXIII, Anatomia Patologica, Dr Andrea Gianatti, co-PI",Other,Collaborator
814,"All Natural Medicine Clinic, LLC",Other,Lead
815,University of Sao Paulo,Other,Lead
816,Assiut University,Other,Lead
817,Hospital Sultanah Bahiyah,Other,Lead
817,"Hospital Tuanku Fauziah, Kangar, Perlis",Other,Collaborator
817,"Penang Hospital, Malaysia",Other,Collaborator
817,Hospital Raja Permaisuri Bainun,Other,Collaborator
817,"Hospital Sungai Buloh, Selangor",Other,Collaborator
817,Kuala Lumpur General Hospital,Other,Collaborator
817,"Hospital Tuanku Jaafar, Seremban, Negeri Sembilan",Other,Collaborator
817,"Hospital Melaka, Melaka",Other,Collaborator
817,"Hospital Enche Besar Hajjah Khalsom, Kluang, Johor",Other,Collaborator
817,"Hospital Raja Perempuan Zainab II, Kota Bahru, Kelantan",Other,Collaborator
817,"Hospital Sultanah Nur Zahirah, Kuala Terengganu, Terengganu",Other,Collaborator
817,"Hospital Tengku Ampuan Afzan, Kuantan, Pahang",Other,Collaborator
817,Sarawak General Hospital,Other,Collaborator
817,"Hospital Queen Elizabeth, Malaysia",Other,Collaborator
818,"Joseph M. Flynn, D.O., MPH",Other,Lead
818,Norton Healthcare,Other,Collaborator
819,Nantes University Hospital,Other,Lead
820,Polish Mother Memorial Hospital Research Institute,Other,Lead
821,Oslo University Hospital,Other,Lead
822,Mario Negri Institute for Pharmacological Research,Other,Lead
823,Centre Hospitalier Intercommunal Creteil,Other,Lead
823,Association Clinique Thérapeutique Infantile du val de Marne,Other,Collaborator
823,GPIP,Other,Collaborator
823,GFRUP,Other,Collaborator
824,"Central Hospital, Nancy, France",Other,Lead
825,University of Catanzaro,Other,Lead
825,"Azienda Ospedaliera Universitaria Mater Domini, Catanzaro",Other,Collaborator
825,Azienda Sanitaria Provinciale Di Catanzaro,Other,Collaborator
825,"Annunziata Hospital, Cosenza, Italy",Other,Collaborator
825,Azienda Ospedaliera Bianchi-Melacrino-Morelli,Other,Collaborator
826,Clinique Saint Pierre Ottignies,Other,Lead
827,Grand Hôpital de Charleroi,Other,Lead
828,Assiut University,Other,Lead
829,Chromis LLC,Industry,Lead
829,Chemical Diversity Research Institute,Other,Collaborator
830,Dhaka Medical College,Other,Lead
831,St. Joseph's Healthcare Hamilton,Other,Lead
831,Timothy O'Shea,Other,Collaborator
831,Marek Smieja,Other,Collaborator
831,Lawrence Mbuagbaw,Other,Collaborator
832,Brigham and Women's Hospital,Other,Lead
832,Jazz Pharmaceuticals,Industry,Collaborator
833,Hospital Universitario Dr. Jose E. Gonzalez,Other,Lead
834,The University of Hong Kong,Other,Lead
835,Ilaria Colombo,Other,Lead
835,Institute for Research in Biomedicine,Other,Collaborator
835,"Ente Ospedaliero Cantonale, Bellinzona",Other,Collaborator
835,Oncology Institute of Southern Switzerland,Other,Collaborator
836,Johns Hopkins Bloomberg School of Public Health,Other,Lead
836,International Medical Corps,U.S. Fed,Collaborator
836,Centers for Disease Control and Prevention,Other,Collaborator
837,Grigore T. Popa University of Medicine and Pharmacy,Other,Lead
838,Università degli Studi dell'Insubria,Other,Lead
839,Centre de recherche du Centre hospitalier universitaire de Sherbrooke,Other,Lead
839,Lallemand Health Solutions,Industry,Collaborator
840,Assistance Publique - Hôpitaux de Paris,Other,Lead
840,Iltoo Pharma,Industry,Collaborator
841,Spanish Society of Anesthesia and Critical Care (SEDAR),Other,Lead
841,Confederation of Latin American Societies of Anaesthesiology (CLASA),Other,Collaborator
842,Universidad de Granada,Other,Lead
842,Agricultural University of Athens,Other,Collaborator
842,University of Zagreb,Other,Collaborator
842,University of Belgrade,Other,Collaborator
842,"Institute of Technology, Sligo",Other,Collaborator
842,University of Sarajevo,Other,Collaborator
842,Lithuanian University of Health Sciences,Other,Collaborator
842,Jozef Stefan Institute,Other,Collaborator
842,University of Southern Denmark,Other,Collaborator
842,Institut Za Javno Zdeavlje,Other,Collaborator
842,University of Skopje,Other,Collaborator
842,Poznan University of Life Sciences,Other,Collaborator
842,Bezmialem Vakif University,Other,Collaborator
842,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",Other,Collaborator
842,Kuwait University,Other,Collaborator
842,Universidad Nacional de Colombia,Other,Collaborator
842,Manay Rachna International institute of Research and Studies,Other,Collaborator
843,Centre Hospitalier Universitaire de Nīmes,Other,Lead
844,Hospital San Jose Tec de Monterrey,Other,Lead
844,Tecnologico de Monterrey,Other,Collaborator
845,Aarogyam UK,Other,Lead
845,University of Warwick,Other,Collaborator
845,"All India Institute of Ayurveda, Ministry of AYUSH, Government of India",Other,Collaborator
846,AstraZeneca,Industry,Lead
846,QuintilesIMS,Other,Collaborator
847,University of Vienna,Other,Lead
847,SMZ-Ost Donauspital,Other,Collaborator
848,Eastman Dental Insitute and Hospital,Other,Lead
848,"DermBiont, Inc.",Industry,Collaborator
848,University College London Hospitals,Other,Collaborator
848,The Whittington Hospital NHS Trust,Other,Collaborator
849,Shenzhen Geno-Immune Medical Institute,Other,Lead
849,Shenzhen Third People's Hospital,Other,Collaborator
849,Shenzhen Second People's Hospital,Other,Collaborator
850,Assistance Publique - Hôpitaux de Paris,Other,Lead
850,Fondation Université de Paris,Other,Collaborator
850,Fondation Hôpitaux de Paris-Hôpitaux de France,Other,Collaborator
851,Assistance Publique - Hôpitaux de Paris,Other,Lead
852,Poitiers University Hospital,Other,Lead
853,"Institute of Tropical Medicine, Belgium",Other,Lead
854,Clinedem,Other,Lead
854,Alfasigma S.p.A.,Industry,Collaborator
855,Johann Wolfgang Goethe University Hospital,Other,Lead
855,Palas GmbH,Other,Collaborator
856,National Institutes of Health Clinical Center (CC),NIH,Lead
857,Assistance Publique - Hôpitaux de Paris,Other,Lead
858,Egyptian Center for Research and Regenerative Medicine,Other,Lead
858,Cairo University,Other,Collaborator
858,"National Research Centre, Egypt",Other,Collaborator
858,"Academy of Scientific Research and Technology, Egypt",Other,Collaborator
859,Great Ormond Street Hospital for Children NHS Foundation Trust,Other,Lead
860,Nanowear Inc.,Industry,Lead
861,Centro de Educación Medica e Investigaciones Clínicas Norberto Quirno,Other,Lead
862,"University Hospital, Grenoble",Other,Lead
863,"University Hospital, Strasbourg, France",Other,Lead
864,Sociedad Española de Neumología y Cirugía Torácica,Other,Lead
865,European University of Madrid,Other,Lead
866,Yale University,Other,Lead
866,University of Michigan,Other,Collaborator
867,Heidelberg University,Other,Lead
868,"Illumina, Inc.",Industry,Lead
868,"Helix OpCo, LLC",Other,Collaborator
869,Ariel Dogliotti,Other,Lead
869,Centro de Educación Medica e Investigaciones Clínicas Norberto Quirno,Other,Collaborator
870,"Central Hospital, Nancy, France",Other,Lead
871,"Centre Hospitalier Universitaire, Amiens",Other,Lead
872,"University Hospital, Rouen",Other,Lead
873,"Jens D Lundgren, MD",Other,Lead
873,"Ministry of the Interior and Health, Denmark",Other,Collaborator
873,"Rigshospitalet, Denmark",Other,Collaborator
874,"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico",Other,Lead
875,NMC Specialty Hospital,Other,Lead
876,Tanta University,Other,Lead
877,Fondazione per la Ricerca Ospedale Maggiore,Other,Lead
877,European Leukemia Net,Other,Collaborator
878,Hospices Civils de Lyon,Other,Lead
879,University Hospital of Cologne,Other,Lead
879,"Clinic for Internal Medicine I, University Hospital Cologne, Germany",Other,Collaborator
879,"Institute of Virology, University Hospital Cologne, Germany",Other,Collaborator
879,"Center for Molecular Medicine Cologne (CMMC) Cologne, Germany",Other,Collaborator
880,Centre hospitalier de l'Université de Montréal (CHUM),Other,Lead
881,Corporacion Parc Tauli,Other,Lead
881,Institut de Ciències Fotòniques (ICFO),Other,Collaborator
881,Centre de Recerca Matemàtica,Other,Collaborator
881,Institute of Physics University of Campinas,Other,Collaborator
882,"Wuhan Union Hospital, China",Other,Lead
883,TC Erciyes University,Other,Lead
884,AstraZeneca,Industry,Lead
884,QuintilesIMS,Other,Collaborator
885,National Cancer Institute (NCI),NIH,Lead
886,"CellSight Technologies, Inc.",Industry,Lead
886,"University of California, San Francisco",Other,Collaborator
887,CMC Ambroise Paré,Other,Lead
888,Drägerwerk AG & Co. KGaA,Industry,Lead
889,University of Milan,Other,Lead
890,Universidad Peruana Cayetano Heredia,Other,Lead
890,"National University of San Marcos, Peru",Other,Collaborator
891,Assistance Publique - Hôpitaux de Paris,Other,Lead
892,Cambridge University Hospitals NHS Foundation Trust,Other,Lead
892,University of Cambridge,Other,Collaborator
893,Kocak Farma,Industry,Lead
894,"Corvus Pharmaceuticals, Inc.",Industry,Lead
895,"University Hospital, Strasbourg, France",Other,Lead
896,Bukwang Pharmaceutical,Industry,Lead
897,Vanderbilt University Medical Center,Other,Lead
897,Dolly Parton,NIH,Collaborator
897,National Center for Advancing Translational Science (NCATS),Other,Collaborator
898,Assiut University,Other,Lead
899,Tourcoing Hospital,Other,Lead
900,"University Hospital, Toulouse",Other,Lead
901,Cairo University,Other,Lead
902,University of Roma La Sapienza,Other,Lead
903,Daniel Benjamin,Other,Lead
903,National Center for Advancing Translational Science (NCATS),NIH,Collaborator
903,Biomedical Advanced Research and Development Authority,U.S. Fed,Collaborator
903,Duke University,Other,Collaborator
904,Istinye University,Other,Lead
905,Northeastern University,Other,Lead
906,Arizona State University,Other,Lead
906,Southwest College of Naturopathic Medicine,Other,Collaborator
907,Max Healthcare Insititute Limited,Other,Lead
908,"University Hospital, Strasbourg, France",Other,Lead
909,Fatma Soliman Elsayed Ebeid,Other,Lead
909,Ain Shams University,Other,Collaborator
910,"Reena Mehra, MD",Other,Lead
910,The Cleveland Clinic,Other,Collaborator
911,University of Chicago,Other,Lead
912,Laboratorio Elea Phoenix S.A.,Industry,Lead
912,Universidad Nacional de Salta,Other,Collaborator
912,Centro de Investigación Veterinaria Tandil CIVETAN,Other,Collaborator
912,Hospital de Pediatría Prof Dr. Juan P. Garrahan,Other,Collaborator
912,Universidad Nacional de Quilmes,Other,Collaborator
913,Centre de Recherches et d'Etude sur la Pathologie Tropicale et le Sida,Other,Lead
914,Eskisehir Osmangazi University,Other,Lead
915,Università Vita-Salute San Raffaele,Other,Lead
916,Barts & The London NHS Trust,Other,Lead
916,Queen Mary University of London,Other,Collaborator
917,"Tuberculosis Research Centre, India",Other,Lead
917,"ICMR-National Institute for Research in Tuberculosis, Chennai, Tamil Nadu",Other,Collaborator
917,"All India Institute of Medical Sciences, New Delhi",Other,Collaborator
917,"National Institute for Research in Environmental Health, Bhopal, Madhya Pradesh",Other,Collaborator
917,"National Institute of Occupational Health, Ahmedabad, Gujarat",Other,Collaborator
917,King Edward Memorial Hospital,Other,Collaborator
917,National Institute for Implementation Research on Non-Communicable Disease,Other,Collaborator
918,Tehran University of Medical Sciences,Other,Lead
918,Boston University,Other,Collaborator
919,Hospices Civils de Lyon,Other,Lead
920,Intergroupe Francophone du Myelome,Other,Lead
921,Ricardo Pereira Mestre,Other,Lead
921,Institute of Oncology Research (IOR),Other,Collaborator
921,Istituto Cantonale di Patologia,Other,Collaborator
921,Oncology Institute of Southern Switzerland,Other,Collaborator
922,Tanta University,Other,Lead
923,The Hong Kong Polytechnic University,Other,Lead
924,Raymond Chung,Other,Lead
924,Eiger BioPharmaceuticals,Industry,Collaborator
924,Massachusetts General Hospital,Other,Collaborator
925,Brigham and Women's Hospital,Other,Lead
926,Tongji Hospital,Other,Lead
927,"Charite University, Berlin, Germany",Other,Lead
927,Deutsches Zentrum für Herz-Kreislauf-Forschung (DZHK),Industry,Collaborator
927,Bayer,Other,Collaborator
928,National Human Genome Research Institute (NHGRI),NIH,Lead
928,National Institutes of Health Clinical Center (CC),Other,Collaborator
929,The University Clinic of Pulmonary and Allergic Diseases Golnik,Other,Lead
929,"National Institute of Chemistry, Slovenia",Other,Collaborator
930,Max Healthcare Insititute Limited,Other,Lead
931,GeneCure Biotechnologies,Industry,Lead
932,"University Hospital, Strasbourg, France",Other,Lead
933,"Aivita Biomedical, Inc.",Industry,Lead
933,PT AIVITA Biomedika Indonesia,Other,Collaborator
933,Indonesia Ministry of Health,Other,Collaborator
933,"National Institute of Health Research and Development, Ministry of Health Republic of Indonesia",Other,Collaborator
934,NYU Langone Health,Other,Lead
935,University Medicine Greifswald,Other,Lead
935,Friedrich Loefler Institute for Animal Health,Other,Collaborator
935,EUROIMMUN AG,Other,Collaborator
936,François MACH,Other,Lead
936,"University Hospital, Geneva",Other,Collaborator
937,Mansoura University,Other,Lead
938,Emory University,Other,Lead
939,"Partner Therapeutics, Inc.",Industry,Lead
939,United States Department of Defense,U.S. Fed,Collaborator
940,"Direct Biologics, LLC",Industry,Lead
941,Red de Terapia Celular,Industry,Lead
941,Citospin,Other,Collaborator
941,University of Valladolid,Other,Collaborator
941,Castilla-León Health Service,Other,Collaborator
941,Hospital del Río Hortega,Other,Collaborator
941,Instituto de Salud Carlos III,Other,Collaborator
942,"Central Hospital, Nancy, France",Other,Lead
942,University of Lorraine,Other,Collaborator
942,Métropole du Grand Nancy,Other,Collaborator
943,"University Hospital, Toulouse",Other,Lead
944,Assistance Publique - Hôpitaux de Paris,Other,Lead
945,Faculty of Medicine Baiturrahmah University,Other,Lead
946,Keimyung University Dongsan Medical Center,Other,Lead
946,Yeungnam University College of Medicine,Other,Collaborator
947,Campus Bio-Medico University,Other,Lead
947,National Institute of Environmental Health Sciences (NIEHS),NIH,Collaborator
948,National Institute of Allergy and Infectious Diseases (NIAID),NIH,Lead
948,National Institutes of Health Clinical Center (CC),Other,Collaborator
949,"Beckman Coulter, Inc.",Industry,Lead
950,Puerta de Hierro University Hospital,Other,Lead
950,Hospital Universitario La Paz,Other,Collaborator
950,Hospital Universitario 12 de Octubre,Other,Collaborator
950,Hospital General Universitario Gregorio Marañon,Other,Collaborator
950,Hospital Universitario La Fe,Other,Collaborator
951,"University of California, Los Angeles",Other,Lead
952,Istituto Clinico Humanitas,Other,Lead
953,Assiut University,Other,Lead
954,Shin Poong Pharmaceutical Co. Ltd.,Industry,Lead
955,D'Or Institute for Research and Education,Other,Lead
955,Hospital Sao Rafael,Other,Collaborator
956,Instituto do Cancer do Estado de São Paulo,Other,Lead
957,Piazza della Vittoria 14 Studio Medico - Ginecologia e Ostetricia,Other,Lead
958,"University Hospital, Strasbourg, France",Other,Lead
959,"Federal Budgetary Research Institution State Research Center of Virology and Biotechnology ""Vector""",Other,Lead
960,"CytoDyn, Inc.",Industry,Lead
960,Amarex Clinical Research,Other,Collaborator
961,Mansoura University,Other,Lead
962,"Institute of Liver and Biliary Sciences, India",Other,Lead
963,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,Other,Lead
964,Cairo University,Other,Lead
964,Kasr El Aini Hospital,Other,Collaborator
965,"University Hospital, Strasbourg, France",Other,Lead
966,"Federal Research Clinical Center of Federal Medical & Biological Agency, Russia",Other,Lead
967,University of Malaya,Other,Lead
968,Novartis Pharmaceuticals,Industry,Lead
968,Novartis,Other,Collaborator
969,St. Jude Children's Research Hospital,Other,Lead
970,Mansoura University,Other,Lead
971,"Aventyn, Inc.",Industry,Lead
971,Intel Corporation,Other,Collaborator
971,Abrazo Health Network,Other,Collaborator
971,Karolinska Institutet,Other,Collaborator
971,ASU College of Health Solutions,Other,Collaborator
972,Heidelberg University,Other,Lead
973,University of Alabama at Birmingham,Other,Lead
974,London School of Hygiene and Tropical Medicine,Other,Lead
975,National Research Center for Preventive Medicine,Other,Lead
975,National Medical and Surgical Center named after N.I. Pirogov of the Ministry of Healthcare of the Russian Federation,Other,Collaborator
975,National Medical Research Center for Therapy and Preventive Medicine,Other,Collaborator
976,University of Illinois at Urbana-Champaign,Other,Lead
976,North Jersey Community Research Initiative,NIH,Collaborator
976,National Institute on Minority Health and Health Disparities (NIMHD),Other,Collaborator
976,University of Michigan,Other,Collaborator
977,COVID-19 Prevention Network,Other,Lead
978,Sykehuset Telemark,Other,Lead
978,Sorlandet Hospital HF,Other,Collaborator
978,Norwegian Institute of Public Health,Other,Collaborator
978,"London School of Hygiene and Tropical Medicine, UK",Other,Collaborator
978,Leiden University,Other,Collaborator
978,Aalborg University,Other,Collaborator
979,Konya Training and Research Hospital,Other,Lead
980,University of L'Aquila,Other,Lead
981,"National Research Centre, Egypt",Other,Lead
981,Egyptian Military Medical Services,Other,Collaborator
982,Rapa Therapeutics LLC,Industry,Lead
982,Hackensack Meridian Health,Other,Collaborator
983,Hospices Civils de Lyon,Other,Lead
984,Hadassah Medical Organization,Other,Lead
985,"University of Colorado, Denver",Other,Lead
986,Columbia University,Other,Lead
986,New York State Psychiatric Institute,Other,Collaborator
987,King Saud University,Other,Lead
988,"University Hospital, Toulouse",Other,Lead
988,"Institut National de la Santé Et de la Recherche Médicale, France",Other,Collaborator
989,Emory University,Other,Lead
990,Medical University of Silesia,Other,Lead
991,"physIQ, Inc.",Industry,Lead
991,National Institute for Biomedical Imaging and Bioengineering (NIBIB),NIH,Collaborator
991,National Cancer Institute (NCI),Other,Collaborator
991,University of Illinois at Chicago,Other,Collaborator
992,Juan Fernando Masa Jiménez,Other,Lead
992,University of Extremadura,Other,Collaborator
993,Ankara City Hospital Bilkent,Other,Lead
994,"Gustave Roussy, Cancer Campus, Grand Paris",Other,Lead
995,University Hospitals of North Midlands NHS Trust,Other,Lead
996,Australian and New Zealand Intensive Care Research Centre,Other,Lead
996,The Alfred,Other,Collaborator
997,CHU de Reims,Other,Lead
998,HealthPartners Institute,Other,Lead
998,Park Nicollet Foundation,Other,Collaborator
999,Assistance Publique - Hôpitaux de Paris,Other,Lead
1000,University of Virginia,Other,Lead
1001,Arbeitsgemeinschaft medikamentoese Tumortherapie,Other,Lead
1002,University of British Columbia,Other,Lead
1002,Canadian Institutes of Health Research (CIHR),Other,Collaborator
1002,British Columbia Centre for Disease Control,Other,Collaborator
1002,McGill University Health Centre/Research Institute of the McGill University Health Centre,Other,Collaborator
1002,University of Toronto,Other,Collaborator
1002,University of Ottawa,Other,Collaborator
1002,University of Calgary,Other,Collaborator
1002,University of Alberta,Other,Collaborator
1002,University of Victoria,Other,Collaborator
1002,Wuhan University,Other,Collaborator
1002,Peking Union Medical College,Other,Collaborator
1002,University of Pennsylvania,Other,Collaborator
1003,"Federal Research Clinical Center of Federal Medical & Biological Agency, Russia",Other,Lead
1004,Instituto Mexicano del Seguro Social,Other,Lead
1005,Escola de Saúde Pública do Ceará,Other,Lead
1006,Shanghai Public Health Clinical Center,Other,Lead
1007,Universitair Ziekenhuis Brussel,Other,Lead
1008,University Medical Center Groningen,Other,Lead
1009,Hilton Pharma,Industry,Lead
1010,University of Cape Town,Other,Lead
1010,University of KwaZulu,Other,Collaborator
1011,Louisiana State University Health Sciences Center in New Orleans,Other,Lead
1011,Lafayette General Health,Other,Collaborator
1011,University of Louisiana at Lafayette,Other,Collaborator
1012,"University Hospital, Strasbourg, France",Other,Lead
1013,Sultan Qaboos University,Other,Lead
1014,Uppsala University,Other,Lead
1014,Uppsala University Hospital,Other,Collaborator
1015,Zagazig University,Other,Lead
1016,European Myeloma Network,Other,Lead
1016,Fondazione EMN Italy Onlus,Other,Collaborator
