study_id,agency,agency_class,lead_or_collaborator
52,University of Nottingham,Other,Collaborator
52,University of Glasgow,Other,Collaborator
52,University Hospital of Wales,Other,Collaborator
52,Public Health England,Other,Collaborator
52,"St George's, University of London",Other,Collaborator
53,Spartan Bioscience Inc.,Industry,Lead
53,Beaufort,Other,Collaborator
54,Acibadem University,Other,Lead
55,PT Bio Farma,Industry,Lead
55,Faculty of Medicine Universitas Padjadjaran,Other,Collaborator
55,"National Intitute of Health Research and Development, Ministry of Health Republic of Indonesia",Other,Collaborator
55,"Sinovac Life Sciences Co., Ltd.",Other,Collaborator
56,Spartan Bioscience Inc.,Industry,Lead
57,Maastricht University,Other,Lead
57,Innovative Medicines Initiative,Other,Collaborator
58,Scentech Medical Technologies Ltd,Industry,Lead
59,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,Other,Lead
59,Society for Anesthesia and Resuscitation of Belgium,Other,Collaborator
60,Lahore General Hospital,Other,Lead
61,Nisantasi University,Other,Lead
62,Polk County Fire Rescue,Other,Lead
63,Uppsala University,Other,Lead
63,"Center for Clinical Research Dalarna, Sweden",Other,Collaborator
64,Noah Merin,Other,Lead
64,Johns Hopkins University,Other,Collaborator
64,Cedars-Sinai Medical Center,Other,Collaborator
65,Turkish Ministry of Health Izmir Teaching Hospital,Other,Lead
66,"Hospital Infantil Universitario Niño Jesús, Madrid, Spain",Other,Lead
66,Apices Soluciones S.L.,Industry,Collaborator
67,Orthosera Kft.,Other,Lead
67,Semmelweis University,Other,Collaborator
67,University of Pecs,Other,Collaborator
67,Hungarian National Blood Service,Other,Collaborator
67,Humán Bioplazma Kft - Kedrion,Other,Collaborator
68,Postgraduate Institute of Medical Education and Research,Other,Lead
69,Assiut University,Other,Lead
70,Suleyman Demirel University,Other,Lead
71,Silesian Centre for Heart Diseases,Other,Lead
71,Medical Research Agency - Agencja Badań Medycznych,Other,Collaborator
71,Medical University of Silesia,Other,Collaborator
72,"Institute of Public Health, Albania",Other,Lead
72,World Health Organization,U.S. Fed,Collaborator
