study_id,outcome_type,measure,time_frame,description
1,Not Specified,Evaluate the diagnostic performance of the id now ™ covid 19 test carried out by nurses in an emergency department in comparison with the reference pcr test: simplexa ™ covid 19 direct,Not specified,Detailed in measure
2,Not Specified,Change on viral load results after using covid19 0001 usr via nebulization,From baseline,Detailed in measure
3,Not Specified,A qualitative analysis of parenchymal lung damage induced by covid 19,Not specified,Detailed in measure
3,Not Specified,A quantitative analysis of parenchymal lung damage induced by covid 19,Not specified,Detailed in measure
3,Not Specified,The potential impact of parenchymal morphological ct scans in patients with severe moderate respiratory failure,Not specified,Detailed in measure
3,Not Specified,Automated segmentation of lung scans of patients with covid 19 and ards,Not specified,Detailed in measure
3,Not Specified,Knowledge of chest ct features in covid 19 patients and their detail through the use of machine learning and other quantitative techniques,Not specified,Detailed in measure
3,Not Specified,The ability within which the analysis of artificial intelligence that uses deep learning models can be used to predict clinical outcomes,Not specified,Detailed in measure
4,Not Specified,Proportion of asymptomatic subjects,Not specified,Detailed in measure
4,Not Specified,Proportion of subjects with recent contact history,Not specified,Detailed in measure
4,Not Specified,Proportion of subjects with recent travel history,Not specified,Detailed in measure
5,Not Specified,Covid 19 by positive pcr in cord blood and / or positive serologies,Not specified,Detailed in measure
5,Not Specified,Covid 19 by positive pcr in amniotic fluid and placenta,Not specified,Detailed in measure
5,Not Specified,New born infected by covid 19,Not specified,Detailed in measure
6,Not Specified,Evaluate the safety,Not specified,Detailed in measure
6,Not Specified,Change in requirement for mechanical ventilatory support,Not specified,Detailed in measure
7,Not Specified,Covid 19 breastfeeding guidance adherence,At birth,Detailed in measure
7,Not Specified,Covid 19 breastfeeding guidance adherence postpartum,1 month,Detailed in measure
7,Not Specified,Covid 19 breastfeeding guidance adherence postpartum,3 months,Detailed in measure
7,Not Specified,Exclusive breastfeeding,At birth,Detailed in measure
7,Not Specified,Exclusive breastfeeding,1 month,Detailed in measure
7,Not Specified,Exclusive breastfeeding,3 months,Detailed in measure
7,Not Specified,Covid_status,Not specified,Detailed in measure
7,Not Specified,Covid 19 immunoglobulin g,Not specified,Detailed in measure
7,Not Specified,Covid 19 immunoglobulin m,Not specified,Detailed in measure
8,Not Specified,Severity of covid 19 among people with and without diabetes,Not specified,Detailed in measure
8,Not Specified,Number of patients who were in icu,Not specified,Detailed in measure
8,Not Specified,Number of patients who had tracheal intubation,Not specified,Detailed in measure
8,Not Specified,Number of patients who had respiratory complication,Not specified,Detailed in measure
8,Not Specified,Number of death,Not specified,Detailed in measure
8,Not Specified,"Correlation of bmi with complications, tracheal intubation and mortality",Not specified,Detailed in measure
8,Not Specified,Length of hospital stay,Not specified,Detailed in measure
9,Not Specified,Correlation between volatile organic compounds pattern and covid 19 detection status,Not specified,Detailed in measure
9,Not Specified,Correlation between volatile organic compounds pattern and time from covid 19 detection,Not specified,Detailed in measure
9,Not Specified,Correlation between the set of volatile organic compounds found in breath biopsy and disease intensity,Not specified,Detailed in measure
10,Not Specified,In hospital mortality secondary to covid 19 among patients treated with convalescent plasma,Not specified,Detailed in measure
10,Not Specified,Safety of the use of convalescent plasma drom covid 19 donors,Not specified,Detailed in measure
10,Not Specified,Mortality,"30 days, 90 days, 6 months, and 1 year",Detailed in measure
10,Not Specified,In hospital mortality covid 19 related compared with non treated population according to chilean official reports,Not specified,Detailed in measure
10,Not Specified,Number of days of hospitalization in high complexity facilities after convalescent plasma use,Not specified,Detailed in measure
10,Not Specified,Number of days of hospitalization in intensive care unit after convalescent plasma use,Not specified,Detailed in measure
10,Not Specified,Number of days of mechanical ventilatory support in patients after convalescent plasma use,Not specified,Detailed in measure
10,Not Specified,Total number of days of mechanical ventilatory support,Not specified,Detailed in measure
10,Not Specified,Total number of hospitalization days in patients treated with convalescent plasma,Not specified,Detailed in measure
10,Not Specified,Number of hospitalization days in patients after treatment with convalescent plasma,Not specified,Detailed in measure
10,Not Specified,Viral load measuring,Not specified,Detailed in measure
10,Not Specified,"Immunological response in treated patients (covid19 immunoglobulin m and immunoglobulin g, neutralizing antibodies)",Not specified,Detailed in measure
10,Not Specified,Negativization of covid 19 load since convalescent plasma use,Not specified,Detailed in measure
10,Not Specified,Negativization of covid 19 load since hospitalization,Not specified,Detailed in measure
10,Not Specified,Negativization of covid 19 load since first reported symptoms covid 19 related,Not specified,Detailed in measure
10,Not Specified,Donor interferon gamma profile characterization,Not specified,Detailed in measure
10,Not Specified,Donor granulocyte macrophage colony stimulating factor characterization,Not specified,Detailed in measure
10,Not Specified,Donor tumor necrosis factor alfa characterization,Not specified,Detailed in measure
10,Not Specified,Donor interleukin 1 beta characterization,Not specified,Detailed in measure
10,Not Specified,Donor interleukin 2 characterization,Not specified,Detailed in measure
10,Not Specified,Donor interleukin 4 characterization,Not specified,Detailed in measure
10,Not Specified,Donor interleukin 6 characterization,Not specified,Detailed in measure
10,Not Specified,Donor interleukin 8 characterization,Not specified,Detailed in measure
10,Not Specified,Donor interleukin 10 characterization,Not specified,Detailed in measure
10,Not Specified,Receptor interferon gamma profile characterization,Not specified,Detailed in measure
10,Not Specified,Receptor granulocyte macrophage colony stimulating factor characterization,Not specified,Detailed in measure
10,Not Specified,Receptor tumor necrosis factor alfa characterization,Not specified,Detailed in measure
10,Not Specified,Receptor interleukin 1 beta characterization,Not specified,Detailed in measure
10,Not Specified,Receptor interleukin 2 characterization,Not specified,Detailed in measure
10,Not Specified,Receptor interleukin 4 characterization,Not specified,Detailed in measure
10,Not Specified,Receptor interleukin 6 characterization,Not specified,Detailed in measure
10,Not Specified,Receptor interleukin 8 characterization,Not specified,Detailed in measure
10,Not Specified,Receptor interleukin 10 characterization,Not specified,Detailed in measure
11,Not Specified,Reduce mortality,Not specified,Detailed in measure
11,Not Specified,Reduce requirement for mechanical ventilation,Not specified,Detailed in measure
11,Not Specified,Reduce the duration of mechanical ventilation,Not specified,Detailed in measure
11,Not Specified,Review of treatment related adverse events,Not specified,Detailed in measure
12,Not Specified,Development of a tool to measure frailty,Not specified,Detailed in measure
12,Not Specified,"A ""proxy"" variable of the fragility index can be built on the basis of regional administrative databases only",Not specified,Detailed in measure
12,Not Specified,Give elements to focus the screening policies for covid19,Not specified,Detailed in measure
12,Not Specified,Give the prevention of contagion at the elderly population level,Not specified,Detailed in measure
13,Not Specified,Maternal covid 19 serology (igg and igm),Not specified,Detailed in measure
13,Not Specified,Maternal/neonatal igg and igm concordance,Not specified,Detailed in measure
13,Not Specified,Maternal covid serology time/profile following vaccination,Not specified,Detailed in measure
13,Not Specified,Breastmilk serology,Not specified,Detailed in measure
13,Not Specified,Cytokine,Not specified,Detailed in measure
13,Not Specified,Neonatal cytokine,Not specified,Detailed in measure
13,Not Specified,Covid disease vs vaccination immune response,Not specified,Detailed in measure
13,Not Specified,Covid vaccine in pregnant vs nonpregnant,Not specified,Detailed in measure
14,Not Specified,Identification of demographic and clinical factors in covid19 patients,Not specified,Detailed in measure
14,Not Specified,Description of the disturbances of smell and taste,Not specified,Detailed in measure
14,Not Specified,Description of factors that influence smell and taste,Not specified,Detailed in measure
15,Not Specified,Association between breath vocs and igg in blood following second vaccination dose,Not specified,Detailed in measure
15,Not Specified,Association between vocs profile and participants' clinical or demographic characteristics,Not specified,Detailed in measure
16,Not Specified,Incidence of covid 19 infection in patients with hepatocellular carcinoma in france,Not specified,Detailed in measure
17,Not Specified,Evaluation of covid viro® diagnostic specificity,Not specified,Detailed in measure
17,Not Specified,Evaluation of covid viro® diagnostic sensitivity,Not specified,Detailed in measure
17,Not Specified,Evaluation of covid viro® diagnostic sensitivity for rt qpcr cycle threshold value < or > 28,Not specified,Detailed in measure
18,Not Specified,Incidence of covid 19 in igg4 patients with pancreatobiliary involvement,Not specified,Detailed in measure
18,Not Specified,Incidence of severe covid 19 in igg4 patients with pancreatobiliary involvement,Not specified,Detailed in measure
18,Not Specified,Medications for the underlying igg4 disease used when patient was diagnosed to have covid 19,Not specified,Detailed in measure
18,Not Specified,Risk factors associated with covid 19 infection in igg4 patients with pancreatobiliary involvement,Not specified,Detailed in measure
18,Not Specified,Incidence of postponement or discontinuation of indicated medical treatment for the underlying igg4 disease during covid 19 outbreak,Not specified,Detailed in measure
19,Not Specified,Self reported version of the leeds assessment of neuropathic symptoms and signs,Not specified,Detailed in measure
19,Not Specified,Paindetec,Not specified,Detailed in measure
19,Not Specified,Euroqol 5d,Not specified,Detailed in measure
19,Not Specified,The hospital anxiety and depression scale,Not specified,Detailed in measure
20,Not Specified,Sars cov 2 infection,Not specified,Detailed in measure
21,Not Specified,Survival at discharge day (comparison between the two groups),Not specified,Detailed in measure
21,Not Specified,Length of stay (comparison between the two groups),Not specified,Detailed in measure
21,Not Specified,Readmission rate (comparison between the two groups),Not specified,Detailed in measure
21,Not Specified,Complications rate (comparison between the two groups),Not specified,Detailed in measure
21,Not Specified,Survival after discharge (comparison between the two groups),30 days,Detailed in measure
21,Not Specified,Routine lab exams values (comparison between the two groups),Not specified,Detailed in measure
22,Not Specified,Adverse reactions incidence,Not specified,Detailed in measure
22,Not Specified,Rate of mortality,28 days,Detailed in measure
22,Not Specified,Time to clinical improvement on a seven category ordinal scale,Not specified,Detailed in measure
22,Not Specified,Assessment of the immune response profile,Not specified,Detailed in measure
22,Not Specified,Assessment of acute phase serum markers,Not specified,Detailed in measure
23,Not Specified,To assess the safety and tolerability of the covid 19 vaccine following one or two consecutive intramuscular injections in healthy volunteers,Not specified,Detailed in measure
23,Not Specified,To assess induction of sars cov 2 spike protein binding antibodies upon one or two administrations of the covid 19 vaccine by means of elisa up to study day 56,Not specified,Detailed in measure
23,Not Specified,To assess induction of sars cov 2 neutralizing antibodies upon one or two administrations of the covid 19 vaccine by means of serum neutralization assay up to study day 91,Not specified,Detailed in measure
23,Not Specified,"To assess sars cov 2 spike protein specific, cell mediated immune responses up to study day 91, induced by one or two doses of vaccine, by means of intracellular staining and flow cytometry",Not specified,Detailed in measure
23,Not Specified,"To assess potential measles virus shedding by means of rt qpcr of saliva, nasal swab, urine, or blood samples in sentinel groups on day 0 and up to day 42",Not specified,Detailed in measure
24,Not Specified,To identify the genetic determinants of covid 19 severity,Not specified,Detailed in measure
24,Not Specified,To identify the genetic determinants of covid 19 clinical trajectories,Not specified,Detailed in measure
25,Not Specified,Immune responses,Not specified,Detailed in measure
25,Not Specified,Duration and breadth of b and t cell responses,Not specified,Detailed in measure
25,Not Specified,Immune responses in healthy people and patient groups at risk,Not specified,Detailed in measure
26,Not Specified,Assessment of cognitive functions after covid 19,Not specified,Detailed in measure
26,Not Specified,Rehabilitation of cognitive functions after covid 19,Not specified,Detailed in measure
27,Not Specified,Identify risk factors for intra hospital mortality,Not specified,Detailed in measure
27,Not Specified,Identify risk factors to build a prognostic score,Not specified,Detailed in measure
27,Not Specified,Predictive factors for the hospitalization duration,Not specified,Detailed in measure
27,Not Specified,"Predictive factors for clinical status patients based on ""ordinal scale for clinical improvement""",Not specified,Detailed in measure
27,Not Specified,Describe the anti viral therapies used commonly in this emergency in terms of efficacy,Not specified,Detailed in measure
27,Not Specified,Describe the anti viral therapies used commonly used in this emergency in terms of safety,Not specified,Detailed in measure
27,Not Specified,Monitor the clinical course of the disease in discharged patients,Not specified,Detailed in measure
28,Not Specified,Estimate the prevalence of covid 19 infection based on responses to questionnaire items on symptoms and practices using a biweekly electronic survey,Not specified,Detailed in measure
28,Not Specified,"Assess perceptions, concerns, and practices related to the covid 19 pandemic and mitigation strategies",Not specified,Detailed in measure
28,Not Specified,Estimate of the prevalence of active infection in cabarrus county,Not specified,Detailed in measure
28,Not Specified,Estimate of the prevalence of exposure and potential immunity to covid 19,Not specified,Detailed in measure
29,Not Specified,Diagnostic values of anosmia and ageusia for covid 19,Not specified,Detailed in measure
29,Not Specified,Diagnostic values of coda,Not specified,Detailed in measure
30,Not Specified,Number of positive covid 19 women,Not specified,Detailed in measure
31,Not Specified,Performance evaluation of realdetect™ covid 19 rt pcr kit,Not specified,Detailed in measure
31,Not Specified,Reduce the price of rt pcr based covid 19 diagnostic test kits,Not specified,Detailed in measure
32,Not Specified,Clinical description of covid 19 ambulatory cases,Not specified,Detailed in measure
32,Not Specified,Biological and radiological description of ambulatory cases,Not specified,Detailed in measure
32,Not Specified,Prevalence of positive cases (pcr and/or serological positive),Not specified,Detailed in measure
33,Not Specified,Prevalence of covid 19 infection in consecutive patients with neurological symptoms,Not specified,Detailed in measure
33,Not Specified,Three months cognitive function of covid 19 positive patients,Not specified,Detailed in measure
33,Not Specified,Clinical presentation of neurological symptoms in covid 19 positive patients,Not specified,Detailed in measure
33,Not Specified,Prevalence of pre and asymptomatic covid 19 positive patients in acutely admitted neurological patients,Not specified,Detailed in measure
33,Not Specified,Anosmia in covid 19 positive patients,Not specified,Detailed in measure
33,Not Specified,Exploratory analysis on neuro specific and inflammatory blood and cerebrospinal fluid markers of covid 19 infection,Not specified,Detailed in measure
33,Not Specified,Exploratory analysis of the coagulation profile of covid 19 positive patients compared to covid 19neg patients,Not specified,Detailed in measure
34,Not Specified,Correlation between volatile organic compounds pattern in breath biopsy and covid 19 detection,Not specified,Detailed in measure
34,Not Specified,Correlation between volatile organic compounds pattern and the course of the disease,Not specified,Detailed in measure
35,Not Specified,Prevalence of gastrointestinal symptoms in patients admitted to hospital for covid19 disease as assessed by gsrs questionnaire,Not specified,Detailed in measure
35,Not Specified,Prognosis of gastrointestinal symptoms in patients admitted to hospital for covid19 disease,Not specified,Detailed in measure
35,Not Specified,Long term consequences of covid 19 on gastrointestinal symptoms on the development of post infection (pi) irritable bowel syndrome (ibs),Not specified,Detailed in measure
35,Not Specified,Long term consequences of covid 19 on gastrointestinal symptoms on the development of post infection (pi) dyspepsia,Not specified,Detailed in measure
35,Not Specified,Identification of risk factors for post infection gastrointestinal symptom development,Not specified,Detailed in measure
36,Not Specified,Frequency of mhm imbalance triggered by covid 19,Not specified,Detailed in measure
36,Not Specified,Number of covid 19 patients in gaucher's disease,Not specified,Detailed in measure
36,Not Specified,Number of covid 19 patients in urea cycle disorder,Not specified,Detailed in measure
36,Not Specified,Severity of covid 19 infection,Not specified,Detailed in measure
37,Not Specified,Incidence of covid 19 cases after two doses immunization schedule in clusters in the first quarter of study,Not specified,Detailed in measure
37,Not Specified,Incidence of covid 19 cases after two doses immunization schedule in clusters up to one year of study,Not specified,Detailed in measure
37,Not Specified,Incidence of covid 19 cases after two doses immunization schedule in clusters according to immunization status,Not specified,Detailed in measure
37,Not Specified,Incidence of covid 19 cases after two doses immunization schedule in clusters according to pre existing sars cov 2 antibodies,Not specified,Detailed in measure
37,Not Specified,Incidence of covid 19 cases after two doses immunization schedule in clusters according to immunization coverage,Not specified,Detailed in measure
37,Not Specified,Incidence of hospitalization and death due to covid 19 after two doses immunization schedule in clusters,Not specified,Detailed in measure
37,Not Specified,Change in average number of reported covid 19 cases in the study area in comparison to other neighboring cities,Not specified,Detailed in measure
37,Not Specified,Medically attended adverse reactions to the study vaccine,Not specified,Detailed in measure
37,Not Specified,Frequency of severe covid 19 cases,Not specified,Detailed in measure
37,Not Specified,Frequency of adverse events of special interest after immunization,Not specified,Detailed in measure
37,Not Specified,Acceptability of the study vaccine,Not specified,Detailed in measure
37,Not Specified,Adherence to vaccination schedule,Not specified,Detailed in measure
38,Not Specified,Detection of viral infection using serology and viral rna detection kits,Not specified,Detailed in measure
38,Not Specified,Temporal trend of antibodies in blood,Not specified,Detailed in measure
39,Not Specified,Diagnostic of covid disease composite,Not specified,Detailed in measure
40,Not Specified,Sars cov 2 semen result,Not specified,Detailed in measure
41,Not Specified,Change in pao2/fio2 after ccp transfusion,Not specified,Detailed in measure
41,Not Specified,Change in pulse oximetry status after ccp transfusion,Not specified,Detailed in measure
41,Not Specified,Change in ao2 after ccp transfusion,Not specified,Detailed in measure
41,Not Specified,Change in respiratory rate after ccp transfusion,Not specified,Detailed in measure
41,Not Specified,Change in intubation status after ccp transfusion,Not specified,Detailed in measure
41,Not Specified,Change in sequential organ failure assessment (sofa),Not specified,Detailed in measure
41,Not Specified,Change in 8 point ordinal clinical deterioration scale,Not specified,Detailed in measure
41,Not Specified,Length of icu/hospital stay,Not specified,Detailed in measure
41,Not Specified,Development of plasma transfusion reactions,Not specified,Detailed in measure
41,Not Specified,Development of immune complex disorders,Not specified,Detailed in measure
41,Not Specified,Change in anti cov 2 igm and igg levels,Not specified,Detailed in measure
42,Not Specified,Pulmonary follow up sequelae in patients after covid 19,Not specified,Detailed in measure
42,Not Specified,Evaluation of risk factors for adverse outcome after covid 19,Not specified,Detailed in measure
42,Not Specified,Compare the functional pulmonary outcome of covid 19 disease,Not specified,Detailed in measure
42,Not Specified,Compare the radiological pulmonary outcome of covid 19 disease,Not specified,Detailed in measure
42,Not Specified,Quality of life after covid 19,Not specified,Detailed in measure
42,Not Specified,Physical performance after covid 19 using clinical frailty scale,Not specified,Detailed in measure
42,Not Specified,Physical performance after covid 19 using frailty assessment tests,Not specified,Detailed in measure
42,Not Specified,Microbiota and covid 19,Not specified,Detailed in measure
43,Not Specified,"Study the prevalence of covid 19 infection, coronavirus (sars coronavirus 2) in territorial agents in the 3 structures : cctvl, loire valley region centre, orleans metropolitan city",Not specified,Detailed in measure
43,Not Specified,"Determine if there is a relationship between the profession carried out by the agents of the territorial community of orleans metropolitan city, the loire valley region, the cctvl and contamination by covid 19",Not specified,Detailed in measure
44,Not Specified,Incidence of adverse events after receiving the adsorbed covid 19 (inactivated) vaccine,Not specified,Detailed in measure
44,Not Specified,Reactogenicity of adsorbed covid 19 (inactivated) vaccine,Not specified,Detailed in measure
44,Not Specified,Safety of adsorbed covid 19 (inactivated) vaccine,Not specified,Detailed in measure
45,Not Specified,Igg anti covid 19,Not specified,Detailed in measure
45,Not Specified,Igm anti covid 19,Not specified,Detailed in measure
45,Not Specified,Iga anti covid 19,Not specified,Detailed in measure
45,Not Specified,Time of onset symptoms,Not specified,Detailed in measure
45,Not Specified,Covid 19 pcr results,Not specified,Detailed in measure
45,Not Specified,Radiological studies,Not specified,Detailed in measure
46,Not Specified,Phase 1 unexpected serious adverse events,Not specified,Detailed in measure
46,Not Specified,Phase 2 patients turning covid 19 negative (rt pcr negative),Not specified,Detailed in measure
46,Not Specified,Phase 1 patients turning covid 19 negative (rt pcr negative),Not specified,Detailed in measure
46,Not Specified,Phase 1 exploratory outcome,Not specified,Detailed in measure
46,Not Specified,Phase 2 unexpected serious adverse events,Not specified,Detailed in measure
46,Not Specified,Phase 2 change in who clinical progression scale,Not specified,Detailed in measure
47,Not Specified,Safety (sae),Not specified,Detailed in measure
47,Not Specified,Rate of intubation,Not specified,Detailed in measure
47,Not Specified,Number of participants initiating systemic corticosteroids,Not specified,Detailed in measure
47,Not Specified,Hospital stay,Not specified,Detailed in measure
47,Not Specified,Mortality,Not specified,Detailed in measure
47,Not Specified,Icu stay,Not specified,Detailed in measure
47,Not Specified,Ventilator days,Not specified,Detailed in measure
47,Not Specified,Severity of respiratory failure,Not specified,Detailed in measure
47,Not Specified,Viral load,Not specified,Detailed in measure
47,Not Specified,Antibody measurements,Not specified,Detailed in measure
47,Not Specified,Thrombotic complication,Not specified,Detailed in measure
47,Not Specified,The rate of participants presenting with coagulopathy disorders,Not specified,Detailed in measure
47,Not Specified,Number of participants with laboratory change,Not specified,Detailed in measure
47,Not Specified,Adverse effects,Not specified,Detailed in measure
47,Not Specified,Convalescent plasma efficacy,Not specified,Detailed in measure
47,Not Specified,Convalescent plasma high vs low titer efficacy,Not specified,Detailed in measure
47,Not Specified,Convalescent plasma efficacy according to donor status,Not specified,Detailed in measure
48,Not Specified,Number of participants with severe post covid 19 complications,Not specified,Detailed in measure
48,Not Specified,Factors related to the severity of post covid 19 complications,Not specified,Detailed in measure
49,Not Specified,To evaluate the role of ivermectin as a line of treatment for covid 19,Not specified,Detailed in measure
49,Not Specified,To asses the rate of viral clearance in comparison to other treatment protocols,Not specified,Detailed in measure
50,Not Specified,Incidence of healthcare workers with sars cov 2,Not specified,Detailed in measure
50,Not Specified,Incidence of ent patients with sars cov 2,Not specified,Detailed in measure
50,Not Specified,Development of sars cov 2 antibodies among healthcare workers,Not specified,Detailed in measure
50,Not Specified,Sensitivity and specificity of a covid 19 screening symptom questionnaire among healthcare workers,Not specified,Detailed in measure
50,Not Specified,Sars cov 2 and bacterial super infections in upper respiratory airways,Not specified,Detailed in measure
51,Not Specified,Prediction of admission to icu in hospitalized covid 19 patients,Not specified,Detailed in measure
51,Not Specified,Pathophysiology in covid 19 patients,Not specified,Detailed in measure
52,Not Specified,Incidence of neonatal covid 19,Not specified,Detailed in measure
52,Not Specified,Incidence of vertically transmitted covid 19,Not specified,Detailed in measure
52,Not Specified,Presentation and natural history of neonatal covid 19,Not specified,Detailed in measure
52,Not Specified,Presentation of neonates with covid 19 positive mothers,Not specified,Detailed in measure
52,Not Specified,Outcomes for neonates with covid 19,Not specified,Detailed in measure
52,Not Specified,Clinical treatment of neonatal covid 19,Not specified,Detailed in measure
52,Not Specified,Neonatal secondary impacts of maternal covid 19,Not specified,Detailed in measure
53,Not Specified,Percent agreement between soc test and spartan covid 19 test,Not specified,Detailed in measure
54,Not Specified,Vaginal fluid covid 19 pcr test result,Not specified,Detailed in measure
54,Not Specified,Becoming negative from positive,Not specified,Detailed in measure
55,Not Specified,Incidence of laboratory confirmed covid 19 after the second dose,Not specified,Detailed in measure
55,Not Specified,Incidence of suspected covid 19 cases,Not specified,Detailed in measure
55,Not Specified,"Incidence of laboratory confirmed cases (severe, critical and death)",Not specified,Detailed in measure
55,Not Specified,Seroconversion rate anti s antibody igg titer (elisa),Not specified,Detailed in measure
55,Not Specified,Seropositive rate of neutralizing antibodies,Not specified,Detailed in measure
56,Not Specified,Percent agreement between soc test and spartan covid 19 test,Not specified,Detailed in measure
57,Not Specified,Covid 19 severity,Not specified,Detailed in measure
57,Not Specified,Overall survival of the hospitalized population,Not specified,Detailed in measure
58,Not Specified,Presence of volatile organic compounds indicating carriers of covid 19,Not specified,Detailed in measure
58,Not Specified,"Association of exhaled biomarkers with participants' characteristics (age, gender, symptoms severity, etc.)",Not specified,Detailed in measure
58,Not Specified,Sensitivity level of biomarkers' algorithm,Not specified,Detailed in measure
59,Not Specified,Global evaluation of the implication of the belgian anesthesiologists during covid 19 pandemic,Not specified,Detailed in measure
59,Not Specified,If any compare our results with other countries,Not specified,Detailed in measure
60,Not Specified,Sars cov 2 igg antibodies,Not specified,Detailed in measure
61,Not Specified,Extend of lung involvement,Not specified,Detailed in measure
61,Not Specified,Oxygen saturation on admission,Not specified,Detailed in measure
62,Not Specified,Prevalence of covid 19 amongst county emergency personnel,Not specified,Detailed in measure
62,Not Specified,Correlation of common covid 19 symptoms with result of covid 19 test,Not specified,Detailed in measure
62,Not Specified,Co existence of influenza and covid 19 positive test results,Not specified,Detailed in measure
63,Not Specified,Chronic medications as risk factor of intensive care for covid 19,Not specified,Detailed in measure
63,Not Specified,Comorbidities as risk factor of intensive care for covid 19,Not specified,Detailed in measure
63,Not Specified,Chronic medications as risk factor of death during intensive care for covid 19,Not specified,Detailed in measure
63,Not Specified,Comorbidities as risk factor of death during intensive care for covid 19,Not specified,Detailed in measure
64,Not Specified,Proportion of subjects who consent to the study and receive at least one dose of convalescent plasma,Not specified,Detailed in measure
64,Not Specified,Overall survival of patients in the icu receiving at least once dose of convalescent plasma for covid 19 induced respiratory failure,Not specified,Detailed in measure
65,Not Specified,Number of confirmed cases of covid 19,Not specified,Detailed in measure
66,Not Specified,Mortality due to lung involvement due to sars cov 2 virus infection of treatment,28 days,Detailed in measure
66,Not Specified,Mortality due to lung involvement due to sars cov 2 virus infection of treatment,14 days,Detailed in measure
66,Not Specified,Mortality from any cause,28 days,Detailed in measure
66,Not Specified,Days without mechanical respirator and without vasopressor treatment for,28 days,Detailed in measure
66,Not Specified,Patients alive without mechanical ventilation and without vasopressors on day 28,Not specified,Detailed in measure
66,Not Specified,Patients alive and without mechanical ventilation on day 14,Not specified,Detailed in measure
66,Not Specified,Patients alive and without mechanical ventilation on day 28,Not specified,Detailed in measure
66,Not Specified,Patients alive and without vasopressors on day 28,Not specified,Detailed in measure
66,Not Specified,Days without vasopressors for,28 days,Detailed in measure
66,Not Specified,Patients cured,15 days,Detailed in measure
66,Not Specified,Incidence of treatment emergent adverse events,Not specified,Detailed in measure
67,Not Specified,Changing of viral load of sars cov2,Not specified,Detailed in measure
67,Not Specified,Changes in immunglobulin g covid 19 antibody titer,Not specified,Detailed in measure
67,Not Specified,Changes at the cytokine pattern,Not specified,Detailed in measure
67,Not Specified,Intensive care unit admission,Not specified,Detailed in measure
67,Not Specified,Length of hospital stay,Not specified,Detailed in measure
67,Not Specified,Duration of mechanical ventilation,Not specified,Detailed in measure
67,Not Specified,Clinical status,Not specified,Detailed in measure
67,Not Specified,Mortality,Not specified,Detailed in measure
68,Not Specified,Correlation of of conventional coagulation tests with point of care coagulation test using sonoclot in covid 19 patients,Not specified,Detailed in measure
68,Not Specified,Clinical evidence of thrombosis,Not specified,Detailed in measure
68,Not Specified,Coagulation related bleeding event,Not specified,Detailed in measure
68,Not Specified,"Presence of endogenous heparinoids as demonstrated on poc test [ time frame 0, ]",3 days,Detailed in measure
68,Not Specified,Intensive care admission duration,Not specified,Detailed in measure
68,Not Specified,Mortality,28 days,Detailed in measure
69,Not Specified,Confirmed diagnosis of covid 19 infection,Not specified,Detailed in measure
69,Not Specified,Incidence of unexpected covid 19 positive patients admitted to the hospital,Not specified,Detailed in measure
69,Not Specified,Number of contaminating events avoided by the early detection of covid 19 patients,Not specified,Detailed in measure
69,Not Specified,Incidence of sars cov 2 seroconversion,Not specified,Detailed in measure
70,Not Specified,Demographics of coronavirus disease 2019 (covid 19) in the cohort group,Not specified,Detailed in measure
70,Not Specified,Clinical manifestations of coronavirus disease 2019 (covid 19),Not specified,Detailed in measure
70,Not Specified,Laboratory data of included coronavirus disease 2019 (covid 19) cohort,Not specified,Detailed in measure
70,Not Specified,Radiological features of coronavirus disease 2019 (covid 19) cohort,Not specified,Detailed in measure
70,Not Specified,Outcomes of coronavirus disease 2019 (covid 19) infection in the cohort group,Not specified,Detailed in measure
71,Not Specified,The psychosocial effects of covid 19 pandemic on dental professionals using the turkish version of the fear of covid 19 scale,Not specified,Detailed in measure
71,Not Specified,The psychosocial effects of covid 19 pandemic using the turkish version of the coronavirus anxiety scale,Not specified,Detailed in measure
72,Not Specified,Prevalence of covid 19 complications,Not specified,Detailed in measure
72,Not Specified,Assessment of risk factors of covid 19 complications,Not specified,Detailed in measure
73,Not Specified,Covid 19 vaccine effectiveness,Not specified,Detailed in measure
73,Not Specified,Covid 19 pcr confirmation,Not specified,Detailed in measure
73,Not Specified,Vaccine effectiveness by age,Not specified,Detailed in measure
73,Not Specified,Vaccine effectiveness by co morbidities,Not specified,Detailed in measure
74,Not Specified,Mean change score of immune response to end of the trial ( time frame: up to ),"From baseline, 4 weeks",Detailed in measure
74,Not Specified,Mortality rate,Not specified,Detailed in measure
74,Not Specified,Determine viral load in each patient,Not specified,Detailed in measure
75,Not Specified,Icu and hospital mortality of covid 19 patients,Not specified,Detailed in measure
75,Not Specified,Mortality,30 days,Detailed in measure
76,Not Specified,The incidence of covid 19 cases after two doses of vaccination,Not specified,Detailed in measure
76,Not Specified,The incidence of severe cases of sars cov 2 pneumonia and deaths accompanied by covid 19 after two doses of vaccination,Not specified,Detailed in measure
76,Not Specified,The incidence of any adverse reactions/events,Not specified,Detailed in measure
76,Not Specified,The incidence of serious adverse events (sae),Not specified,Detailed in measure
76,Not Specified,The geometric mean titer (gmt) of anti sars cov 2 neutralizing antibody,Not specified,Detailed in measure
76,Not Specified,The four fold increase rate of anti sars cov 2 neutralizing antibody,Not specified,Detailed in measure
