study_id,condition_name,mesh_term
1061,COVID-19,Not Specified
1061,POST INTENSIVE CARE UNIT SYNDROME,Not Specified
1062,COVID-19,Not Specified
1062,CARDIOVASCULAR RISK FACTOR,Not Specified
1063,COVID-19,Not Specified
1064,"PREGNANCY, INFECTIONS IN",Not Specified
1064,COVID-19,Not Specified
1065,QUALITY OF LIFE,Not Specified
1065,LONG-TERM OUTCOMES,Not Specified
1065,COVID-19,Not Specified
1066,COVID-19,Not Specified
1067,COVID-19,Not Specified
1067,COVID-19,Not Specified
1067,EXTRACORPOREAL MEMBRANE OXYGENATION,Not Specified
1067,ARDS,Not Specified
1068,COVID-19,Not Specified
1069,COVID-19,Not Specified
1069,NEUROLOGIC MANIFESTATIONS,Not Specified
1070,COVID-19,Not Specified
1070,POST-EXPOSURE PROPHYLAXIS,Not Specified
1071,COVID-19,Not Specified
1072,COVID-19,Not Specified
1072,HEALTHCARE WORKERS,Not Specified
1073,COVID-19,Not Specified
1074,COVID-19,Not Specified
1075,COVID-19,Not Specified
1075,COVID-19,Not Specified
1076,COVID-19,Not Specified
1077,COVID-19,Not Specified
1077,COVID-19,Not Specified
1078,COVID-19,Not Specified
1079,COVID-19,Not Specified
1080,COVID-19,Not Specified
1081,COVID-19,Not Specified
1082,COVID-19,Not Specified
1083,COVID-19,Not Specified
1083,NOSOCOMIAL INFECTION,Not Specified
1083,COVID-19,Not Specified
1084,COVID-19,Not Specified
1085,COVID-19,Not Specified
1086,COVID-19,Not Specified
1086,ATRIAL FIBRILLATION NEW ONSET,Not Specified
1087,PNEUMONIA,Not Specified
1087,COVID-19,Not Specified
1088,TYPE 1 DIABETES,Not Specified
1088,COVID-19,Not Specified
1089,COVID-19,Not Specified
1089,COVID-19,Not Specified
1089,ARDS,Not Specified
1089,CRITICAL ILLNESS,Not Specified
1090,COVID-19,Not Specified
1091,COVID-19,Not Specified
1092,COVID-19,Not Specified
1093,COVID-19,Not Specified
1094,COVID-19,Not Specified
1095,COVID-19,Not Specified
1096,COVID-19,Not Specified
1096,PHYSICIAN-PATIENT RELATIONS,Not Specified
1097,COVID-19,Not Specified
1098,COVID-19,Not Specified
1099,CANCER,Not Specified
1099,COVID-19,Not Specified
1100,COVID-19,Not Specified
1100,RESPIRATORY DISEASE,Not Specified
1101,COVID-19,Not Specified
1102,COVID-19,Not Specified
1102,COVID-19,Not Specified
1103,COVID-19,Not Specified
1104,COVID-19,Not Specified
1104,ONCOLOGY,Not Specified
1104,PROMS,Not Specified
1104,CHEMOTHERAPEUTIC TOXICITY,Not Specified
1105,COVID-19,Not Specified
1106,PREGNANCY,Not Specified
1107,COVID-19,Not Specified
1107,NURSING HOME,Not Specified
1108,COVID-19,Not Specified
1109,COVID-19,Not Specified
1110,COVID-19,Not Specified
1111,COVID-19,Not Specified
1112,MULTIPLE SCLEROSIS,Not Specified
1113,COVID-19,Not Specified
1114,COVID-19,Not Specified
1114,CARDIOVASCULAR RISK FACTOR,Not Specified
1115,COVID-19,Not Specified
1116,COVID-19,Not Specified
1117,HEALTH CARE WORKER PATIENT TRANSMISSION,Not Specified
1117,COVID-19,Not Specified
1117,COVID-19,Not Specified
1117,IMMUNOLOGICAL ABNORMALITY,Not Specified
1118,COVID-19,Not Specified
1119,COVID-19,Not Specified
1120,COVID-19,Not Specified
1121,COVID-19,Not Specified
1121,COVID-19,Not Specified
1122,VACCINE PREVENTABLE DISEASE,Not Specified
1123,ARDS,Not Specified
1123,COVID-19,Not Specified
1123,COVID-19,Not Specified
1123,PNEUMONIA,Not Specified
1124,COVID-19,Not Specified
1124,DYSPAREUNIA,Not Specified
1124,POSTPARTUM PERIOD,Not Specified
1125,COVID-19,Not Specified
1126,AIRWAY MANAGEMENT,Not Specified
1126,COVID-19,Not Specified
1127,COVID-19,Not Specified
1128,COVID-19,Not Specified
1129,COVID-19,Not Specified
1129,COVID-19,Not Specified
1129,COVID-19,Not Specified
1130,PARKINSON'S DISEASE,Not Specified
1130,FUNCTIONAL MOVEMENT DISORDERS,Not Specified
1130,COVID-19,Not Specified
1131,COVID-19,Not Specified
1131,COVID-19,Not Specified
1132,COVID-19,Not Specified
1133,COVID-19,Not Specified
1134,COVID-19,Not Specified
1135,COVID-19,Not Specified
1136,COVID-19,Not Specified
1136,COVID-19,Not Specified
1137,COVID-19,Not Specified
1137,PSYCHIATRIC DISORDERS,Not Specified
1138,COVID-19,Not Specified
1139,COVID-19,Not Specified
1140,THE PROGNOSTIC VALUE OF FERRITIN,Not Specified
1140,COVID-19,Not Specified
1141,COVID-19,Not Specified
1142,COVID-19,Not Specified
1143,COVID-19,Not Specified
1144,COVID-19,Not Specified
1144,QUALITY OF LIFE,Not Specified
1145,COVID-19,Not Specified
1146,CANCER,Not Specified
1146,COVID-19,Not Specified
1147,COVID-19,Not Specified
1148,CONVALESCENT PLASMA,Not Specified
1148,COVID-19,Not Specified
1148,IMMUNOGLOBULINS,Not Specified
1148,PLASMA,Not Specified
1148,EGYPT,Not Specified
1149,COVID-19,Not Specified
1149,COVID-19,Not Specified
1150,HEAD AND NECK CANCER,Not Specified
1150,COVID-19,Not Specified
1150,PATIENT CARE,Not Specified
1151,SYSTEMIC AUTOIMMUNE DISEASES,Not Specified
1152,COVID-19,Not Specified
1153,COVID-19,Not Specified
1154,TYPE 1 DIABETES,Not Specified
1154,COVID-19,Not Specified
1155,COVID-19,Not Specified
1155,CRITICAL ILLNESS,Not Specified
1156,COVID-19,Not Specified
1157,SARS,Not Specified
1157,SARS,Not Specified
1158,COVID-19,Not Specified
1158,PAIN,Not Specified
1158,MUSCLE ATROPHY,Not Specified
1159,PANCREATIC CANCER,Not Specified
1160,COVID-19,Not Specified
1160,HEALTHCARE ASSOCIATED INFECTION,Not Specified
1161,COVID-19,Not Specified
1162,COVID-19,Not Specified
1162,KIDNEY INJURY,Not Specified
1163,COVID-19,Not Specified
1164,COVID-19,Not Specified
1165,COVID-19,Not Specified
1166,COVID-19,Not Specified
1167,COVID-19,Not Specified
1168,COVID-19,Not Specified
1169,COVID-19,Not Specified
1170,MULTIPLE SCLEROSIS,Not Specified
1170,COVID-19,Not Specified
1171,COVID-19,Not Specified
1172,COVID-19,Not Specified
1173,COVID-19,Not Specified
1173,ARDS,Not Specified
1173,COVID-19,Not Specified
1174,COVID-19,Not Specified
1174,COVID-19,Not Specified
1174,COVID-19,Not Specified
1175,COVID-19,Not Specified
1176,DIABETES MELLITUS,Not Specified
1176,COVID-19,Not Specified
1177,COVID-19,Not Specified
1177,COVID-19,Not Specified
1177,HYDROXYCHLOROQUINE,Not Specified
1177,PROPHYLAXIS,Not Specified
1177,HEALTHCARE WORKER,Not Specified
1178,COVID-19,Not Specified
1179,COVID-19,Not Specified
1180,COVID-19,Not Specified
1181,ANXIETY,Not Specified
1182,COVID-19,Not Specified
1183,COVID-19,Not Specified
1184,COVID-19,Not Specified
1185,COVID-19,Not Specified
1186,COVID-19,Not Specified
1187,ASYMPTOMATIC CONDITION,Not Specified
1187,HEALTHY,Not Specified
1188,COVID-19,Not Specified
1189,COVID-19,Not Specified
1190,COVID-19,Not Specified
1191,COVID-19,Not Specified
1191,PNEUMONIA,Not Specified
1191,SURFACTANT PROTEIN DEFICIENCY,Not Specified
1192,COVID-19,Not Specified
1192,COVID-19,Not Specified
1193,COVID-19,Not Specified
1193,COVID-19,Not Specified
1194,COVID-19,Not Specified
1195,COVID-19,Not Specified
1196,COVID-19,Not Specified
1196,DIABETE TYPE 2,Not Specified
1196,NON DIABETIC PATIENTS,Not Specified
1196,CHEST CT SCAN,Not Specified
1197,THROMBOSIS,Not Specified
1197,COVID-19,Not Specified
1197,COVID-19,Not Specified
1198,COVID-19,Not Specified
1199,COVID-19,Not Specified
1200,COVID-19,Not Specified
1200,TRAUMA,Not Specified
1200,ULTRASOUND,Not Specified
1201,COVID-19,Not Specified
1201,KIDNEY TRANSPLANTATION,Not Specified
1202,COVID-19,Not Specified
1203,MICROBIOME,Not Specified
1204,COVID-19,Not Specified
1205,COVID-19,Not Specified
1205,SARS,Not Specified
1206,COVID-19,Not Specified
1207,COVID-19,Not Specified
1208,COVID-19,Not Specified
1209,COVID-19,Not Specified
1210,COVID-19,Not Specified
1211,PNEUMONIA,Not Specified
1212,COVID-19,Not Specified
1213,COVID-19,Not Specified
1214,COVID-19,Not Specified
1214,AKI,Not Specified
1215,COVID-19,Not Specified
1216,COVID-19,Not Specified
1217,COVID-19,Not Specified
1217,INFLAMMATORY RHEUMATISM,Not Specified
1217,RHEUMATOID ARTHRITIS,Not Specified
1217,SPONDYLOARTHRITIS,Not Specified
1217,INFLAMMATORY ARTHRITIS,Not Specified
1218,QUALITY OF LIFE,Not Specified
1218,LONG-TERM OUTCOMES,Not Specified
1218,COVID-19,Not Specified
1218,MORALITY,Not Specified
1218,REHOSPITALIZATION,Not Specified
1219,COVID-19,Not Specified
1220,VIRAL INFECTION,Not Specified
1221,COVID-19,Not Specified
1222,COVID-19,Not Specified
1222,COVID-19,Not Specified
1223,COVID-19,Not Specified
1223,CANCER,Not Specified
1224,COVID-19,Not Specified
1225,COVID-19,Not Specified
1225,COVID-19,Not Specified
1226,COVID-19,Not Specified
1226,COVID-19,Not Specified
1226,COVID-19,Not Specified
1226,COVID-19,Not Specified
1227,COVID-19,Not Specified
1227,COVID-19,Not Specified
1228,COVID-19,Not Specified
1228,ARDS,Not Specified
1229,COVID-19,Not Specified
1230,COVID-19,Not Specified
1231,COVID-19,Not Specified
1231,COVID-19,Not Specified
1231,COVID-19,Not Specified
1232,COVID-19,Not Specified
1232,COVID-19,Not Specified
1232,INFLAMMATORY BOWEL DISEASES,Not Specified
1233,COVID-19,Not Specified
1233,COVID-19,Not Specified
1234,COVID-19,Not Specified
1235,COVID-19,Not Specified
1236,COVID-19,Not Specified
1237,ANXIETY,Not Specified
1237,DEPRESSION,Not Specified
1237,STRESS,Not Specified
1238,COVID-19,Not Specified
1239,SLEEP,Not Specified
1239,ATHLETE,Not Specified
1239,TRAINING,Not Specified
1239,EXERCISE,Not Specified
1239,COVID-19,Not Specified
1239,"ISOLATION, SOCIAL",Not Specified
1240,COVID-19,Not Specified
1241,COVID-19,Not Specified
1242,COVID-19,Not Specified
1242,COVID-19,Not Specified
1242,COVID-19,Not Specified
1243,COVID-19,Not Specified
1244,COVID-19,Not Specified
1245,COVID-19,Not Specified
1246,COVID-19,Not Specified
1247,COVID-19,Not Specified
1248,COVID-19,Not Specified
1249,COVID-19,Not Specified
1250,COVID-19,Not Specified
1250,FUNCTIONAL CAPACITY,Not Specified
1251,COVID-19,Not Specified
1252,COVID-19,Not Specified
1253,COVID-19,Not Specified
1253,MYOCARDIAL INJURY,Not Specified
1253,MYOCARDITIS,Not Specified
1254,MULTIPLE SCLEROSIS,Not Specified
1255,STRESS,Not Specified
1255,ANXIETY,Not Specified
1255,DEPRESSION,Not Specified
1255,EPIDEMIC DISEASE,Not Specified
1255,COVID-19,Not Specified
1256,COVID-19,Not Specified
1257,HYPERTENSION,Not Specified
1257,COVID-19,Not Specified
1258,COVID-19,Not Specified
1259,COVID-19,Not Specified
1260,COVID-19,Not Specified
1261,COVID-19,Not Specified
1262,COVID-19,Not Specified
1263,COVID-19,Not Specified
1264,DIAGNOSES DISEASE,Not Specified
1264,COVID-19,Not Specified
1265,VIRUS-HIV,Not Specified
1265,COVID-19,Not Specified
1266,COVID-19,Not Specified
1266,COVID-19,Not Specified
1267,COVID-19,Not Specified
1267,COVID-19,Not Specified
1267,AMBULATORY CARE,Not Specified
1268,HYPERGLYCEMIA,Not Specified
1268,COVID-19,Not Specified
1269,COVID-19,Not Specified
1269,RAPID ANTIGEN TEST,Not Specified
1269,COVID-19,Not Specified
1270,COVID-19,Not Specified
1270,SURGERY--COMPLICATIONS,Not Specified
1270,NOSOCOMIAL INFECTION,Not Specified
1271,COVID-19,Not Specified
1272,COVID-19,Not Specified
1272,COVID-19,Not Specified
1273,COVID-19,Not Specified
1273,HEALTH CARE ASSOCIATED INFECTION,Not Specified
1273,COVID-19,Not Specified
1273,DEATH,Not Specified
1274,COVID-19,Not Specified
1275,COVID-19,Not Specified
1275,CANCER,Not Specified
1276,RESPIRATORY FAILURE,Not Specified
1276,COVID-19,Not Specified
1277,COVID-19,Not Specified
1277,RESPIRATORY FAILURE,Not Specified
1278,COVID-19,Not Specified
1278,COVID-19,Not Specified
1278,ARDS,Not Specified
1278,COVID-19,Not Specified
1279,COVID-19,Not Specified
1280,COVID-19,Not Specified
1281,COVID-19,Not Specified
1282,COVID-19,Not Specified
1283,COVID-19,Not Specified
1284,COVID-19,Not Specified
1284,COVID-19,Not Specified
1285,COVID-19,Not Specified
1286,COVID-19,Not Specified
1287,COVID-19,Not Specified
1288,COVID-19,Not Specified
1289,COVID-19,Not Specified
1289,COVID-19,Not Specified
1290,COVID-19,Not Specified
1290,URINE,Not Specified
1290,BIOMARKER,Not Specified
1290,RESPIRATORY FAILURE,Not Specified
1291,COVID-19,Not Specified
1291,ARDS,Not Specified
1291,COINFECTION,Not Specified
1292,COVID-19,Not Specified
1292,VACCINE ACCEPTABILITY,Not Specified
1293,COVID-19,Not Specified
1293,HEALTHY CONTROL,Not Specified
1294,COVID-19,Not Specified
1295,COVID-19,Not Specified
1296,COVID-19,Not Specified
1297,COVID-19,Not Specified
1298,COVID-19,Not Specified
1299,COVID-19,Not Specified
1300,COVID-19,Not Specified
1301,COVID-19,Not Specified
1302,COVID-19,Not Specified
1302,SARS,Not Specified
1303,COVID-19,Not Specified
1303,RESPIRATORY FAILURE,Not Specified
1304,COVID-19,Not Specified
1304,VITAMIN D,Not Specified
1304,"CHILDREN, ONLY",Not Specified
1305,COVID-19,Not Specified
1305,COVID-19,Not Specified
1305,COVID-19,Not Specified
1306,COVID-19,Not Specified
1307,COVID-19,Not Specified
1308,COVID-19,Not Specified
1309,COVID-19,Not Specified
1309,COVID-19,Not Specified
1310,COVID-19,Not Specified
1311,COVID-19,Not Specified
1312,COVID-19,Not Specified
1312,ARDS,Not Specified
1313,COVID-19,Not Specified
1314,COVID-19,Not Specified
1314,ANOSMIA,Not Specified
1315,COVID-19,Not Specified
1316,COVID-19,Not Specified
1317,COVID-19,Not Specified
1317,RHEUMATOID ARTHRITIS,Not Specified
1318,COVID-19,Not Specified
1319,COVID-19,Not Specified
1319,RESPIRATORY FAILURE,Not Specified
1320,COVID-19,Not Specified
1321,COVID-19,Not Specified
1322,ONCOLOGY,Not Specified
1323,COVID-19,Not Specified
1324,VACCINATION,Not Specified
1324,COVID-19,Not Specified
1325,COVID-19,Not Specified
1326,COVID-19,Not Specified
1327,COVID-19,Not Specified
1328,COVID-19,Not Specified
1328,COVID-19,Not Specified
1329,CANCER,Not Specified
1330,DYSFUNCTIONAL WORRY,Not Specified
1331,COVID-19,Not Specified
1332,COVID-19,Not Specified
1333,COVID-19,Not Specified
1333,COVID-19,Not Specified
1334,COVID-19,Not Specified
1334,COVID-19,Not Specified
1334,ACUTE RESPIRATORY ILLNESSES,Not Specified
1335,COVID-19,Not Specified
1335,OLD AGE; DEBILITY,Not Specified
1335,"MORBIDITY, MULTIPLE",Not Specified
1336,DEPRESSION,Not Specified
1336,"BURNOUT, PROFESSIONAL",Not Specified
1336,STRESS,Not Specified
1337,LUNG CANCER,Not Specified
1337,COVID-19,Not Specified
1337,COVID-19,Not Specified
1338,COVID-19,Not Specified
1339,PREGNANCY RELATED,Not Specified
1339,COVID-19,Not Specified
1339,COVID-19,Not Specified
1340,COVID-19,Not Specified
1340,COVID-19,Not Specified
1341,COVID-19,Not Specified
1342,COVID-19,Not Specified
1342,D-DIMER,Not Specified
1343,COVID-19,Not Specified
1343,COVID-19,Not Specified
1344,COVID-19,Not Specified
1345,COVID-19,Not Specified
1346,COVID-19,Not Specified
1346,KIDNEY TRANSPLANT INFECTION,Not Specified
1346,"RISK FACTOR, CARDIOVASCULAR",Not Specified
1346,IMMUNOSUPPRESSION,Not Specified
1346,"OUTCOME, FATAL",Not Specified
1346,GRAFT FAILURE,Not Specified
1347,COVID-19,Not Specified
1348,COVID-19,Not Specified
1349,B-CELL LYMPHOMA,Not Specified
1349,COVID-19,Not Specified
1350,COVID-19,Not Specified
1351,"INFERTILITY, MALE",Not Specified
1351,TESTOSTERONE DEFICIENCY,Not Specified
1352,GRIEF,Not Specified
1352,ANXIETY,Not Specified
1352,DEPRESSION,Not Specified
1352,SLEEP DISTURBANCE,Not Specified
1352,QUALITY OF LIFE,Not Specified
1353,COVID-19,Not Specified
1354,CANCER,Not Specified
1355,COVID-19,Not Specified
1356,COVID-19,Not Specified
1356,PNEUMONIA,Not Specified
1357,COVID-19,Not Specified
1358,COVID-19,Not Specified
1359,COVID-19,Not Specified
1359,COVID-19,Not Specified
1360,COVID-19,Not Specified
1360,PNEUMONIA,Not Specified
1360,COAGULATION DISORDER,Not Specified
1361,COVID-19,Not Specified
1362,COVID-19,Not Specified
1363,COVID-19,Not Specified
1364,COVID-19,Not Specified
1364,COVID-19,Not Specified
1364,RHEUMATOID ARTHRITIS,Not Specified
1364,SPONDYLOARTHRITIS,Not Specified
1364,ANKYLOSING SPONDYLITIS,Not Specified
1364,PSORIATIC ARTHRITIS,Not Specified
1365,PNEUMONIA,Not Specified
1365,COVID-19,Not Specified
1366,COVID-19,Not Specified
1366,COVID-19,Not Specified
1367,COVID-19,Not Specified
1368,COVID-19,Not Specified
1369,COVID-19,Not Specified
1370,COVID-19,Not Specified
1371,COVID-19,Not Specified
1371,NON ISCHEMIC MYOCARDIAL INJURY,Not Specified
1371,MYOCARDIAL INFARCTION,Not Specified
1371,MYOCARDITIS,Not Specified
1371,TROPONIN ELEVATION,Not Specified
1372,COVID-19,Not Specified
1373,COVID-19,Not Specified
1374,COVID-19,Not Specified
1374,AZITHROMYCIN,Not Specified
1374,AMBULATORY,Not Specified
1375,COVID-19,Not Specified
1376,COVID-19,Not Specified
1377,COVID-19,Not Specified
1378,VACCINE RESPONSE IMPAIRED,Not Specified
1378,VACCINE ADVERSE REACTION,Not Specified
1379,COVID-19,Not Specified
1380,COVID-19,Not Specified
1381,COVID-19,Not Specified
1381,COVID-19,Not Specified
1381,RESPIRATORY FAILURE,Not Specified
1381,RESPIRATORY FAILURE,Not Specified
1381,ARDS,Not Specified
1381,SARS,Not Specified
1382,COVID-19,Not Specified
1383,COVID-19,Not Specified
1383,COVID-19,Not Specified
1383,COVID-19,Not Specified
1384,COVID-19,Not Specified
1384,ARDS,Not Specified
1384,PNEUMONIA,Not Specified
1384,COMPUTED TOMOGRAPHY,Not Specified
1385,COVID-19,Not Specified
1386,COVID-19,Not Specified
1387,COVID-19,Not Specified
1387,RHEUMATOID ARTHRITIS,Not Specified
1387,RHEUMATIC DISEASES,Not Specified
1388,COVID-19,Not Specified
1388,COVID-19,Not Specified
1388,VACCINE ADVERSE REACTION,Not Specified
1389,COVID-19,Not Specified
1389,PREGNANCY RELATED,Not Specified
1389,MATERNAL COMPLICATION OF PREGNANCY,Not Specified
1389,COVID-19,Not Specified
1389,NEONATAL INFECTION,Not Specified
1389,STRESS,Not Specified
1389,PRETERM BIRTH,Not Specified
1390,COVID-19,Not Specified
1391,COVID-19,Not Specified
1391,COVID-19,Not Specified
1392,BLOOD PLASMA THERAPY,Not Specified
1392,COVID-19,Not Specified
1393,COVID-19,Not Specified
1394,COVID-19,Not Specified
1395,COMPLICATED GRIEF,Not Specified
1395,INTENSIVE CARE,Not Specified
1395,COVID-19,Not Specified
1396,COVID-19,Not Specified
1396,CARDIOVASCULAR DISEASES,Not Specified
1397,COVID-19,Not Specified
1397,"DEPRESSION, ANXIETY",Not Specified
1397,PREGNANCY RELATED,Not Specified
1398,COVID-19,Not Specified
1399,COVID-19,Not Specified
1400,COVID-19,Not Specified
1401,COVID-19,Not Specified
1402,COVID-19,Not Specified
1402,AMYOTROPHIC LATERAL SCLEROSIS,Not Specified
1403,COVID-19,Not Specified
1404,"INFLUENZA, HUMAN",Not Specified
1404,SARS,Not Specified
1404,COVID-19,Not Specified
1404,ESPIRATORY TRACT INFECTIONS,Not Specified
1405,COVID-19,Not Specified
1405,CHRONIC INFLAMMATION,Not Specified
1405,NON-COMMUNICABLE CHRONIC DISEASES,Not Specified
1406,COVID-19,Not Specified
1407,COVID-19,Not Specified
1408,COVID-19,Not Specified
1409,COVID-19,Not Specified
1410,COVID-19,Not Specified
1411,COVID-19,Not Specified
1412,COVID-19,Not Specified
1413,"EMERGENCY SERVICE, HOSPITAL",Not Specified
1413,GENERAL SURGERY,Not Specified
1414,COVID-19,Not Specified
1414,HUMAN MILK,Not Specified
1415,COVID-19,Not Specified
1415,VIRAL RESPIRATORY ILLNESSES,Not Specified
1416,COVID-19,Not Specified
1416,PULMONARY FIBROSIS,Not Specified
1417,COVID-19,Not Specified
1417,MULTISYSTEM INFLAMMATORY SYNDROME IN CHILDREN,Not Specified
1418,VIRAL INFECTION,Not Specified
1418,COMMON COLD,Not Specified
1418,PNEUMONIA,Not Specified
1418,COVID-19,Not Specified
1418,CORONA VIRUS DISEASE,Not Specified
1419,VIRAL INFECTION,Not Specified
1420,COVID-19,Not Specified
1421,COVID-19,Not Specified
1422,PULMONARY ALVEOLAR PROTEINOSIS,Not Specified
1422,COPD,Not Specified
1422,IDIOPATHIC PULMONARY FIBROSIS,Not Specified
1422,PNEUMONIA,Not Specified
1422,COVID-19,Not Specified
1422,INTERSTITIAL LUNG DISEASE,Not Specified
1423,COVID-19,Not Specified
1423,ACUTE RESPIRATORY INFECTION,Not Specified
1423,COVID-19,Not Specified
1424,COVID-19,Not Specified
1424,ARDS,Not Specified
1425,COVID-19,Not Specified
1426,COVID-19,Not Specified
1427,COVID-19,Not Specified
1428,COVID-19,Not Specified
1429,COVID-19,Not Specified
1430,COVID-19,Not Specified
1431,COVID-19,Not Specified
1431,COVID-19,Not Specified
1431,COMMUNICABLE DISEASE,Not Specified
1432,COVID-19,Not Specified
1433,INFERTILITY,Not Specified
1433,COVID-19,Not Specified
1433,IVF,Not Specified
1434,COVID-19,Not Specified
1435,COVID-19,Not Specified
1436,SARS,Not Specified
1436,ELDERLY,Not Specified
1437,COVID-19,Not Specified
1437,MYOCARDIAL INJURY,Not Specified
1438,COVID-19,Not Specified
1438,DRUG EFFECT,Not Specified
1438,DRUG INTERACTION,Not Specified
1438,RISK REDUCTION,Not Specified
1439,COVID-19,Not Specified
1439,TAILORED RECOMMENDATIONS,Not Specified
1439,CITIZEN SELF-REPORTED SYMPTOMS,Not Specified
1440,COVID-19,Not Specified
1441,COVID-19,Not Specified
1441,COVID-19,Not Specified
1442,COVID-19,Not Specified
1443,COVID-19,Not Specified
1443,LIVER DISEASES,Not Specified
1444,COVID-19,Not Specified
1444,ENCEPHALITIS,Not Specified
1445,COVID-19,Not Specified
1446,COVID-19,Not Specified
1447,COVID-19,Not Specified
1447,HEALTHY VOLUNTEERS,Not Specified
1447,CHRONIC DISEASE,Not Specified
1447,HEMATOLOGICAL MALIGNANCIES,Not Specified
1447,SOLID TUMOR,Not Specified
1448,COVID-19,Not Specified
1449,COVID-19,Not Specified
1449,RESPIRATORY FAILURE,Not Specified
1450,COVID-19,Not Specified
1450,VIRAL INFECTION,Not Specified
1450,COVID-19,Not Specified
1450,CORONARY HEART DISEASE,Not Specified
1450,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,Not Specified
1451,COVID-19,Not Specified
1452,COVID-19,Not Specified
1453,COVID-19,Not Specified
1453,COVID-19,Not Specified
1454,COVID-19,Not Specified
1455,COVID-19,Not Specified
1455,SARS,Not Specified
1455,COVID-19,Not Specified
1456,COVID-19,Not Specified
1456,COVID-19,Not Specified
1457,COVID-19,Not Specified
1457,COVID-19,Not Specified
1457,COVID-19,Not Specified
1458,COVID-19,Not Specified
1459,COVID-19,Not Specified
1459,ARDS,Not Specified
1459,COVID-19,Not Specified
1459,ACUTE LUNG INJURY,Not Specified
1460,COVID-19,Not Specified
1461,COVID-19,Not Specified
1462,IMMUNE DEFICIENCY,Not Specified
1463,COVID-19,Not Specified
1463,COVID-19,Not Specified
1463,COVID-19,Not Specified
1464,COVID-19,Not Specified
1465,COVID-19,Not Specified
1466,COVID-19,Not Specified
1467,COVID-19,Not Specified
1468,COVID-19,Not Specified
1468,COVID-19,Not Specified
1469,COVID-19,Not Specified
1470,COVID-19,Not Specified
1470,COVID-19,Not Specified
1471,COVID-19,Not Specified
1472,COVID-19,Not Specified
1472,COVID-19,Not Specified
1473,COVID-19,Not Specified
1474,COVID-19,Not Specified
1474,COVID-19,Not Specified
1475,COVID-19,Not Specified
1476,CARDIOVASCULAR DISEASES,Not Specified
1476,DELIRIUM,Not Specified
1476,CRITICAL ILLNESS,Not Specified
1476,INTENSIVE CARE UNIT DELIRIUM,Not Specified
1476,THORACIC DISEASES,Not Specified
1476,RESPIRATORY FAILURE,Not Specified
1476,CARDIAC DISEASE,Not Specified
1476,CARDIAC FAILURE,Not Specified
1477,COVID-19,Not Specified
1477,RESPIRATORY FAILURE,Not Specified
1478,COVID-19,Not Specified
1478,HEALTHCARE WORKERS,Not Specified
1479,COVID-19,Not Specified
1480,COVID-19,Not Specified
1480,COVID-19,Not Specified
1481,COVID-19,Not Specified
1482,COVID-19,Not Specified
1482,COVID-19,Not Specified
1482,COVID-19,Not Specified
1483,COVID-19,Not Specified
1483,COVID-19,Not Specified
1483,COVID-19,Not Specified
1483,COVID-19,Not Specified
1484,COVID-19,Not Specified
1484,HEMATOPOIETIC AND LYMPHOID CELL NEOPLASM,Not Specified
1484,MALIGNANT SOLID NEOPLASM,Not Specified
1485,COVID-19,Not Specified
1485,ANXIETY,Not Specified
1486,COVID-19,Not Specified
1486,NOMOGRAM MODEL,Not Specified
1487,COVID-19,Not Specified
1487,COVID-19,Not Specified
1488,INFLUENZA,Not Specified
1489,HIV-INFECTION/AIDS,Not Specified
1489,COVID-19,Not Specified
1490,COVID-19,Not Specified
1490,COVID-19,Not Specified
1491,COVID-19,Not Specified
1492,COVID-19,Not Specified
1493,COVID-19,Not Specified
1494,COVID-19,Not Specified
1495,COVID-19,Not Specified
1496,COVID-19,Not Specified
1496,COVID-19,Not Specified
1497,COVID-19,Not Specified
1498,COVID-19,Not Specified
1499,COVID-19,Not Specified
1499,PREGNANCY RELATED,Not Specified
1500,COVID-19,Not Specified
1501,COVID-19,Not Specified
1501,COVID-19,Not Specified
1501,"BURNOUT, CAREGIVER",Not Specified
1501,"BURNOUT, PROFESSIONAL",Not Specified
1502,COVID-19,Not Specified
1502,COVID-19,Not Specified
1502,COVID-19,Not Specified
1503,COVID-19,Not Specified
1504,COVID-19,Not Specified
1505,COVID-19,Not Specified
1506,COVID-19,Not Specified
1507,COVID-19,Not Specified
1508,COVID-19,Not Specified
1509,THERAPEUTIC PLASMA EXCHANGE,Not Specified
1509,COVID-19,Not Specified
1510,PNEUMONIA,Not Specified
1510,COVID-19,Not Specified
1511,COVID-19,Not Specified
1512,TRAUMA,Not Specified
1512,COVID-19,Not Specified
1513,COVID-19,Not Specified
1513,COVID-19,Not Specified
1514,COVID-19,Not Specified
1515,COVID-19,Not Specified
1515,VIRAL INFECTION,Not Specified
1515,VIRAL INFECTION,Not Specified
1516,COVID-19,Not Specified
1517,COVID-19,Not Specified
1518,COVID-19,Not Specified
1519,COVID-19,Not Specified
1520,COVID-19,Not Specified
1520,ANOSMIA,Not Specified
1521,COVID-19,Not Specified
1521,VITAMIN D DEFICIENCY,Not Specified
1522,COVID-19,Not Specified
1523,COVID-19,Not Specified
1524,COVID-19,Not Specified
1525,COVID-19,Not Specified
1525,PNEUMONIA,Not Specified
1525,THROMBOSIS,Not Specified
1525,THROMBOEMBOLISM,Not Specified
1525,ANTICOAGULANTS; INCREASED,Not Specified
1525,ARDS,Not Specified
