study_id,condition_name,mesh_term
136,HEALTH PERSONNEL,Not Specified
136,"PERSONNEL, HOSPITAL",Not Specified
137,COVID-19,Not Specified
138,COVID-19,Not Specified
139,COVID-19,Not Specified
140,COVID-19,Not Specified
141,COVID-19,Not Specified
142,COVID-19,Not Specified
142,COVID-19,Not Specified
143,COVID-19,Not Specified
143,COVID-19,Not Specified
144,COVID-19,Not Specified
144,COVID-19,Not Specified
145,COVID-19,Not Specified
146,COVID-19,Not Specified
147,ACUTE CORONARY SYNDROME,Not Specified
147,HEART FAILURE,Not Specified
147,COVID-19,Not Specified
148,COVID-19,Not Specified
149,COVID-19,Not Specified
150,COVID-19,Not Specified
151,COVID-19,Not Specified
152,COVID-19,Not Specified
153,COVID-19,Not Specified
154,COVID-19,Not Specified
155,COVID-19,Not Specified
156,COVID-19,Not Specified
157,COVID-19,Not Specified
157,CRITICAL LIMB ISCHEMIA,Not Specified
158,COVID-19,Not Specified
159,COVID-19,Not Specified
160,COVID-19,Not Specified
161,COVID-19,Not Specified
161,COVID-19,Not Specified
161,QUALITY OF LIFE,Not Specified
161,MENTAL HEALTH WELLNESS 1,Not Specified
161,SOCIAL DISTANCE,Not Specified
161,SARS,Not Specified
161,PSYCHOLOGICAL,Not Specified
162,COVID-19,Not Specified
163,COVID-19,Not Specified
164,COVID-19,Not Specified
164,COVID-19,Not Specified
165,COVID-19,Not Specified
166,COVID-19,Not Specified
167,COVID-19,Not Specified
168,COVID-19,Not Specified
169,COVID-19,Not Specified
170,COVID-19,Not Specified
171,COVID-19,Not Specified
172,COVID-19,Not Specified
173,COVID-19,Not Specified
174,COVID-19,Not Specified
175,COVID-19,Not Specified
176,COVID-19,Not Specified
177,COVID-19,Not Specified
178,COVID-19,Not Specified
179,COVID-19,Not Specified
180,COVID-19,Not Specified
181,COVID-19,Not Specified
182,COVID-19,Not Specified
183,COVID-19,Not Specified
184,COVID-19,Not Specified
185,COVID-19,Not Specified
186,COVID-19,Not Specified
187,COVID-19,Not Specified
188,COVID-19,Not Specified
188,HYPERTENSION,Not Specified
189,COVID-19,Not Specified
190,PULMONARY EMBOLISM,Not Specified
190,COVID-19,Not Specified
191,COVID-19,Not Specified
192,COVID-19,Not Specified
192,COVID-19,Not Specified
193,COVID-19,Not Specified
193,SARS,Not Specified
193,COVID-19,Not Specified
194,COVID-19,Not Specified
195,COVID-19,Not Specified
195,COVID-19,Not Specified
196,COVID-19,Not Specified
197,COVID-19,Not Specified
198,COVID-19,Not Specified
198,CANCER,Not Specified
199,COVID-19,Not Specified
200,COVID-19,Not Specified
200,PNEUMONIA,Not Specified
201,COVID-19,Not Specified
202,COVID-19,Not Specified
203,PREGNANT WOMEN,Not Specified
203,COVID-19,Not Specified
204,COVID-19,Not Specified
205,COVID-19,Not Specified
206,COVID-19,Not Specified
206,VIRUS,Not Specified
207,COVID-19,Not Specified
208,COVID-19,Not Specified
209,COVID-19,Not Specified
209,COVID-19,Not Specified
210,COVID-19,Not Specified
211,COVID-19,Not Specified
211,BREASTMILK,Not Specified
212,COVID-19,Not Specified
213,COVID-19,Not Specified
214,COVID-19,Not Specified
215,COVID-19,Not Specified
